# USINE V4.0
# File generated 06-05-2022 12:41:10
# Model1DKisoVc
# ALLSPECTRUM
# SolMod0DFF_phi0.670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.08008e-01    1.97491e+00    
1.09756e-01    2.06932e+00    
1.11533e-01    2.16819e+00    
1.13338e-01    2.27172e+00    
1.15173e-01    2.38013e+00    
1.17037e-01    2.49365e+00    
1.18931e-01    2.61250e+00    
1.20856e-01    2.73696e+00    
1.22813e-01    2.86727e+00    
1.24801e-01    3.00370e+00    
1.26821e-01    3.14652e+00    
1.28874e-01    3.29604e+00    
1.30960e-01    3.45255e+00    
1.33079e-01    3.61639e+00    
1.35234e-01    3.78787e+00    
1.37423e-01    3.96735e+00    
1.39647e-01    4.15520e+00    
1.41907e-01    4.35179e+00    
1.44204e-01    4.55753e+00    
1.46539e-01    4.77282e+00    
1.48911e-01    4.99810e+00    
1.51321e-01    5.23382e+00    
1.53770e-01    5.48046e+00    
1.56259e-01    5.73849e+00    
1.58789e-01    6.00844e+00    
1.61359e-01    6.29084e+00    
1.63971e-01    6.58625e+00    
1.66625e-01    6.89525e+00    
1.69322e-01    7.21843e+00    
1.72063e-01    7.55644e+00    
1.74848e-01    7.90994e+00    
1.77678e-01    8.27960e+00    
1.80554e-01    8.66615e+00    
1.83477e-01    9.07032e+00    
1.86447e-01    9.49290e+00    
1.89465e-01    9.93483e+00    
1.92531e-01    1.03969e+01    
1.95648e-01    1.08799e+01    
1.98815e-01    1.13847e+01    
2.02033e-01    1.19123e+01    
2.05303e-01    1.24633e+01    
2.08626e-01    1.30385e+01    
2.12003e-01    1.36390e+01    
2.15435e-01    1.42658e+01    
2.18922e-01    1.49199e+01    
2.22466e-01    1.56024e+01    
2.26067e-01    1.63145e+01    
2.29726e-01    1.70571e+01    
2.33445e-01    1.78316e+01    
2.37223e-01    1.86391e+01    
2.41063e-01    1.94808e+01    
2.44965e-01    2.03581e+01    
2.48930e-01    2.12723e+01    
2.52960e-01    2.22252e+01    
2.57054e-01    2.32179e+01    
2.61215e-01    2.42518e+01    
2.65444e-01    2.53283e+01    
2.69740e-01    2.64487e+01    
2.74106e-01    2.76147e+01    
2.78543e-01    2.88278e+01    
2.83052e-01    3.00896e+01    
2.87634e-01    3.14016e+01    
2.92290e-01    3.27656e+01    
2.97021e-01    3.41832e+01    
3.01829e-01    3.56560e+01    
3.06714e-01    3.71871e+01    
3.11679e-01    3.87772e+01    
3.16724e-01    4.04279e+01    
3.21851e-01    4.21411e+01    
3.27060e-01    4.39184e+01    
3.32354e-01    4.57617e+01    
3.37734e-01    4.76728e+01    
3.43201e-01    4.96534e+01    
3.48756e-01    5.17057e+01    
3.54401e-01    5.38325e+01    
3.60138e-01    5.60347e+01    
3.65968e-01    5.83138e+01    
3.71891e-01    6.06716e+01    
3.77911e-01    6.31099e+01    
3.84028e-01    6.56303e+01    
3.90244e-01    6.82345e+01    
3.96561e-01    7.09255e+01    
4.02980e-01    7.37036e+01    
4.09503e-01    7.65705e+01    
4.16132e-01    7.95275e+01    
4.22867e-01    8.25761e+01    
4.29712e-01    8.57177e+01    
4.36668e-01    8.89533e+01    
4.43736e-01    9.22842e+01    
4.50919e-01    9.57115e+01    
4.58218e-01    9.92359e+01    
4.65635e-01    1.02858e+02    
4.73172e-01    1.06578e+02    
4.80831e-01    1.10396e+02    
4.88614e-01    1.14313e+02    
4.96523e-01    1.18331e+02    
5.04560e-01    1.22447e+02    
5.12727e-01    1.26660e+02    
5.21027e-01    1.30972e+02    
5.29460e-01    1.35382e+02    
5.38031e-01    1.39890e+02    
5.46740e-01    1.44492e+02    
5.55590e-01    1.49189e+02    
5.64583e-01    1.53981e+02    
5.73721e-01    1.58865e+02    
5.83008e-01    1.63837e+02    
5.92445e-01    1.68898e+02    
6.02035e-01    1.74047e+02    
6.11780e-01    1.79278e+02    
6.21683e-01    1.84591e+02    
6.31746e-01    1.89982e+02    
6.41971e-01    1.95449e+02    
6.52363e-01    2.00988e+02    
6.62922e-01    2.06595e+02    
6.73653e-01    2.12269e+02    
6.84557e-01    2.18003e+02    
6.95638e-01    2.23794e+02    
7.06898e-01    2.29639e+02    
7.18340e-01    2.35531e+02    
7.29968e-01    2.41465e+02    
7.41784e-01    2.47438e+02    
7.53791e-01    2.53442e+02    
7.65992e-01    2.59473e+02    
7.78391e-01    2.65524e+02    
7.90991e-01    2.71590e+02    
8.03794e-01    2.77664e+02    
8.16805e-01    2.83739e+02    
8.30027e-01    2.89809e+02    
8.43462e-01    2.95867e+02    
8.57115e-01    3.01907e+02    
8.70989e-01    3.07920e+02    
8.85087e-01    3.13903e+02    
8.99414e-01    3.19845e+02    
9.13972e-01    3.25743e+02    
9.28767e-01    3.31587e+02    
9.43800e-01    3.37372e+02    
9.59077e-01    3.43090e+02    
9.74602e-01    3.48738e+02    
9.90377e-01    3.54304e+02    
1.00641e+00    3.59785e+02    
1.02270e+00    3.65173e+02    
1.03925e+00    3.70462e+02    
1.05608e+00    3.75645e+02    
1.07317e+00    3.80715e+02    
1.09054e+00    3.85668e+02    
1.10819e+00    3.90494e+02    
1.12613e+00    3.95190e+02    
1.14436e+00    3.99747e+02    
1.16288e+00    4.04162e+02    
1.18171e+00    4.08427e+02    
1.20083e+00    4.12539e+02    
1.22027e+00    4.16492e+02    
1.24002e+00    4.20282e+02    
1.26010e+00    4.23906e+02    
1.28049e+00    4.27361e+02    
1.30122e+00    4.30645e+02    
1.32228e+00    4.33754e+02    
1.34369e+00    4.36686e+02    
