# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# B/C
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.00751e-01    2.08592e-01    
1.02460e-01    2.08622e-01    
1.04198e-01    2.08652e-01    
1.05965e-01    2.08683e-01    
1.07763e-01    2.08715e-01    
1.09591e-01    2.08747e-01    
1.11450e-01    2.08780e-01    
1.13340e-01    2.08814e-01    
1.15263e-01    2.08847e-01    
1.17218e-01    2.08882e-01    
1.19206e-01    2.08917e-01    
1.21228e-01    2.08953e-01    
1.23285e-01    2.08989e-01    
1.25376e-01    2.09026e-01    
1.27503e-01    2.09064e-01    
1.29666e-01    2.09102e-01    
1.31865e-01    2.09141e-01    
1.34102e-01    2.09180e-01    
1.36377e-01    2.09220e-01    
1.38690e-01    2.09261e-01    
1.41043e-01    2.09303e-01    
1.43435e-01    2.09345e-01    
1.45868e-01    2.09388e-01    
1.48343e-01    2.09432e-01    
1.50859e-01    2.09476e-01    
1.53418e-01    2.09522e-01    
1.56020e-01    2.09568e-01    
1.58667e-01    2.09614e-01    
1.61358e-01    2.09662e-01    
1.64095e-01    2.09711e-01    
1.66879e-01    2.09760e-01    
1.69710e-01    2.09810e-01    
1.72588e-01    2.09861e-01    
1.75516e-01    2.09913e-01    
1.78493e-01    2.09966e-01    
1.81521e-01    2.10019e-01    
1.84600e-01    2.10074e-01    
1.87731e-01    2.10129e-01    
1.90916e-01    2.10186e-01    
1.94154e-01    2.10243e-01    
1.97448e-01    2.10301e-01    
2.00797e-01    2.10361e-01    
2.04203e-01    2.10422e-01    
2.07667e-01    2.10485e-01    
2.11190e-01    2.10550e-01    
2.14772e-01    2.10618e-01    
2.18415e-01    2.10687e-01    
2.22120e-01    2.10759e-01    
2.25888e-01    2.10833e-01    
2.29720e-01    2.10910e-01    
2.33616e-01    2.10989e-01    
2.37579e-01    2.11071e-01    
2.41609e-01    2.11156e-01    
2.45707e-01    2.11243e-01    
2.49875e-01    2.11333e-01    
2.54114e-01    2.11426e-01    
2.58424e-01    2.11522e-01    
2.62808e-01    2.11622e-01    
2.67266e-01    2.11724e-01    
2.71800e-01    2.11830e-01    
2.76410e-01    2.11939e-01    
2.81099e-01    2.12052e-01    
2.85867e-01    2.12168e-01    
2.90716e-01    2.12288e-01    
2.95647e-01    2.12412e-01    
3.00662e-01    2.12540e-01    
3.05763e-01    2.12672e-01    
3.10949e-01    2.12809e-01    
3.16224e-01    2.12949e-01    
3.21588e-01    2.13094e-01    
3.27043e-01    2.13244e-01    
3.32590e-01    2.13398e-01    
3.38232e-01    2.13558e-01    
3.43970e-01    2.13722e-01    
3.49804e-01    2.13891e-01    
3.55738e-01    2.14066e-01    
3.61772e-01    2.14246e-01    
3.67909e-01    2.14432e-01    
3.74150e-01    2.14623e-01    
3.80496e-01    2.14820e-01    
3.86951e-01    2.15024e-01    
3.93514e-01    2.15233e-01    
4.00190e-01    2.15449e-01    
4.06978e-01    2.15672e-01    
4.13881e-01    2.15901e-01    
4.20902e-01    2.16137e-01    
4.28042e-01    2.16380e-01    
4.35303e-01    2.16631e-01    
4.42686e-01    2.16889e-01    
4.50196e-01    2.17155e-01    
4.57832e-01    2.17428e-01    
4.65598e-01    2.17709e-01    
4.73496e-01    2.17999e-01    
4.81528e-01    2.18297e-01    
4.89696e-01    2.18604e-01    
4.98003e-01    2.18919e-01    
5.06450e-01    2.19243e-01    
5.15041e-01    2.19577e-01    
5.23778e-01    2.19920e-01    
5.32663e-01    2.20272e-01    
5.41698e-01    2.20635e-01    
5.50887e-01    2.21007e-01    
5.60231e-01    2.21390e-01    
5.69735e-01    2.21783e-01    
5.79399e-01    2.22187e-01    
5.89227e-01    2.22601e-01    
5.99222e-01    2.23027e-01    
6.09387e-01    2.23464e-01    
6.19724e-01    2.23912e-01    
6.30236e-01    2.24373e-01    
6.40926e-01    2.24845e-01    
6.51798e-01    2.25329e-01    
6.62855e-01    2.25825e-01    
6.74099e-01    2.26334e-01    
6.85533e-01    2.26856e-01    
6.97162e-01    2.27391e-01    
7.08988e-01    2.27939e-01    
7.21014e-01    2.28500e-01    
7.33245e-01    2.29075e-01    
7.45683e-01    2.29663e-01    
7.58331e-01    2.30266e-01    
7.71195e-01    2.30882e-01    
7.84277e-01    2.31513e-01    
7.97580e-01    2.32158e-01    
8.11109e-01    2.32818e-01    
8.24868e-01    2.33492e-01    
8.38860e-01    2.34181e-01    
8.53090e-01    2.34885e-01    
8.67560e-01    2.35605e-01    
8.82277e-01    2.36339e-01    
8.97243e-01    2.37089e-01    
9.12462e-01    2.37853e-01    
9.27940e-01    2.38633e-01    
9.43681e-01    2.39429e-01    
9.59688e-01    2.40239e-01    
9.75967e-01    2.41066e-01    
9.92523e-01    2.41907e-01    
1.00936e+00    2.42763e-01    
1.02648e+00    2.43635e-01    
1.04389e+00    2.44522e-01    
1.06160e+00    2.45423e-01    
1.07961e+00    2.46340e-01    
1.09792e+00    2.47271e-01    
1.11654e+00    2.48217e-01    
1.13548e+00    2.49177e-01    
1.15475e+00    2.50150e-01    
1.17433e+00    2.51138e-01    
1.19425e+00    2.52139e-01    
1.21451e+00    2.53154e-01    
1.23511e+00    2.54181e-01    
1.25606e+00    2.55221e-01    
1.27737e+00    2.56273e-01    
1.29904e+00    2.57336e-01    
1.32107e+00    2.58411e-01    
1.34348e+00    2.59495e-01    
1.36627e+00    2.60588e-01    
1.38945e+00    2.61690e-01    
1.41302e+00    2.62800e-01    
1.43699e+00    2.63917e-01    
1.46136e+00    2.65040e-01    
1.48615e+00    2.66168e-01    
1.51136e+00    2.67300e-01    
1.53700e+00    2.68435e-01    
1.56307e+00    2.69573e-01    
1.58958e+00    2.70714e-01    
1.61655e+00    2.71855e-01    
1.64397e+00    2.72998e-01    
1.67185e+00    2.74142e-01    
1.70021e+00    2.75286e-01    
1.72905e+00    2.76431e-01    
1.75838e+00    2.77576e-01    
1.78821e+00    2.78722e-01    
1.81854e+00    2.79869e-01    
1.84939e+00    2.81017e-01    
1.88076e+00    2.82167e-01    
1.91266e+00    2.83320e-01    
1.94511e+00    2.84475e-01    
1.97810e+00    2.85634e-01    
2.01166e+00    2.86796e-01    
2.04578e+00    2.87962e-01    
2.08048e+00    2.89132e-01    
2.11577e+00    2.90304e-01    
2.15166e+00    2.91479e-01    
2.18816e+00    2.92655e-01    
2.22528e+00    2.93833e-01    
2.26303e+00    2.95008e-01    
2.30141e+00    2.96180e-01    
2.34045e+00    2.97343e-01    
2.38015e+00    2.98494e-01    
2.42053e+00    2.99630e-01    
2.46159e+00    3.00747e-01    
2.50334e+00    3.01843e-01    
