# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# BE/B
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.08008e-01    3.59667e-01    
1.09818e-01    3.59650e-01    
1.11658e-01    3.59632e-01    
1.13529e-01    3.59613e-01    
1.15431e-01    3.59594e-01    
1.17365e-01    3.59575e-01    
1.19332e-01    3.59556e-01    
1.21331e-01    3.59536e-01    
1.23364e-01    3.59515e-01    
1.25431e-01    3.59494e-01    
1.27533e-01    3.59473e-01    
1.29670e-01    3.59451e-01    
1.31843e-01    3.59429e-01    
1.34052e-01    3.59406e-01    
1.36298e-01    3.59383e-01    
1.38582e-01    3.59359e-01    
1.40904e-01    3.59334e-01    
1.43265e-01    3.59309e-01    
1.45666e-01    3.59284e-01    
1.48107e-01    3.59258e-01    
1.50588e-01    3.59231e-01    
1.53112e-01    3.59204e-01    
1.55677e-01    3.59176e-01    
1.58286e-01    3.59148e-01    
1.60938e-01    3.59119e-01    
1.63635e-01    3.59089e-01    
1.66376e-01    3.59058e-01    
1.69164e-01    3.59027e-01    
1.71999e-01    3.58995e-01    
1.74881e-01    3.58963e-01    
1.77811e-01    3.58929e-01    
1.80791e-01    3.58895e-01    
1.83820e-01    3.58860e-01    
1.86900e-01    3.58824e-01    
1.90032e-01    3.58788e-01    
1.93216e-01    3.58751e-01    
1.96454e-01    3.58712e-01    
1.99745e-01    3.58673e-01    
2.03092e-01    3.58633e-01    
2.06495e-01    3.58591e-01    
2.09955e-01    3.58549e-01    
2.13473e-01    3.58504e-01    
2.17050e-01    3.58459e-01    
2.20687e-01    3.58412e-01    
2.24385e-01    3.58363e-01    
2.28145e-01    3.58313e-01    
2.31968e-01    3.58262e-01    
2.35855e-01    3.58208e-01    
2.39807e-01    3.58153e-01    
2.43825e-01    3.58097e-01    
2.47911e-01    3.58038e-01    
2.52065e-01    3.57978e-01    
2.56288e-01    3.57916e-01    
2.60583e-01    3.57852e-01    
2.64949e-01    3.57786e-01    
2.69389e-01    3.57718e-01    
2.73902e-01    3.57648e-01    
2.78492e-01    3.57575e-01    
2.83158e-01    3.57501e-01    
2.87903e-01    3.57424e-01    
2.92727e-01    3.57345e-01    
2.97632e-01    3.57264e-01    
3.02619e-01    3.57180e-01    
3.07690e-01    3.57093e-01    
3.12846e-01    3.57005e-01    
3.18088e-01    3.56913e-01    
3.23418e-01    3.56819e-01    
3.28837e-01    3.56722e-01    
3.34347e-01    3.56622e-01    
3.39949e-01    3.56520e-01    
3.45646e-01    3.56414e-01    
3.51437e-01    3.56305e-01    
3.57326e-01    3.56194e-01    
3.63313e-01    3.56079e-01    
3.69401e-01    3.55961e-01    
3.75591e-01    3.55840e-01    
3.81884e-01    3.55716e-01    
3.88283e-01    3.55588e-01    
3.94789e-01    3.55457e-01    
4.01405e-01    3.55323e-01    
4.08131e-01    3.55185e-01    
4.14969e-01    3.55043e-01    
4.21923e-01    3.54898e-01    
4.28992e-01    3.54749e-01    
4.36181e-01    3.54596e-01    
4.43489e-01    3.54440e-01    
4.50920e-01    3.54280e-01    
4.58476e-01    3.54116e-01    
4.66158e-01    3.53949e-01    
4.73969e-01    3.53778e-01    
4.81911e-01    3.53602e-01    
4.89986e-01    3.53423e-01    
4.98197e-01    3.53241e-01    
5.06544e-01    3.53054e-01    
5.15032e-01    3.52864e-01    
5.23662e-01    3.52670e-01    
5.32437e-01    3.52473e-01    
5.41358e-01    3.52272e-01    
5.50429e-01    3.52067e-01    
5.59652e-01    3.51859e-01    
5.69030e-01    3.51648e-01    
5.78565e-01    3.51433e-01    
5.88259e-01    3.51216e-01    
5.98116e-01    3.50996e-01    
6.08138e-01    3.50773e-01    
6.18328e-01    3.50548e-01    
6.28689e-01    3.50320e-01    
6.39223e-01    3.50091e-01    
6.49934e-01    3.49861e-01    
6.60825e-01    3.49629e-01    
