# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# BE/C
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.08008e-01    7.50695e-02    
1.09818e-01    7.50773e-02    
1.11658e-01    7.50853e-02    
1.13529e-01    7.50933e-02    
1.15431e-01    7.51015e-02    
1.17365e-01    7.51097e-02    
1.19332e-01    7.51181e-02    
1.21331e-01    7.51266e-02    
1.23364e-01    7.51353e-02    
1.25431e-01    7.51440e-02    
1.27533e-01    7.51529e-02    
1.29670e-01    7.51619e-02    
1.31843e-01    7.51710e-02    
1.34052e-01    7.51803e-02    
1.36298e-01    7.51896e-02    
1.38582e-01    7.51992e-02    
1.40904e-01    7.52088e-02    
1.43265e-01    7.52186e-02    
1.45666e-01    7.52285e-02    
1.48107e-01    7.52385e-02    
1.50588e-01    7.52487e-02    
1.53112e-01    7.52591e-02    
1.55677e-01    7.52695e-02    
1.58286e-01    7.52801e-02    
1.60938e-01    7.52909e-02    
1.63635e-01    7.53018e-02    
1.66376e-01    7.53128e-02    
1.69164e-01    7.53240e-02    
1.71999e-01    7.53353e-02    
1.74881e-01    7.53468e-02    
1.77811e-01    7.53584e-02    
1.80791e-01    7.53702e-02    
1.83820e-01    7.53821e-02    
1.86900e-01    7.53942e-02    
1.90032e-01    7.54064e-02    
1.93216e-01    7.54188e-02    
1.96454e-01    7.54314e-02    
1.99745e-01    7.54441e-02    
2.03092e-01    7.54571e-02    
2.06495e-01    7.54705e-02    
2.09955e-01    7.54843e-02    
2.13473e-01    7.54986e-02    
2.17050e-01    7.55133e-02    
2.20687e-01    7.55286e-02    
2.24385e-01    7.55443e-02    
2.28145e-01    7.55606e-02    
2.31968e-01    7.55774e-02    
2.35855e-01    7.55947e-02    
2.39807e-01    7.56126e-02    
2.43825e-01    7.56311e-02    
2.47911e-01    7.56501e-02    
2.52065e-01    7.56698e-02    
2.56288e-01    7.56901e-02    
2.60583e-01    7.57111e-02    
2.64949e-01    7.57328e-02    
2.69389e-01    7.57552e-02    
2.73902e-01    7.57782e-02    
2.78492e-01    7.58021e-02    
2.83158e-01    7.58267e-02    
2.87903e-01    7.58520e-02    
2.92727e-01    7.58782e-02    
2.97632e-01    7.59053e-02    
3.02619e-01    7.59332e-02    
3.07690e-01    7.59619e-02    
3.12846e-01    7.59916e-02    
3.18088e-01    7.60223e-02    
3.23418e-01    7.60539e-02    
3.28837e-01    7.60865e-02    
3.34347e-01    7.61202e-02    
3.39949e-01    7.61549e-02    
3.45646e-01    7.61907e-02    
3.51437e-01    7.62276e-02    
3.57326e-01    7.62658e-02    
3.63313e-01    7.63051e-02    
3.69401e-01    7.63456e-02    
3.75591e-01    7.63874e-02    
3.81884e-01    7.64305e-02    
3.88283e-01    7.64750e-02    
3.94789e-01    7.65208e-02    
4.01405e-01    7.65681e-02    
4.08131e-01    7.66168e-02    
4.14969e-01    7.66671e-02    
4.21923e-01    7.67189e-02    
4.28992e-01    7.67723e-02    
4.36181e-01    7.68274e-02    
4.43489e-01    7.68841e-02    
4.50920e-01    7.69427e-02    
4.58476e-01    7.70030e-02    
4.66158e-01    7.70652e-02    
4.73969e-01    7.71293e-02    
4.81911e-01    7.71954e-02    
