# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# BE/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.08008e-01    7.62099e-02    
1.09818e-01    7.62190e-02    
1.11658e-01    7.62283e-02    
1.13529e-01    7.62377e-02    
1.15431e-01    7.62472e-02    
1.17365e-01    7.62569e-02    
1.19332e-01    7.62667e-02    
1.21331e-01    7.62766e-02    
1.23364e-01    7.62867e-02    
1.25431e-01    7.62970e-02    
1.27533e-01    7.63074e-02    
1.29670e-01    7.63180e-02    
1.31843e-01    7.63287e-02    
1.34052e-01    7.63395e-02    
1.36298e-01    7.63505e-02    
1.38582e-01    7.63617e-02    
1.40904e-01    7.63731e-02    
1.43265e-01    7.63846e-02    
1.45666e-01    7.63962e-02    
1.48107e-01    7.64080e-02    
1.50588e-01    7.64200e-02    
1.53112e-01    7.64322e-02    
1.55677e-01    7.64445e-02    
1.58286e-01    7.64571e-02    
1.60938e-01    7.64697e-02    
1.63635e-01    7.64826e-02    
1.66376e-01    7.64956e-02    
1.69164e-01    7.65089e-02    
1.71999e-01    7.65223e-02    
1.74881e-01    7.65358e-02    
1.77811e-01    7.65496e-02    
1.80791e-01    7.65636e-02    
1.83820e-01    7.65777e-02    
1.86900e-01    7.65921e-02    
1.90032e-01    7.66066e-02    
1.93216e-01    7.66213e-02    
1.96454e-01    7.66362e-02    
1.99745e-01    7.66514e-02    
2.03092e-01    7.66668e-02    
2.06495e-01    7.66828e-02    
2.09955e-01    7.66992e-02    
2.13473e-01    7.67163e-02    
2.17050e-01    7.67338e-02    
2.20687e-01    7.67520e-02    
2.24385e-01    7.67708e-02    
2.28145e-01    7.67901e-02    
2.31968e-01    7.68101e-02    
2.35855e-01    7.68308e-02    
2.39807e-01    7.68521e-02    
2.43825e-01    7.68741e-02    
2.47911e-01    7.68969e-02    
2.52065e-01    7.69204e-02    
2.56288e-01    7.69446e-02    
2.60583e-01    7.69697e-02    
2.64949e-01    7.69955e-02    
2.69389e-01    7.70222e-02    
2.73902e-01    7.70498e-02    
2.78492e-01    7.70782e-02    
2.83158e-01    7.71076e-02    
2.87903e-01    7.71379e-02    
2.92727e-01    7.71692e-02    
2.97632e-01    7.72014e-02    
3.02619e-01    7.72348e-02    
3.07690e-01    7.72692e-02    
3.12846e-01    7.73047e-02    
3.18088e-01    7.73413e-02    
3.23418e-01    7.73791e-02    
3.28837e-01    7.74182e-02    
3.34347e-01    7.74584e-02    
3.39949e-01    7.75000e-02    
3.45646e-01    7.75428e-02    
3.51437e-01    7.75871e-02    
3.57326e-01    7.76327e-02    
3.63313e-01    7.76798e-02    
3.69401e-01    7.77284e-02    
3.75591e-01    7.77785e-02    
3.81884e-01    7.78301e-02    
3.88283e-01    7.78834e-02    
3.94789e-01    7.79384e-02    
4.01405e-01    7.79951e-02    
4.08131e-01    7.80536e-02    
4.14969e-01    7.81139e-02    
4.21923e-01    7.81761e-02    
4.28992e-01    7.82403e-02    
4.36181e-01    7.83065e-02    
4.43489e-01    7.83747e-02    
4.50920e-01    7.84450e-02    
4.58476e-01    7.85175e-02    
4.66158e-01    7.85923e-02    
4.73969e-01    7.86694e-02    
4.81911e-01    7.87489e-02    
4.89986e-01    7.88309e-02    
4.98197e-01    7.89154e-02    
5.06544e-01    7.90025e-02    
5.15032e-01    7.90924e-02    
5.23662e-01    7.91850e-02    
5.32437e-01    7.92805e-02    
5.41358e-01    7.93789e-02    
5.50429e-01    7.94804e-02    
5.59652e-01    7.95851e-02    
5.69030e-01    7.96931e-02    
5.78565e-01    7.98044e-02    
5.88259e-01    7.99192e-02    
5.98116e-01    8.00375e-02    
6.08138e-01    8.01597e-02    
6.18328e-01    8.02856e-02    
6.28689e-01    8.04156e-02    
6.39223e-01    8.05497e-02    
6.49934e-01    8.06880e-02    
6.60825e-01    8.08308e-02    
6.71898e-01    8.09783e-02    
6.83156e-01    8.11305e-02    
6.94603e-01    8.12877e-02    
7.06242e-01    8.14500e-02    
7.18076e-01    8.16177e-02    
7.30108e-01    8.17909e-02    
7.42342e-01    8.19700e-02    
7.54781e-01    8.21550e-02    
7.67428e-01    8.23462e-02    
7.80287e-01    8.25438e-02    
7.93362e-01    8.27482e-02    
8.06655e-01    8.29595e-02    
8.20172e-01    8.31780e-02    
8.33915e-01    8.34039e-02    
8.47888e-01    8.36374e-02    
8.62095e-01    8.38789e-02    
8.76540e-01    8.41285e-02    
8.91228e-01    8.43864e-02    
9.06161e-01    8.46529e-02    
9.21345e-01    8.49280e-02    
9.36783e-01    8.52119e-02    
9.52480e-01    8.55048e-02    
9.68440e-01    8.58064e-02    
9.84667e-01    8.61167e-02    
1.00117e+00    8.64356e-02    
1.01794e+00    8.67628e-02    
1.03500e+00    8.70980e-02    
1.05234e+00    8.74410e-02    
1.06997e+00    8.77913e-02    
1.08790e+00    8.81487e-02    
1.10613e+00    8.85129e-02    
1.12467e+00    8.88833e-02    
1.14351e+00    8.92596e-02    
1.16267e+00    8.96414e-02    
1.18215e+00    9.00283e-02    
1.20196e+00    9.04200e-02    
1.22210e+00    9.08162e-02    
1.24258e+00    9.12169e-02    
1.26340e+00    9.16219e-02    
1.28457e+00    9.20317e-02    
1.30610e+00    9.24468e-02    
1.32798e+00    9.28677e-02    
1.35023e+00    9.32954e-02    
1.37286e+00    9.37307e-02    
1.39586e+00    9.41743e-02    
1.41925e+00    9.46273e-02    
1.44303e+00    9.50906e-02    
1.46721e+00    9.55652e-02    
1.49180e+00    9.60519e-02    
1.51679e+00    9.65519e-02    
1.54221e+00    9.70660e-02    
1.56805e+00    9.75950e-02    
1.59432e+00    9.81396e-02    
1.62104e+00    9.87001e-02    
1.64820e+00    9.92768e-02    
1.67582e+00    9.98698e-02    
1.70390e+00    1.00479e-01    
1.73245e+00    1.01105e-01    
1.76148e+00    1.01748e-01    
1.79099e+00    1.02407e-01    
1.82100e+00    1.03083e-01    
1.85152e+00    1.03776e-01    
1.88254e+00    1.04485e-01    
1.91409e+00    1.05211e-01    
1.94616e+00    1.05952e-01    
1.97877e+00    1.06709e-01    
2.01193e+00    1.07482e-01    
2.04564e+00    1.08269e-01    
2.07991e+00    1.09070e-01    
2.11477e+00    1.09884e-01    
2.15020e+00    1.10711e-01    
2.18623e+00    1.11549e-01    
2.22286e+00    1.12397e-01    
2.26011e+00    1.13254e-01    
2.29798e+00    1.14117e-01    
2.33649e+00    1.14984e-01    
2.37564e+00    1.15852e-01    
2.41544e+00    1.16718e-01    
2.45592e+00    1.17578e-01    
2.49707e+00    1.18429e-01    
2.53891e+00    1.19266e-01    
2.58145e+00    1.20087e-01    
2.62471e+00    1.20889e-01    
2.66869e+00    1.21667e-01    
2.71340e+00    1.22420e-01    
2.75887e+00    1.23147e-01    
2.80510e+00    1.23850e-01    
2.85210e+00    1.24530e-01    
2.89989e+00    1.25189e-01    
2.94848e+00    1.25831e-01    
2.99789e+00    1.26457e-01    
3.04812e+00    1.27069e-01    
3.09919e+00    1.27672e-01    
3.15112e+00    1.28265e-01    
3.20393e+00    1.28851e-01    
3.25761e+00    1.29429e-01    
3.31220e+00    1.29998e-01    
3.36769e+00    1.30555e-01    
3.42412e+00    1.31097e-01    
3.48150e+00    1.31621e-01    
3.53984e+00    1.32121e-01    
3.59915e+00    1.32593e-01    
3.65946e+00    1.33033e-01    
3.72078e+00    1.33435e-01    
3.78312e+00    1.33795e-01    
3.84651e+00    1.34111e-01    
3.91097e+00    1.34381e-01    
3.97650e+00    1.34606e-01    
4.04313e+00    1.34785e-01    
4.11088e+00    1.34921e-01    
4.17976e+00    1.35016e-01    
4.24979e+00    1.35072e-01    
4.32100e+00    1.35093e-01    
4.39341e+00    1.35080e-01    
4.46702e+00    1.35037e-01    
4.54187e+00    1.34963e-01    
4.61798e+00    1.34862e-01    
4.69536e+00    1.34733e-01    
4.77403e+00    1.34580e-01    
4.85403e+00    1.34401e-01    
4.93536e+00    1.34199e-01    
5.01806e+00    1.33974e-01    
