# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# B/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
9.71391e-02    2.11676e-01    
9.87904e-02    2.11708e-01    
1.00470e-01    2.11741e-01    
1.02178e-01    2.11775e-01    
1.03915e-01    2.11809e-01    
1.05681e-01    2.11844e-01    
1.07478e-01    2.11880e-01    
1.09305e-01    2.11916e-01    
1.11163e-01    2.11952e-01    
1.13053e-01    2.11990e-01    
1.14975e-01    2.12028e-01    
1.16930e-01    2.12066e-01    
1.18917e-01    2.12105e-01    
1.20939e-01    2.12145e-01    
1.22995e-01    2.12186e-01    
1.25086e-01    2.12227e-01    
1.27212e-01    2.12269e-01    
1.29375e-01    2.12312e-01    
1.31574e-01    2.12356e-01    
1.33811e-01    2.12400e-01    
1.36086e-01    2.12445e-01    
1.38399e-01    2.12491e-01    
1.40752e-01    2.12537e-01    
1.43145e-01    2.12585e-01    
1.45578e-01    2.12633e-01    
1.48053e-01    2.12682e-01    
1.50570e-01    2.12732e-01    
1.53130e-01    2.12783e-01    
1.55733e-01    2.12834e-01    
1.58381e-01    2.12887e-01    
1.61073e-01    2.12940e-01    
1.63811e-01    2.12994e-01    
1.66596e-01    2.13050e-01    
1.69428e-01    2.13106e-01    
1.72308e-01    2.13163e-01    
1.75238e-01    2.13221e-01    
1.78217e-01    2.13280e-01    
1.81246e-01    2.13340e-01    
1.84328e-01    2.13402e-01    
1.87461e-01    2.13464e-01    
1.90648e-01    2.13527e-01    
1.93889e-01    2.13592e-01    
1.97185e-01    2.13657e-01    
2.00537e-01    2.13724e-01    
2.03946e-01    2.13792e-01    
2.07414e-01    2.13863e-01    
2.10940e-01    2.13936e-01    
2.14526e-01    2.14012e-01    
2.18172e-01    2.14090e-01    
2.21881e-01    2.14171e-01    
2.25653e-01    2.14254e-01    
2.29489e-01    2.14340e-01    
2.33391e-01    2.14429e-01    
2.37358e-01    2.14521e-01    
2.41394e-01    2.14616e-01    
2.45497e-01    2.14714e-01    
2.49671e-01    2.14816e-01    
2.53915e-01    2.14920e-01    
2.58232e-01    2.15028e-01    
2.62622e-01    2.15140e-01    
2.67086e-01    2.15255e-01    
2.71627e-01    2.15374e-01    
2.76244e-01    2.15497e-01    
2.80940e-01    2.15624e-01    
2.85716e-01    2.15755e-01    
2.90574e-01    2.15891e-01    
2.95513e-01    2.16030e-01    
3.00537e-01    2.16175e-01    
3.05646e-01    2.16323e-01    
3.10842e-01    2.16477e-01    
3.16127e-01    2.16636e-01    
3.21501e-01    2.16799e-01    
3.26966e-01    2.16968e-01    
3.32525e-01    2.17143e-01    
3.38178e-01    2.17322e-01    
3.43927e-01    2.17508e-01    
3.49773e-01    2.17699e-01    
3.55720e-01    2.17897e-01    
3.61767e-01    2.18101e-01    
3.67917e-01    2.18311e-01    
3.74171e-01    2.18527e-01    
3.80532e-01    2.18751e-01    
3.87001e-01    2.18981e-01    
3.93580e-01    2.19219e-01    
4.00271e-01    2.19463e-01    
4.07076e-01    2.19716e-01    
4.13996e-01    2.19976e-01    
4.21034e-01    2.20244e-01    
4.28192e-01    2.20520e-01    
4.35471e-01    2.20805e-01    
4.42874e-01    2.21098e-01    
4.50403e-01    2.21400e-01    
4.58060e-01    2.21711e-01    
4.65847e-01    2.22031e-01    
4.73766e-01    2.22361e-01    
4.81820e-01    2.22701e-01    
4.90011e-01    2.23050e-01    
4.98341e-01    2.23410e-01    
5.06813e-01    2.23781e-01    
5.15429e-01    2.24162e-01    
5.24191e-01    2.24554e-01    
5.33102e-01    2.24957e-01    
5.42165e-01    2.25372e-01    
5.51382e-01    2.25798e-01    
5.60756e-01    2.26237e-01    
5.70288e-01    2.26687e-01    
5.79983e-01    2.27151e-01    
5.89843e-01    2.27627e-01    
5.99870e-01    2.28116e-01    
6.10068e-01    2.28618e-01    
6.20439e-01    2.29134e-01    
6.30987e-01    2.29664e-01    
6.41714e-01    2.30209e-01    
6.52623e-01    2.30767e-01    
6.63717e-01    2.31341e-01    
6.75000e-01    2.31929e-01    
6.86475e-01    2.32532e-01    
6.98146e-01    2.33151e-01    
7.10014e-01    2.33786e-01    
7.22084e-01    2.34437e-01    
7.34360e-01    2.35104e-01    
7.46844e-01    2.35788e-01    
7.59540e-01    2.36489e-01    
7.72452e-01    2.37206e-01    
7.85584e-01    2.37941e-01    
7.98939e-01    2.38694e-01    
8.12521e-01    2.39464e-01    
8.26334e-01    2.40252e-01    
8.40382e-01    2.41058e-01    
8.54668e-01    2.41883e-01    
8.69197e-01    2.42726e-01    
8.83974e-01    2.43588e-01    
8.99001e-01    2.44468e-01    
9.14284e-01    2.45368e-01    
9.29827e-01    2.46286e-01    
9.45634e-01    2.47224e-01    
9.61710e-01    2.48180e-01    
9.78059e-01    2.49156e-01    
9.94686e-01    2.50151e-01    
1.01160e+00    2.51166e-01    
1.02879e+00    2.52199e-01    
1.04628e+00    2.53252e-01    
1.06407e+00    2.54323e-01    
1.08216e+00    2.55414e-01    
1.10056e+00    2.56524e-01    
1.11926e+00    2.57652e-01    
1.13829e+00    2.58799e-01    
1.15764e+00    2.59965e-01    
1.17732e+00    2.61148e-01    
1.19734e+00    2.62350e-01    
1.21769e+00    2.63569e-01    
1.23839e+00    2.64806e-01    
1.25945e+00    2.66059e-01    
1.28086e+00    2.67330e-01    
1.30263e+00    2.68615e-01    
1.32478e+00    2.69916e-01    
1.34730e+00    2.71232e-01    
1.37020e+00    2.72560e-01    
1.39349e+00    2.73901e-01    
1.41718e+00    2.75254e-01    
1.44128e+00    2.76617e-01    
1.46578e+00    2.77990e-01    
1.49070e+00    2.79371e-01    
1.51604e+00    2.80760e-01    
1.54181e+00    2.82156e-01    
1.56802e+00    2.83557e-01    
1.59468e+00    2.84963e-01    
1.62179e+00    2.86374e-01    
1.64936e+00    2.87789e-01    
1.67740e+00    2.89208e-01    
1.70591e+00    2.90631e-01    
1.73491e+00    2.92059e-01    
1.76441e+00    2.93491e-01    
1.79440e+00    2.94929e-01    
1.82491e+00    2.96373e-01    
1.85593e+00    2.97823e-01    
1.88748e+00    2.99280e-01    
1.91957e+00    3.00746e-01    
1.95220e+00    3.02222e-01    
1.98539e+00    3.03708e-01    
2.01914e+00    3.05204e-01    
2.05346e+00    3.06710e-01    
2.08837e+00    3.08225e-01    
2.12388e+00    3.09750e-01    
2.15998e+00    3.11283e-01    
2.19670e+00    3.12823e-01    
2.23405e+00    3.14369e-01    
2.27202e+00    3.15916e-01    
2.31065e+00    3.17462e-01    
2.34993e+00    3.19001e-01    
2.38988e+00    3.20531e-01    
2.43051e+00    3.22046e-01    
2.47183e+00    3.23544e-01    
2.51385e+00    3.25021e-01    
2.55658e+00    3.26474e-01    
2.60004e+00    3.27899e-01    
2.64424e+00    3.29294e-01    
2.68920e+00    3.30658e-01    
2.73491e+00    3.31992e-01    
2.78141e+00    3.33297e-01    
2.82869e+00    3.34573e-01    
2.87678e+00    3.35822e-01    
2.92568e+00    3.37045e-01    
