# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# B
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.50228e-02    3.46691e-04    
9.66403e-02    3.64526e-04    
9.82854e-02    3.83275e-04    
9.99584e-02    4.02985e-04    
1.01660e-01    4.23704e-04    
1.03390e-01    4.45485e-04    
1.05150e-01    4.68381e-04    
1.06940e-01    4.92449e-04    
1.08761e-01    5.17749e-04    
1.10612e-01    5.44343e-04    
1.12495e-01    5.72297e-04    
1.14410e-01    6.01681e-04    
1.16357e-01    6.32566e-04    
1.18338e-01    6.65030e-04    
1.20353e-01    6.99152e-04    
1.22401e-01    7.35017e-04    
1.24485e-01    7.72713e-04    
1.26604e-01    8.12333e-04    
1.28759e-01    8.53973e-04    
1.30951e-01    8.97738e-04    
1.33180e-01    9.43734e-04    
1.35447e-01    9.92074e-04    
1.37753e-01    1.04288e-03    
1.40097e-01    1.09627e-03    
1.42482e-01    1.15237e-03    
1.44908e-01    1.21134e-03    
1.47374e-01    1.27330e-03    
1.49883e-01    1.33841e-03    
1.52434e-01    1.40683e-03    
1.55029e-01    1.47873e-03    
1.57668e-01    1.55428e-03    
1.60352e-01    1.63366e-03    
1.63082e-01    1.71707e-03    
1.65858e-01    1.80471e-03    
1.68681e-01    1.89679e-03    
1.71552e-01    1.99354e-03    
1.74472e-01    2.09519e-03    
1.77442e-01    2.20198e-03    
1.80463e-01    2.31417e-03    
1.83535e-01    2.43204e-03    
1.86659e-01    2.55586e-03    
1.89836e-01    2.68593e-03    
1.93068e-01    2.82258e-03    
1.96354e-01    2.96611e-03    
1.99697e-01    3.11688e-03    
2.03096e-01    3.27522e-03    
2.06553e-01    3.44149e-03    
2.10069e-01    3.61605e-03    
2.13645e-01    3.79932e-03    
2.17282e-01    3.99172e-03    
2.20981e-01    4.19369e-03    
2.24742e-01    4.40568e-03    
2.28568e-01    4.62818e-03    
