# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# C/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.00751e-01    1.01513e+00    
1.02460e-01    1.01514e+00    
1.04198e-01    1.01516e+00    
1.05965e-01    1.01517e+00    
1.07763e-01    1.01519e+00    
1.09591e-01    1.01520e+00    
1.11450e-01    1.01522e+00    
1.13340e-01    1.01524e+00    
1.15263e-01    1.01525e+00    
1.17218e-01    1.01527e+00    
1.19206e-01    1.01529e+00    
1.21228e-01    1.01531e+00    
1.23285e-01    1.01532e+00    
1.25376e-01    1.01534e+00    
1.27503e-01    1.01536e+00    
1.29666e-01    1.01538e+00    
1.31865e-01    1.01540e+00    
1.34102e-01    1.01542e+00    
1.36377e-01    1.01544e+00    
1.38690e-01    1.01546e+00    
1.41043e-01    1.01548e+00    
1.43435e-01    1.01550e+00    
1.45868e-01    1.01552e+00    
1.48343e-01    1.01555e+00    
1.50859e-01    1.01557e+00    
1.53418e-01    1.01559e+00    
1.56020e-01    1.01561e+00    
1.58667e-01    1.01564e+00    
1.61358e-01    1.01566e+00    
1.64095e-01    1.01569e+00    
1.66879e-01    1.01571e+00    
1.69710e-01    1.01574e+00    
1.72588e-01    1.01576e+00    
1.75516e-01    1.01579e+00    
1.78493e-01    1.01581e+00    
1.81521e-01    1.01584e+00    
1.84600e-01    1.01587e+00    
1.87731e-01    1.01590e+00    
1.90916e-01    1.01592e+00    
1.94154e-01    1.01595e+00    
1.97448e-01    1.01598e+00    
2.00797e-01    1.01601e+00    
2.04203e-01    1.01604e+00    
2.07667e-01    1.01607e+00    
2.11190e-01    1.01611e+00    
2.14772e-01    1.01614e+00    
2.18415e-01    1.01618e+00    
2.22120e-01    1.01621e+00    
2.25888e-01    1.01625e+00    
2.29720e-01    1.01629e+00    
2.33616e-01    1.01633e+00    
2.37579e-01    1.01637e+00    
2.41609e-01    1.01641e+00    
2.45707e-01    1.01646e+00    
2.49875e-01    1.01650e+00    
2.54114e-01    1.01655e+00    
2.58424e-01    1.01660e+00    
2.62808e-01    1.01665e+00    
2.67266e-01    1.01670e+00    
2.71800e-01    1.01675e+00    
2.76410e-01    1.01681e+00    
2.81099e-01    1.01687e+00    
2.85867e-01    1.01693e+00    
2.90716e-01    1.01699e+00    
2.95647e-01    1.01705e+00    
3.00662e-01    1.01712e+00    
3.05763e-01    1.01718e+00    
3.10949e-01    1.01725e+00    
3.16224e-01    1.01733e+00    
3.21588e-01    1.01740e+00    
3.27043e-01    1.01748e+00    
3.32590e-01    1.01756e+00    
3.38232e-01    1.01764e+00    
3.43970e-01    1.01772e+00    
3.49804e-01    1.01781e+00    
3.55738e-01    1.01790e+00    
3.61772e-01    1.01799e+00    
3.67909e-01    1.01809e+00    
3.74150e-01    1.01819e+00    
3.80496e-01    1.01829e+00    
3.86951e-01    1.01840e+00    
3.93514e-01    1.01850e+00    
4.00190e-01    1.01862e+00    
4.06978e-01    1.01873e+00    
4.13881e-01    1.01885e+00    
4.20902e-01    1.01898e+00    
4.28042e-01    1.01910e+00    
4.35303e-01    1.01924e+00    
4.42686e-01    1.01937e+00    
4.50196e-01    1.01951e+00    
4.57832e-01    1.01966e+00    
4.65598e-01    1.01981e+00    
4.73496e-01    1.01996e+00    
4.81528e-01    1.02012e+00    
4.89696e-01    1.02028e+00    
4.98003e-01    1.02045e+00    
5.06450e-01    1.02062e+00    
5.15041e-01    1.02080e+00    
5.23778e-01    1.02099e+00    
5.32663e-01    1.02118e+00    
5.41698e-01    1.02137e+00    
5.50887e-01    1.02157e+00    
5.60231e-01    1.02178e+00    
5.69735e-01    1.02199e+00    
5.79399e-01    1.02221e+00    
5.89227e-01    1.02244e+00    
5.99222e-01    1.02267e+00    
6.09387e-01    1.02291e+00    
6.19724e-01    1.02316e+00    
6.30236e-01    1.02342e+00    
6.40926e-01    1.02368e+00    
6.51798e-01    1.02395e+00    
6.62855e-01    1.02422e+00    
6.74099e-01    1.02451e+00    
6.85533e-01    1.02480e+00    
6.97162e-01    1.02510e+00    
7.08988e-01    1.02541e+00    
7.21014e-01    1.02573e+00    
7.33245e-01    1.02606e+00    
7.45683e-01    1.02639e+00    
7.58331e-01    1.02673e+00    
7.71195e-01    1.02709e+00    
7.84277e-01    1.02745e+00    
7.97580e-01    1.02782e+00    
8.11109e-01    1.02820e+00    
8.24868e-01    1.02859e+00    
8.38860e-01    1.02899e+00    
8.53090e-01    1.02940e+00    
8.67560e-01    1.02982e+00    
8.82277e-01    1.03025e+00    
8.97243e-01    1.03069e+00    
9.12462e-01    1.03114e+00    
9.27940e-01    1.03160e+00    
9.43681e-01    1.03207e+00    
9.59688e-01    1.03255e+00    
9.75967e-01    1.03304e+00    
9.92523e-01    1.03355e+00    
1.00936e+00    1.03406e+00    
1.02648e+00    1.03458e+00    
1.04389e+00    1.03511e+00    
1.06160e+00    1.03566e+00    
1.07961e+00    1.03621e+00    
1.09792e+00    1.03678e+00    
1.11654e+00    1.03735e+00    
1.13548e+00    1.03794e+00    
1.15475e+00    1.03854e+00    
1.17433e+00    1.03914e+00    
1.19425e+00    1.03976e+00    
1.21451e+00    1.04039e+00    
1.23511e+00    1.04103e+00    
1.25606e+00    1.04168e+00    
1.27737e+00    1.04234e+00    
1.29904e+00    1.04301e+00    
1.32107e+00    1.04369e+00    
1.34348e+00    1.04437e+00    
1.36627e+00    1.04507e+00    
1.38945e+00    1.04577e+00    
1.41302e+00    1.04649e+00    
1.43699e+00    1.04721e+00    
1.46136e+00    1.04793e+00    
1.48615e+00    1.04866e+00    
1.51136e+00    1.04940e+00    
1.53700e+00    1.05015e+00    
1.56307e+00    1.05089e+00    
1.58958e+00    1.05165e+00    
1.61655e+00    1.05241e+00    
1.64397e+00    1.05317e+00    
1.67185e+00    1.05394e+00    
1.70021e+00    1.05471e+00    
1.72905e+00    1.05550e+00    
1.75838e+00    1.05629e+00    
1.78821e+00    1.05709e+00    
1.81854e+00    1.05790e+00    
1.84939e+00    1.05872e+00    
1.88076e+00    1.05955e+00    
1.91266e+00    1.06040e+00    
1.94511e+00    1.06126e+00    
1.97810e+00    1.06214e+00    
2.01166e+00    1.06303e+00    
2.04578e+00    1.06394e+00    
2.08048e+00    1.06486e+00    
2.11577e+00    1.06579e+00    
2.15166e+00    1.06674e+00    
2.18816e+00    1.06770e+00    
2.22528e+00    1.06866e+00    
2.26303e+00    1.06964e+00    
2.30141e+00    1.07062e+00    
2.34045e+00    1.07160e+00    
2.38015e+00    1.07259e+00    
2.42053e+00    1.07358e+00    
2.46159e+00    1.07458e+00    
2.50334e+00    1.07558e+00    
2.54581e+00    1.07658e+00    
2.58899e+00    1.07759e+00    
2.63291e+00    1.07860e+00    
2.67757e+00    1.07962e+00    
2.72299e+00    1.08064e+00    
2.76918e+00    1.08167e+00    
2.81615e+00    1.08270e+00    
2.86392e+00    1.08374e+00    
2.91250e+00    1.08478e+00    
2.96190e+00    1.08582e+00    
3.01215e+00    1.08686e+00    
3.06324e+00    1.08790e+00    
3.11520e+00    1.08893e+00    
3.16805e+00    1.08994e+00    
3.22178e+00    1.09094e+00    
3.27644e+00    1.09191e+00    
3.33201e+00    1.09284e+00    
3.38853e+00    1.09373e+00    
3.44601e+00    1.09457e+00    
3.50447e+00    1.09534e+00    
3.56391e+00    1.09603e+00    
3.62437e+00    1.09664e+00    
3.68585e+00    1.09714e+00    
3.74837e+00    1.09754e+00    
3.81195e+00    1.09781e+00    
3.87661e+00    1.09797e+00    
3.94237e+00    1.09801e+00    
4.00925e+00    1.09793e+00    
4.07725e+00    1.09774e+00    
4.14642e+00    1.09745e+00    
4.21675e+00    1.09708e+00    
4.28828e+00    1.09663e+00    
4.36102e+00    1.09612e+00    
4.43500e+00    1.09555e+00    
4.51023e+00    1.09494e+00    
4.58673e+00    1.09430e+00    
4.66454e+00    1.09363e+00    
4.74366e+00    1.09293e+00    
4.82413e+00    1.09222e+00    
4.90596e+00    1.09150e+00    
4.98918e+00    1.09077e+00    
5.07381e+00    1.09002e+00    
5.15987e+00    1.08927e+00    
5.24740e+00    1.08851e+00    
5.33641e+00    1.08774e+00    
5.42693e+00    1.08697e+00    
5.51899e+00    1.08618e+00    
5.61260e+00    1.08538e+00    
5.70781e+00    1.08457e+00    
5.80463e+00    1.08374e+00    
5.90309e+00    1.08290e+00    
6.00323e+00    1.08204e+00    
6.10506e+00    1.08116e+00    
6.20862e+00    1.08026e+00    
6.31393e+00    1.07934e+00    
6.42104e+00    1.07841e+00    
6.52995e+00    1.07746e+00    
6.64072e+00    1.07649e+00    
6.75337e+00    1.07550e+00    
6.86792e+00    1.07449e+00    
6.98442e+00    1.07347e+00    
7.10290e+00    1.07243e+00    
7.22338e+00    1.07138e+00    
7.34591e+00    1.07032e+00    
7.47052e+00    1.06924e+00    
7.59724e+00    1.06814e+00    
7.72611e+00    1.06704e+00    
7.85717e+00    1.06592e+00    
7.99045e+00    1.06480e+00    
8.12599e+00    1.06366e+00    
8.26383e+00    1.06251e+00    
8.40401e+00    1.06136e+00    
8.54656e+00    1.06019e+00    
8.69154e+00    1.05902e+00    
8.83897e+00    1.05785e+00    
8.98891e+00    1.05667e+00    
9.14138e+00    1.05548e+00    
9.29645e+00    1.05429e+00    
9.45414e+00    1.05310e+00    
9.61451e+00    1.05190e+00    
9.77760e+00    1.05070e+00    
9.94346e+00    1.04950e+00    
1.01121e+01    1.04829e+00    
1.02837e+01    1.04709e+00    
1.04581e+01    1.04587e+00    
1.06355e+01    1.04466e+00    
1.08159e+01    1.04344e+00    
1.09994e+01    1.04222e+00    
1.11860e+01    1.04100e+00    
1.13757e+01    1.03978e+00    
1.15687e+01    1.03856e+00    
1.17649e+01    1.03733e+00    
1.19645e+01    1.03610e+00    
1.21674e+01    1.03488e+00    
1.23738e+01    1.03365e+00    
1.25837e+01    1.03243e+00    
1.27972e+01    1.03121e+00    
1.30142e+01    1.02998e+00    
1.32350e+01    1.02876e+00    
1.34595e+01    1.02754e+00    
1.36878e+01    1.02632e+00    
1.39200e+01    1.02511e+00    
1.41561e+01    1.02389e+00    
1.43962e+01    1.02268e+00    
1.46404e+01    1.02147e+00    
1.48888e+01    1.02025e+00    
1.51413e+01    1.01904e+00    
1.53982e+01    1.01783e+00    
1.56594e+01    1.01661e+00    
1.59250e+01    1.01540e+00    
1.61951e+01    1.01419e+00    
1.64699e+01    1.01298e+00    
1.67492e+01    1.01177e+00    
1.70334e+01    1.01055e+00    
1.73223e+01    1.00934e+00    
1.76161e+01    1.00813e+00    
1.79149e+01    1.00692e+00    
1.82188e+01    1.00572e+00    
1.85279e+01    1.00451e+00    
1.88422e+01    1.00330e+00    
1.91618e+01    1.00209e+00    
1.94868e+01    1.00089e+00    
1.98174e+01    9.99687e-01    
2.01535e+01    9.98485e-01    
2.04954e+01    9.97284e-01    
2.08430e+01    9.96084e-01    
2.11966e+01    9.94886e-01    
2.15562e+01    9.93690e-01    
2.19218e+01    9.92495e-01    
2.22937e+01    9.91302e-01    
2.26718e+01    9.90111e-01    
2.30564e+01    9.88921e-01    
2.34475e+01    9.87733e-01    
2.38452e+01    9.86548e-01    
2.42497e+01    9.85363e-01    
2.46611e+01    9.84181e-01    
2.50794e+01    9.83001e-01    
2.55048e+01    9.81823e-01    
2.59375e+01    9.80647e-01    
2.63774e+01    9.79474e-01    
2.68249e+01    9.78302e-01    
2.72799e+01    9.77133e-01    
2.77426e+01    9.75967e-01    
2.82132e+01    9.74802e-01    
2.86918e+01    9.73640e-01    
2.91785e+01    9.72481e-01    
2.96734e+01    9.71324e-01    
3.01768e+01    9.70170e-01    
3.06887e+01    9.69018e-01    
