# USINE V4.0
# File generated 12-05-2022 05:02:48
# Model1DKisoVc
# C
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.00751e-01    1.97778e-03    
1.02460e-01    2.07880e-03    
1.04198e-01    2.18495e-03    
1.05965e-01    2.29649e-03    
1.07763e-01    2.41370e-03    
1.09591e-01    2.53686e-03    
1.11450e-01    2.66627e-03    
1.13340e-01    2.80225e-03    
1.15263e-01    2.94512e-03    
1.17218e-01    3.09524e-03    
1.19206e-01    3.25296e-03    
1.21228e-01    3.41868e-03    
1.23285e-01    3.59278e-03    
1.25376e-01    3.77570e-03    
1.27503e-01    3.96787e-03    
1.29666e-01    4.16976e-03    
1.31865e-01    4.38185e-03    
1.34102e-01    4.60467e-03    
1.36377e-01    4.83873e-03    
1.38690e-01    5.08461e-03    
1.41043e-01    5.34290e-03    
1.43435e-01    5.61422e-03    
1.45868e-01    5.89921e-03    
1.48343e-01    6.19856e-03    
1.50859e-01    6.51299e-03    
1.53418e-01    6.84324e-03    
1.56020e-01    7.19011e-03    
1.58667e-01    7.55441e-03    
1.61358e-01    7.93702e-03    
1.64095e-01    8.33885e-03    
1.66879e-01    8.76085e-03    
1.69710e-01    9.20401e-03    
1.72588e-01    9.66939e-03    
1.75516e-01    1.01581e-02    
1.78493e-01    1.06713e-02    
1.81521e-01    1.12101e-02    
1.84600e-01    1.17759e-02    
1.87731e-01    1.23699e-02    
1.90916e-01    1.29937e-02    
1.94154e-01    1.36485e-02    
1.97448e-01    1.43360e-02    
2.00797e-01    1.50578e-02    
2.04203e-01    1.58153e-02    
2.07667e-01    1.66101e-02    
2.11190e-01    1.74440e-02    
2.14772e-01    1.83189e-02    
2.18415e-01    1.92366e-02    
2.22120e-01    2.01993e-02    
2.25888e-01    2.12090e-02    
2.29720e-01    2.22679e-02    
2.33616e-01    2.33783e-02    
2.37579e-01    2.45426e-02    
2.41609e-01    2.57633e-02    
2.45707e-01    2.70430e-02    
2.49875e-01    2.83844e-02    
2.54114e-01    2.97902e-02    
2.58424e-01    3.12635e-02    
2.62808e-01    3.28072e-02    
2.67266e-01    3.44246e-02    
2.71800e-01    3.61189e-02    
2.76410e-01    3.78936e-02    
2.81099e-01    3.97522e-02    
2.85867e-01    4.16983e-02    
2.90716e-01    4.37359e-02    
2.95647e-01    4.58689e-02    
3.00662e-01    4.81015e-02    
3.05763e-01    5.04377e-02    
3.10949e-01    5.28822e-02    
3.16224e-01    5.54395e-02    
3.21588e-01    5.81142e-02    
3.27043e-01    6.09113e-02    
3.32590e-01    6.38358e-02    
3.38232e-01    6.68929e-02    
3.43970e-01    7.00880e-02    
3.49804e-01    7.34266e-02    
3.55738e-01    7.69145e-02    
3.61772e-01    8.05574e-02    
3.67909e-01    8.43614e-02    
3.74150e-01    8.83326e-02    
3.80496e-01    9.24775e-02    
3.86951e-01    9.68025e-02    
3.93514e-01    1.01314e-01    
4.00190e-01    1.06020e-01    
4.06978e-01    1.10926e-01    
4.13881e-01    1.16039e-01    
4.20902e-01    1.21367e-01    
4.28042e-01    1.26918e-01    
4.35303e-01    1.32698e-01    
4.42686e-01    1.38716e-01    
4.50196e-01    1.44978e-01    
4.57832e-01    1.51493e-01    
4.65598e-01    1.58268e-01    
4.73496e-01    1.65311e-01    
4.81528e-01    1.72631e-01    
4.89696e-01    1.80235e-01    
4.98003e-01    1.88130e-01    
5.06450e-01    1.96325e-01    
5.15041e-01    2.04828e-01    
5.23778e-01    2.13646e-01    
5.32663e-01    2.22787e-01    
5.41698e-01    2.32259e-01    
5.50887e-01    2.42068e-01    
5.60231e-01    2.52221e-01    
5.69735e-01    2.62726e-01    
5.79399e-01    2.73589e-01    
5.89227e-01    2.84816e-01    
5.99222e-01    2.96414e-01    
6.09387e-01    3.08387e-01    
6.19724e-01    3.20740e-01    
6.30236e-01    3.33479e-01    
6.40926e-01    3.46607e-01    
6.51798e-01    3.60126e-01    
6.62855e-01    3.74041e-01    
6.74099e-01    3.88353e-01    
6.85533e-01    4.03062e-01    
6.97162e-01    4.18171e-01    
7.08988e-01    4.33677e-01    
7.21014e-01    4.49580e-01    
7.33245e-01    4.65876e-01    
7.45683e-01    4.82564e-01    
7.58331e-01    4.99637e-01    
7.71195e-01    5.17091e-01    
7.84277e-01    5.34919e-01    
7.97580e-01    5.53111e-01    
8.11109e-01    5.71660e-01    
8.24868e-01    5.90554e-01    
8.38860e-01    6.09781e-01    
8.53090e-01    6.29327e-01    
8.67560e-01    6.49177e-01    
8.82277e-01    6.69316e-01    
8.97243e-01    6.89724e-01    
9.12462e-01    7.10383e-01    
9.27940e-01    7.31272e-01    
9.43681e-01    7.52368e-01    
9.59688e-01    7.73647e-01    
9.75967e-01    7.95084e-01    
9.92523e-01    8.16653e-01    
1.00936e+00    8.38325e-01    
1.02648e+00    8.60070e-01    
1.04389e+00    8.81858e-01    
1.06160e+00    9.03658e-01    
1.07961e+00    9.25435e-01    
1.09792e+00    9.47155e-01    
1.11654e+00    9.68783e-01    
1.13548e+00    9.90284e-01    
1.15475e+00    1.01162e+00    
1.17433e+00    1.03275e+00    
1.19425e+00    1.05365e+00    
1.21451e+00    1.07426e+00    
1.23511e+00    1.09456e+00    
1.25606e+00    1.11450e+00    
1.27737e+00    1.13404e+00    
1.29904e+00    1.15315e+00    
1.32107e+00    1.17179e+00    
1.34348e+00    1.18991e+00    
1.36627e+00    1.20749e+00    
1.38945e+00    1.22448e+00    
1.41302e+00    1.24084e+00    
1.43699e+00    1.25656e+00    
1.46136e+00    1.27158e+00    
1.48615e+00    1.28588e+00    
1.51136e+00    1.29943e+00    
1.53700e+00    1.31220e+00    
1.56307e+00    1.32416e+00    
1.58958e+00    1.33530e+00    
1.61655e+00    1.34558e+00    
1.64397e+00    1.35499e+00    
1.67185e+00    1.36352e+00    
1.70021e+00    1.37115e+00    
1.72905e+00    1.37787e+00    
1.75838e+00    1.38368e+00    
1.78821e+00    1.38856e+00    
1.81854e+00    1.39252e+00    
1.84939e+00    1.39556e+00    
1.88076e+00    1.39769e+00    
1.91266e+00    1.39890e+00    
1.94511e+00    1.39920e+00    
1.97810e+00    1.39861e+00    
2.01166e+00    1.39713e+00    
2.04578e+00    1.39478e+00    
2.08048e+00    1.39157e+00    
2.11577e+00    1.38751e+00    
2.15166e+00    1.38263e+00    
2.18816e+00    1.37694e+00    
2.22528e+00    1.37046e+00    
2.26303e+00    1.36321e+00    
2.30141e+00    1.35522e+00    
2.34045e+00    1.34651e+00    
2.38015e+00    1.33710e+00    
2.42053e+00    1.32704e+00    
2.46159e+00    1.31633e+00    
2.50334e+00    1.30503e+00    
2.54581e+00    1.29315e+00    
2.58899e+00    1.28074e+00    
2.63291e+00    1.26781e+00    
2.67757e+00    1.25441e+00    
2.72299e+00    1.24056e+00    
2.76918e+00    1.22630e+00    
2.81615e+00    1.21165e+00    
2.86392e+00    1.19664e+00    
2.91250e+00    1.18130e+00    
2.96190e+00    1.16563e+00    
3.01215e+00    1.14967e+00    
3.06324e+00    1.13343e+00    
3.11520e+00    1.11691e+00    
3.16805e+00    1.10013e+00    
3.22178e+00    1.08308e+00    
3.27644e+00    1.06576e+00    
3.33201e+00    1.04817e+00    
3.38853e+00    1.03030e+00    
3.44601e+00    1.01212e+00    
3.50447e+00    9.93621e-01    
3.56391e+00    9.74786e-01    
3.62437e+00    9.55602e-01    
3.68585e+00    9.36069e-01    
3.74837e+00    9.16197e-01    
3.81195e+00    8.96016e-01    
3.87661e+00    8.75572e-01    
3.94237e+00    8.54927e-01    
4.00925e+00    8.34155e-01    
4.07725e+00    8.13333e-01    
4.14642e+00    7.92538e-01    
4.21675e+00    7.71840e-01    
4.28828e+00    7.51297e-01    
4.36102e+00    7.30962e-01    
4.43500e+00    7.10874e-01    
4.51023e+00    6.91065e-01    
4.58673e+00    6.71563e-01    
4.66454e+00    6.52384e-01    
4.74366e+00    6.33543e-01    
4.82413e+00    6.15051e-01    
4.90596e+00    5.96914e-01    
4.98918e+00    5.79137e-01    
5.07381e+00    5.61725e-01    
5.15987e+00    5.44678e-01    
