# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# F/SI
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
9.24751e-02    1.04804e-01    
9.40518e-02    1.04820e-01    
9.56554e-02    1.04836e-01    
9.72864e-02    1.04853e-01    
9.89451e-02    1.04870e-01    
1.00632e-01    1.04887e-01    
1.02348e-01    1.04905e-01    
1.04093e-01    1.04923e-01    
1.05868e-01    1.04941e-01    
1.07673e-01    1.04959e-01    
1.09509e-01    1.04978e-01    
1.11376e-01    1.04997e-01    
1.13275e-01    1.05017e-01    
1.15206e-01    1.05037e-01    
1.17170e-01    1.05057e-01    
1.19168e-01    1.05077e-01    
1.21200e-01    1.05098e-01    
1.23266e-01    1.05119e-01    
1.25368e-01    1.05141e-01    
1.27506e-01    1.05163e-01    
1.29680e-01    1.05185e-01    
1.31891e-01    1.05208e-01    
1.34139e-01    1.05231e-01    
1.36427e-01    1.05254e-01    
1.38753e-01    1.05278e-01    
1.41118e-01    1.05302e-01    
1.43524e-01    1.05327e-01    
1.45972e-01    1.05352e-01    
1.48460e-01    1.05378e-01    
1.50992e-01    1.05404e-01    
1.53566e-01    1.05430e-01    
1.56184e-01    1.05457e-01    
1.58847e-01    1.05484e-01    
1.61556e-01    1.05512e-01    
1.64310e-01    1.05541e-01    
1.67112e-01    1.05569e-01    
1.69961e-01    1.05599e-01    
1.72859e-01    1.05628e-01    
1.75806e-01    1.05659e-01    
1.78804e-01    1.05689e-01    
1.81852e-01    1.05721e-01    
1.84953e-01    1.05753e-01    
1.88106e-01    1.05785e-01    
1.91314e-01    1.05818e-01    
1.94576e-01    1.05851e-01    
1.97893e-01    1.05886e-01    
2.01267e-01    1.05920e-01    
2.04699e-01    1.05956e-01    
2.08189e-01    1.05993e-01    
2.11739e-01    1.06031e-01    
2.15349e-01    1.06071e-01    
2.19020e-01    1.06112e-01    
2.22755e-01    1.06154e-01    
2.26553e-01    1.06197e-01    
2.30416e-01    1.06242e-01    
2.34344e-01    1.06289e-01    
2.38340e-01    1.06337e-01    
2.42403e-01    1.06386e-01    
2.46536e-01    1.06438e-01    
2.50740e-01    1.06491e-01    
2.55015e-01    1.06545e-01    
2.59363e-01    1.06602e-01    
2.63785e-01    1.06660e-01    
2.68283e-01    1.06720e-01    
2.72857e-01    1.06783e-01    
2.77509e-01    1.06847e-01    
2.82241e-01    1.06913e-01    
2.87053e-01    1.06982e-01    
2.91947e-01    1.07053e-01    
2.96925e-01    1.07126e-01    
3.01988e-01    1.07201e-01    
3.07137e-01    1.07279e-01    
3.12373e-01    1.07359e-01    
3.17699e-01    1.07442e-01    
3.23116e-01    1.07528e-01    
3.28625e-01    1.07616e-01    
3.34228e-01    1.07707e-01    
3.39927e-01    1.07802e-01    
3.45723e-01    1.07899e-01    
3.51617e-01    1.07999e-01    
3.57613e-01    1.08102e-01    
3.63710e-01    1.08209e-01    
3.69911e-01    1.08318e-01    
3.76218e-01    1.08432e-01    
3.82633e-01    1.08548e-01    
3.89157e-01    1.08669e-01    
3.95792e-01    1.08793e-01    
4.02540e-01    1.08921e-01    
4.09404e-01    1.09053e-01    
4.16384e-01    1.09189e-01    
4.23483e-01    1.09329e-01    
4.30704e-01    1.09473e-01    
4.38047e-01    1.09622e-01    
4.45516e-01    1.09775e-01    
4.53112e-01    1.09932e-01    
4.60838e-01    1.10095e-01    
4.68695e-01    1.10262e-01    
4.76686e-01    1.10433e-01    
4.84814e-01    1.10610e-01    
4.93080e-01    1.10792e-01    
5.01487e-01    1.10979e-01    
5.10037e-01    1.11172e-01    
5.18734e-01    1.11370e-01    
5.27578e-01    1.11573e-01    
5.36573e-01    1.11782e-01    
5.45722e-01    1.11997e-01    
5.55027e-01    1.12218e-01    
5.64490e-01    1.12444e-01    
5.74115e-01    1.12677e-01    
5.83903e-01    1.12916e-01    
5.93859e-01    1.13161e-01    
6.03984e-01    1.13412e-01    
6.14282e-01    1.13670e-01    
6.24756e-01    1.13934e-01    
6.35408e-01    1.14205e-01    
6.46242e-01    1.14483e-01    
6.57260e-01    1.14767e-01    
6.68467e-01    1.15058e-01    
6.79864e-01    1.15356e-01    
6.91456e-01    1.15660e-01    
7.03245e-01    1.15972e-01    
7.15235e-01    1.16290e-01    
7.27430e-01    1.16616e-01    
7.39833e-01    1.16948e-01    
7.52447e-01    1.17287e-01    
7.65277e-01    1.17633e-01    
7.78325e-01    1.17986e-01    
7.91595e-01    1.18346e-01    
8.05092e-01    1.18712e-01    
8.18819e-01    1.19085e-01    
8.32780e-01    1.19465e-01    
8.46979e-01    1.19851e-01    
8.61420e-01    1.20244e-01    
8.76107e-01    1.20643e-01    
8.91045e-01    1.21047e-01    
9.06237e-01    1.21458e-01    
9.21689e-01    1.21874e-01    
9.37404e-01    1.22296e-01    
9.53386e-01    1.22723e-01    
9.69642e-01    1.23156e-01    
9.86174e-01    1.23593e-01    
1.00299e+00    1.24035e-01    
1.02009e+00    1.24481e-01    
1.03748e+00    1.24932e-01    
1.05517e+00    1.25387e-01    
1.07316e+00    1.25845e-01    
1.09146e+00    1.26308e-01    
1.11007e+00    1.26774e-01    
1.12900e+00    1.27245e-01    
1.14825e+00    1.27719e-01    
1.16782e+00    1.28196e-01    
1.18773e+00    1.28678e-01    
1.20799e+00    1.29163e-01    
1.22858e+00    1.29653e-01    
1.24953e+00    1.30146e-01    
1.27083e+00    1.30643e-01    
1.29250e+00    1.31145e-01    
1.31454e+00    1.31651e-01    
1.33695e+00    1.32162e-01    
1.35975e+00    1.32677e-01    
1.38293e+00    1.33197e-01    
1.40651e+00    1.33722e-01    
1.43049e+00    1.34253e-01    
1.45488e+00    1.34788e-01    
1.47969e+00    1.35328e-01    
1.50492e+00    1.35873e-01    
1.53058e+00    1.36424e-01    
1.55667e+00    1.36979e-01    
1.58321e+00    1.37540e-01    
1.61021e+00    1.38107e-01    
1.63766e+00    1.38679e-01    
1.66558e+00    1.39256e-01    
1.69398e+00    1.39839e-01    
1.72286e+00    1.40429e-01    
1.75224e+00    1.41024e-01    
1.78212e+00    1.41626e-01    
1.81250e+00    1.42235e-01    
1.84340e+00    1.42850e-01    
1.87483e+00    1.43471e-01    
1.90680e+00    1.44099e-01    
1.93931e+00    1.44734e-01    
1.97238e+00    1.45376e-01    
2.00601e+00    1.46023e-01    
2.04021e+00    1.46676e-01    
2.07499e+00    1.47334e-01    
2.11037e+00    1.47996e-01    
2.14636e+00    1.48661e-01    
2.18295e+00    1.49325e-01    
2.22017e+00    1.49987e-01    
2.25802e+00    1.50644e-01    
2.29652e+00    1.51295e-01    
2.33568e+00    1.51937e-01    
2.37550e+00    1.52567e-01    
2.41601e+00    1.53185e-01    
2.45720e+00    1.53788e-01    
2.49910e+00    1.54374e-01    
2.54170e+00    1.54944e-01    
2.58504e+00    1.55498e-01    
2.62912e+00    1.56035e-01    
2.67394e+00    1.56556e-01    
2.71953e+00    1.57061e-01    
2.76590e+00    1.57551e-01    
2.81306e+00    1.58025e-01    
2.86102e+00    1.58483e-01    
2.90981e+00    1.58926e-01    
2.95942e+00    1.59353e-01    
3.00988e+00    1.59764e-01    
3.06119e+00    1.60158e-01    
3.11339e+00    1.60534e-01    
3.16647e+00    1.60892e-01    
3.22046e+00    1.61229e-01    
3.27537e+00    1.61544e-01    
3.33122e+00    1.61835e-01    
3.38801e+00    1.62098e-01    
3.44578e+00    1.62331e-01    
3.50453e+00    1.62530e-01    
3.56428e+00    1.62694e-01    
3.62505e+00    1.62819e-01    
3.68686e+00    1.62905e-01    
3.74972e+00    1.62948e-01    
3.81366e+00    1.62951e-01    
3.87868e+00    1.62913e-01    
3.94481e+00    1.62837e-01    
4.01207e+00    1.62728e-01    
4.08048e+00    1.62589e-01    
4.15005e+00    1.62426e-01    
4.22081e+00    1.62242e-01    
4.29277e+00    1.62041e-01    
4.36597e+00    1.61830e-01    
4.44041e+00    1.61611e-01    
4.51611e+00    1.61386e-01    
4.59311e+00    1.61159e-01    
4.67143e+00    1.60931e-01    
