# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# HE/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
9.71391e-02    3.75282e+01    
9.87620e-02    3.75262e+01    
1.00412e-01    3.75242e+01    
1.02090e-01    3.75221e+01    
1.03795e-01    3.75200e+01    
1.05529e-01    3.75178e+01    
1.07292e-01    3.75156e+01    
1.09085e-01    3.75134e+01    
1.10908e-01    3.75111e+01    
1.12761e-01    3.75088e+01    
1.14644e-01    3.75065e+01    
1.16560e-01    3.75041e+01    
1.18507e-01    3.75016e+01    
1.20487e-01    3.74992e+01    
1.22500e-01    3.74966e+01    
1.24547e-01    3.74940e+01    
1.26628e-01    3.74914e+01    
1.28743e-01    3.74888e+01    
1.30894e-01    3.74860e+01    
1.33081e-01    3.74833e+01    
1.35304e-01    3.74804e+01    
1.37565e-01    3.74776e+01    
1.39863e-01    3.74747e+01    
1.42200e-01    3.74717e+01    
1.44576e-01    3.74686e+01    
1.46991e-01    3.74656e+01    
1.49447e-01    3.74624e+01    
1.51944e-01    3.74592e+01    
1.54482e-01    3.74560e+01    
1.57063e-01    3.74526e+01    
1.59687e-01    3.74493e+01    
1.62355e-01    3.74458e+01    
1.65068e-01    3.74423e+01    
1.67826e-01    3.74387e+01    
1.70630e-01    3.74351e+01    
1.73480e-01    3.74314e+01    
1.76379e-01    3.74276e+01    
1.79325e-01    3.74238e+01    
1.82322e-01    3.74199e+01    
1.85368e-01    3.74159e+01    
1.88465e-01    3.74119e+01    
1.91613e-01    3.74077e+01    
1.94815e-01    3.74035e+01    
1.98069e-01    3.73992e+01    
2.01379e-01    3.73949e+01    
2.04743e-01    3.73904e+01    
2.08164e-01    3.73857e+01    
2.11642e-01    3.73809e+01    
2.15178e-01    3.73760e+01    
2.18773e-01    3.73709e+01    
2.22428e-01    3.73656e+01    
2.26144e-01    3.73602e+01    
2.29922e-01    3.73546e+01    
2.33763e-01    3.73488e+01    
2.37669e-01    3.73429e+01    
2.41640e-01    3.73367e+01    
2.45677e-01    3.73304e+01    
2.49781e-01    3.73239e+01    
2.53954e-01    3.73171e+01    
2.58197e-01    3.73102e+01    
