# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# LI/B
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.00854e-01    5.32132e-01    
1.02565e-01    5.32144e-01    
1.04305e-01    5.32157e-01    
1.06074e-01    5.32171e-01    
1.07873e-01    5.32184e-01    
1.09703e-01    5.32198e-01    
1.11563e-01    5.32212e-01    
1.13456e-01    5.32226e-01    
1.15380e-01    5.32241e-01    
1.17337e-01    5.32255e-01    
1.19327e-01    5.32270e-01    
1.21351e-01    5.32286e-01    
1.23410e-01    5.32301e-01    
1.25503e-01    5.32317e-01    
1.27632e-01    5.32333e-01    
1.29797e-01    5.32350e-01    
1.31998e-01    5.32366e-01    
1.34237e-01    5.32383e-01    
1.36514e-01    5.32400e-01    
1.38830e-01    5.32418e-01    
1.41184e-01    5.32436e-01    
1.43579e-01    5.32454e-01    
1.46015e-01    5.32473e-01    
1.48491e-01    5.32491e-01    
1.51010e-01    5.32511e-01    
1.53571e-01    5.32530e-01    
1.56176e-01    5.32550e-01    
1.58825e-01    5.32570e-01    
1.61519e-01    5.32591e-01    
1.64259e-01    5.32612e-01    
1.67045e-01    5.32633e-01    
1.69878e-01    5.32655e-01    
1.72760e-01    5.32677e-01    
1.75690e-01    5.32699e-01    
1.78670e-01    5.32722e-01    
1.81701e-01    5.32746e-01    
1.84783e-01    5.32769e-01    
1.87917e-01    5.32794e-01    
1.91104e-01    5.32818e-01    
1.94346e-01    5.32843e-01    
1.97642e-01    5.32869e-01    
2.00995e-01    5.32895e-01    
2.04404e-01    5.32921e-01    
2.07871e-01    5.32949e-01    
2.11397e-01    5.32978e-01    
2.14982e-01    5.33008e-01    
2.18629e-01    5.33039e-01    
2.22337e-01    5.33071e-01    
2.26108e-01    5.33104e-01    
2.29944e-01    5.33138e-01    
2.33844e-01    5.33174e-01    
2.37810e-01    5.33211e-01    
2.41844e-01    5.33249e-01    
2.45946e-01    5.33289e-01    
2.50118e-01    5.33330e-01    
2.54360e-01    5.33373e-01    
2.58675e-01    5.33417e-01    
2.63062e-01    5.33463e-01    
2.67524e-01    5.33510e-01    
2.72062e-01    5.33560e-01    
2.76677e-01    5.33611e-01    
2.81370e-01    5.33664e-01    
2.86142e-01    5.33719e-01    
2.90996e-01    5.33776e-01    
2.95931e-01    5.33836e-01    
3.00951e-01    5.33897e-01    
3.06056e-01    5.33961e-01    
3.11247e-01    5.34028e-01    
3.16526e-01    5.34096e-01    
3.21895e-01    5.34168e-01    
3.27355e-01    5.34242e-01    
3.32907e-01    5.34319e-01    
3.38554e-01    5.34399e-01    
3.44297e-01    5.34482e-01    
3.50137e-01    5.34568e-01    
3.56075e-01    5.34658e-01    
3.62115e-01    5.34751e-01    
3.68257e-01    5.34848e-01    
3.74504e-01    5.34948e-01    
3.80856e-01    5.35052e-01    
3.87316e-01    5.35161e-01    
3.93885e-01    5.35273e-01    
4.00566e-01    5.35390e-01    
4.07361e-01    5.35511e-01    
4.14270e-01    5.35638e-01    
4.21297e-01    5.35769e-01    
4.28443e-01    5.35905e-01    
4.35710e-01    5.36047e-01    
4.43101e-01    5.36194e-01    
4.50616e-01    5.36347e-01    
4.58260e-01    5.36507e-01    
4.66033e-01    5.36672e-01    
4.73937e-01    5.36844e-01    
4.81976e-01    5.37023e-01    
4.90151e-01    5.37209e-01    
4.98465e-01    5.37403e-01    
5.06920e-01    5.37604e-01    
5.15518e-01    5.37813e-01    
5.24263e-01    5.38030e-01    
5.33155e-01    5.38257e-01    
5.42198e-01    5.38492e-01    
5.51395e-01    5.38736e-01    
5.60748e-01    5.38991e-01    
5.70259e-01    5.39256e-01    
5.79931e-01    5.39531e-01    
5.89768e-01    5.39817e-01    
5.99772e-01    5.40115e-01    
6.09945e-01    5.40425e-01    
6.20291e-01    5.40747e-01    
6.30812e-01    5.41082e-01    
6.41512e-01    5.41430e-01    
6.52393e-01    5.41792e-01    
6.63459e-01    5.42169e-01    
6.74712e-01    5.42561e-01    
6.86156e-01    5.42969e-01    
6.97795e-01    5.43393e-01    
7.09631e-01    5.43834e-01    
7.21667e-01    5.44293e-01    
7.33908e-01    5.44770e-01    
7.46356e-01    5.45266e-01    
7.59016e-01    5.45783e-01    
7.71890e-01    5.46320e-01    
7.84983e-01    5.46878e-01    
7.98298e-01    5.47460e-01    
8.11838e-01    5.48064e-01    
8.25608e-01    5.48694e-01    
8.39612e-01    5.49349e-01    
8.53854e-01    5.50031e-01    
8.68336e-01    5.50742e-01    
8.83065e-01    5.51482e-01    
8.98043e-01    5.52253e-01    
9.13276e-01    5.53057e-01    
9.28767e-01    5.53895e-01    
9.44520e-01    5.54770e-01    
9.60541e-01    5.55682e-01    
9.76833e-01    5.56635e-01    
9.93402e-01    5.57631e-01    
1.01025e+00    5.58672e-01    
1.02739e+00    5.59761e-01    
1.04481e+00    5.60899e-01    
1.06254e+00    5.62091e-01    
1.08056e+00    5.63337e-01    
1.09889e+00    5.64642e-01    
1.11753e+00    5.66007e-01    
1.13648e+00    5.67435e-01    
