# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# LI/C
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.00854e-01    1.10999e-01    
1.02565e-01    1.11018e-01    
1.04305e-01    1.11037e-01    
1.06074e-01    1.11056e-01    
1.07873e-01    1.11076e-01    
1.09703e-01    1.11096e-01    
1.11563e-01    1.11116e-01    
1.13456e-01    1.11137e-01    
1.15380e-01    1.11158e-01    
1.17337e-01    1.11180e-01    
1.19327e-01    1.11202e-01    
1.21351e-01    1.11224e-01    
1.23410e-01    1.11246e-01    
1.25503e-01    1.11269e-01    
1.27632e-01    1.11293e-01    
1.29797e-01    1.11316e-01    
1.31998e-01    1.11341e-01    
1.34237e-01    1.11365e-01    
1.36514e-01    1.11390e-01    
1.38830e-01    1.11416e-01    
1.41184e-01    1.11442e-01    
1.43579e-01    1.11468e-01    
1.46015e-01    1.11495e-01    
1.48491e-01    1.11522e-01    
1.51010e-01    1.11550e-01    
1.53571e-01    1.11578e-01    
1.56176e-01    1.11607e-01    
1.58825e-01    1.11636e-01    
1.61519e-01    1.11666e-01    
1.64259e-01    1.11696e-01    
1.67045e-01    1.11727e-01    
1.69878e-01    1.11758e-01    
1.72760e-01    1.11790e-01    
1.75690e-01    1.11822e-01    
1.78670e-01    1.11855e-01    
1.81701e-01    1.11888e-01    
1.84783e-01    1.11923e-01    
1.87917e-01    1.11957e-01    
1.91104e-01    1.11992e-01    
1.94346e-01    1.12028e-01    
1.97642e-01    1.12065e-01    
2.00995e-01    1.12102e-01    
2.04404e-01    1.12140e-01    
2.07871e-01    1.12180e-01    
2.11397e-01    1.12221e-01    
2.14982e-01    1.12263e-01    
2.18629e-01    1.12307e-01    
2.22337e-01    1.12352e-01    
2.26108e-01    1.12398e-01    
2.29944e-01    1.12447e-01    
2.33844e-01    1.12497e-01    
2.37810e-01    1.12548e-01    
2.41844e-01    1.12601e-01    
2.45946e-01    1.12656e-01    
2.50118e-01    1.12713e-01    
2.54360e-01    1.12772e-01    
2.58675e-01    1.12833e-01    
2.63062e-01    1.12895e-01    
2.67524e-01    1.12960e-01    
2.72062e-01    1.13027e-01    
2.76677e-01    1.13096e-01    
2.81370e-01    1.13168e-01    
2.86142e-01    1.13242e-01    
2.90996e-01    1.13318e-01    
2.95931e-01    1.13397e-01    
3.00951e-01    1.13479e-01    
3.06056e-01    1.13563e-01    
3.11247e-01    1.13650e-01    
3.16526e-01    1.13740e-01    
3.21895e-01    1.13833e-01    
3.27355e-01    1.13929e-01    
3.32907e-01    1.14028e-01    
3.38554e-01    1.14130e-01    
3.44297e-01    1.14236e-01    
3.50137e-01    1.14345e-01    
3.56075e-01    1.14457e-01    
3.62115e-01    1.14574e-01    
3.68257e-01    1.14694e-01    
3.74504e-01    1.14818e-01    
3.80856e-01    1.14946e-01    
3.87316e-01    1.15078e-01    
3.93885e-01    1.15215e-01    
4.00566e-01    1.15356e-01    
4.07361e-01    1.15501e-01    
4.14270e-01    1.15652e-01    
4.21297e-01    1.15807e-01    
4.28443e-01    1.15967e-01    
4.35710e-01    1.16132e-01    
4.43101e-01    1.16302e-01    
4.50616e-01    1.16478e-01    
4.58260e-01    1.16660e-01    
4.66033e-01    1.16847e-01    
4.73937e-01    1.17040e-01    
4.81976e-01    1.17239e-01    
4.90151e-01    1.17445e-01    
4.98465e-01    1.17657e-01    
5.06920e-01    1.17876e-01    
5.15518e-01    1.18101e-01    
5.24263e-01    1.18334e-01    
5.33155e-01    1.18574e-01    
5.42198e-01    1.18821e-01    
5.51395e-01    1.19076e-01    
5.60748e-01    1.19339e-01    
5.70259e-01    1.19609e-01    
5.79931e-01    1.19889e-01    
5.89768e-01    1.20176e-01    
5.99772e-01    1.20473e-01    
6.09945e-01    1.20778e-01    
6.20291e-01    1.21093e-01    
6.30812e-01    1.21418e-01    
6.41512e-01    1.21752e-01    
6.52393e-01    1.22096e-01    
