# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# LI/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
1.00854e-01    1.12678e-01    
1.02565e-01    1.12699e-01    
1.04305e-01    1.12720e-01    
1.06074e-01    1.12741e-01    
1.07873e-01    1.12763e-01    
1.09703e-01    1.12785e-01    
1.11563e-01    1.12808e-01    
1.13456e-01    1.12831e-01    
1.15380e-01    1.12854e-01    
1.17337e-01    1.12878e-01    
1.19327e-01    1.12902e-01    
1.21351e-01    1.12926e-01    
1.23410e-01    1.12951e-01    
1.25503e-01    1.12977e-01    
1.27632e-01    1.13002e-01    
1.29797e-01    1.13029e-01    
1.31998e-01    1.13055e-01    
1.34237e-01    1.13083e-01    
1.36514e-01    1.13110e-01    
1.38830e-01    1.13138e-01    
1.41184e-01    1.13167e-01    
1.43579e-01    1.13196e-01    
1.46015e-01    1.13226e-01    
1.48491e-01    1.13256e-01    
1.51010e-01    1.13287e-01    
1.53571e-01    1.13318e-01    
1.56176e-01    1.13350e-01    
1.58825e-01    1.13382e-01    
1.61519e-01    1.13415e-01    
1.64259e-01    1.13448e-01    
1.67045e-01    1.13482e-01    
1.69878e-01    1.13517e-01    
1.72760e-01    1.13552e-01    
1.75690e-01    1.13588e-01    
1.78670e-01    1.13624e-01    
1.81701e-01    1.13661e-01    
1.84783e-01    1.13699e-01    
1.87917e-01    1.13737e-01    
1.91104e-01    1.13776e-01    
1.94346e-01    1.13816e-01    
1.97642e-01    1.13856e-01    
2.00995e-01    1.13897e-01    
2.04404e-01    1.13939e-01    
2.07871e-01    1.13983e-01    
2.11397e-01    1.14028e-01    
2.14982e-01    1.14075e-01    
2.18629e-01    1.14124e-01    
2.22337e-01    1.14173e-01    
2.26108e-01    1.14225e-01    
2.29944e-01    1.14278e-01    
2.33844e-01    1.14334e-01    
2.37810e-01    1.14391e-01    
2.41844e-01    1.14450e-01    
2.45946e-01    1.14511e-01    
2.50118e-01    1.14573e-01    
2.54360e-01    1.14639e-01    
2.58675e-01    1.14706e-01    
2.63062e-01    1.14775e-01    
2.67524e-01    1.14847e-01    
2.72062e-01    1.14921e-01    
2.76677e-01    1.14998e-01    
2.81370e-01    1.15077e-01    
2.86142e-01    1.15159e-01    
2.90996e-01    1.15244e-01    
2.95931e-01    1.15331e-01    
3.00951e-01    1.15421e-01    
3.06056e-01    1.15515e-01    
3.11247e-01    1.15611e-01    
3.16526e-01    1.15711e-01    
3.21895e-01    1.15814e-01    
3.27355e-01    1.15920e-01    
3.32907e-01    1.16030e-01    
3.38554e-01    1.16143e-01    
3.44297e-01    1.16261e-01    
3.50137e-01    1.16382e-01    
3.56075e-01    1.16507e-01    
3.62115e-01    1.16636e-01    
3.68257e-01    1.16769e-01    
3.74504e-01    1.16907e-01    
3.80856e-01    1.17049e-01    
3.87316e-01    1.17196e-01    
3.93885e-01    1.17348e-01    
4.00566e-01    1.17504e-01    
4.07361e-01    1.17666e-01    
4.14270e-01    1.17833e-01    
4.21297e-01    1.18005e-01    
4.28443e-01    1.18183e-01    
4.35710e-01    1.18367e-01    
4.43101e-01    1.18556e-01    
4.50616e-01    1.18752e-01    
4.58260e-01    1.18954e-01    
4.66033e-01    1.19162e-01    
4.73937e-01    1.19377e-01    
4.81976e-01    1.19599e-01    
4.90151e-01    1.19828e-01    
4.98465e-01    1.20064e-01    
5.06920e-01    1.20308e-01    
5.15518e-01    1.20559e-01    
5.24263e-01    1.20818e-01    
5.33155e-01    1.21086e-01    
5.42198e-01    1.21362e-01    
5.51395e-01    1.21646e-01    
5.60748e-01    1.21939e-01    
5.70259e-01    1.22242e-01    
5.79931e-01    1.22553e-01    
5.89768e-01    1.22875e-01    
5.99772e-01    1.23206e-01    
6.09945e-01    1.23548e-01    
6.20291e-01    1.23900e-01    
6.30812e-01    1.24262e-01    
6.41512e-01    1.24636e-01    
6.52393e-01    1.25022e-01    
6.63459e-01    1.25418e-01    
6.74712e-01    1.25827e-01    
6.86156e-01    1.26249e-01    
6.97795e-01    1.26683e-01    
7.09631e-01    1.27130e-01    
7.21667e-01    1.27590e-01    
7.33908e-01    1.28064e-01    
7.46356e-01    1.28553e-01    
7.59016e-01    1.29056e-01    
7.71890e-01    1.29573e-01    
7.84983e-01    1.30106e-01    
7.98298e-01    1.30655e-01    
8.11838e-01    1.31220e-01    
8.25608e-01    1.31802e-01    
8.39612e-01    1.32401e-01    
8.53854e-01    1.33017e-01    
8.68336e-01    1.33652e-01    
8.83065e-01    1.34305e-01    
8.98043e-01    1.34977e-01    
9.13276e-01    1.35670e-01    
9.28767e-01    1.36382e-01    
9.44520e-01    1.37116e-01    
9.60541e-01    1.37871e-01    
9.76833e-01    1.38648e-01    
9.93402e-01    1.39449e-01    
1.01025e+00    1.40274e-01    
1.02739e+00    1.41124e-01    
1.04481e+00    1.41999e-01    
1.06254e+00    1.42901e-01    
1.08056e+00    1.43830e-01    
1.09889e+00    1.44787e-01    
1.11753e+00    1.45773e-01    
1.13648e+00    1.46790e-01    
1.15576e+00    1.47837e-01    
1.17536e+00    1.48915e-01    
1.19530e+00    1.50026e-01    
1.21557e+00    1.51171e-01    
1.23619e+00    1.52348e-01    
1.25716e+00    1.53560e-01    
1.27848e+00    1.54805e-01    
1.30017e+00    1.56085e-01    
1.32222e+00    1.57398e-01    
1.34465e+00    1.58743e-01    
1.36746e+00    1.60120e-01    
1.39065e+00    1.61528e-01    
1.41424e+00    1.62966e-01    
1.43823e+00    1.64433e-01    
1.46262e+00    1.65927e-01    
1.48743e+00    1.67447e-01    
1.51266e+00    1.68993e-01    
1.53832e+00    1.70562e-01    
1.56441e+00    1.72155e-01    
1.59094e+00    1.73770e-01    
1.61793e+00    1.75407e-01    
1.64537e+00    1.77065e-01    
1.67328e+00    1.78747e-01    
1.70166e+00    1.80451e-01    
1.73053e+00    1.82179e-01    
1.75988e+00    1.83931e-01    
1.78973e+00    1.85708e-01    
1.82009e+00    1.87510e-01    
1.85096e+00    1.89337e-01    
1.88236e+00    1.91190e-01    
1.91428e+00    1.93068e-01    
1.94675e+00    1.94971e-01    
1.97977e+00    1.96899e-01    
2.01335e+00    1.98850e-01    
2.04750e+00    2.00823e-01    
2.08223e+00    2.02818e-01    
2.11755e+00    2.04836e-01    
2.15347e+00    2.06878e-01    
2.19000e+00    2.08945e-01    
2.22714e+00    2.11040e-01    
2.26492e+00    2.13162e-01    
2.30334e+00    2.15317e-01    
2.34240e+00    2.17505e-01    
2.38214e+00    2.19729e-01    
2.42254e+00    2.21994e-01    
2.46363e+00    2.24300e-01    
2.50542e+00    2.26648e-01    
2.54792e+00    2.29034e-01    
2.59113e+00    2.31458e-01    
2.63508e+00    2.33916e-01    
2.67978e+00    2.36404e-01    
2.72523e+00    2.38918e-01    
2.77146e+00    2.41451e-01    
2.81847e+00    2.43997e-01    
2.86627e+00    2.46548e-01    
2.91489e+00    2.49096e-01    
2.96433e+00    2.51633e-01    
3.01461e+00    2.54153e-01    
3.06575e+00    2.56648e-01    
3.11775e+00    2.59110e-01    
3.17063e+00    2.61532e-01    
3.22441e+00    2.63907e-01    
3.27910e+00    2.66229e-01    
3.33472e+00    2.68492e-01    
3.39128e+00    2.70691e-01    
3.44880e+00    2.72817e-01    
3.50730e+00    2.74860e-01    
3.56679e+00    2.76809e-01    
3.62729e+00    2.78651e-01    
3.68882e+00    2.80375e-01    
3.75139e+00    2.81968e-01    
3.81502e+00    2.83420e-01    
3.87973e+00    2.84722e-01    
3.94553e+00    2.85868e-01    
4.01246e+00    2.86859e-01    
4.08052e+00    2.87699e-01    
4.14973e+00    2.88396e-01    
4.22012e+00    2.88957e-01    
4.29170e+00    2.89392e-01    
4.36449e+00    2.89709e-01    
4.43852e+00    2.89918e-01    
4.51381e+00    2.90029e-01    
4.59037e+00    2.90050e-01    
4.66823e+00    2.89989e-01    
4.74741e+00    2.89852e-01    
4.82794e+00    2.89647e-01    
4.90983e+00    2.89378e-01    
4.99311e+00    2.89052e-01    
5.07780e+00    2.88673e-01    
5.16393e+00    2.88243e-01    
5.25152e+00    2.87766e-01    
5.34059e+00    2.87246e-01    
5.43118e+00    2.86683e-01    
5.52330e+00    2.86082e-01    
5.61698e+00    2.85444e-01    
5.71226e+00    2.84772e-01    
5.80915e+00    2.84067e-01    
5.90768e+00    2.83331e-01    
6.00789e+00    2.82566e-01    
6.10979e+00    2.81771e-01    
6.21342e+00    2.80949e-01    
6.31882e+00    2.80100e-01    
6.42599e+00    2.79223e-01    
6.53499e+00    2.78320e-01    
6.64584e+00    2.77391e-01    
6.75856e+00    2.76435e-01    
6.87320e+00    2.75454e-01    
6.98978e+00    2.74449e-01    
7.10834e+00    2.73418e-01    
7.22891e+00    2.72363e-01    
7.35153e+00    2.71284e-01    
7.47622e+00    2.70182e-01    
7.60303e+00    2.69057e-01    
7.73199e+00    2.67910e-01    
7.86314e+00    2.66741e-01    
7.99651e+00    2.65552e-01    
8.13215e+00    2.64343e-01    
8.27008e+00    2.63116e-01    
8.41036e+00    2.61871e-01    
8.55301e+00    2.60611e-01    
8.69809e+00    2.59335e-01    
8.84562e+00    2.58046e-01    
8.99566e+00    2.56744e-01    
9.14825e+00    2.55430e-01    
9.30342e+00    2.54106e-01    
9.46122e+00    2.52772e-01    
9.62170e+00    2.51429e-01    
9.78490e+00    2.50079e-01    
9.95087e+00    2.48722e-01    
1.01197e+01    2.47360e-01    
1.02913e+01    2.45994e-01    
1.04659e+01    2.44625e-01    
1.06434e+01    2.43254e-01    
1.08239e+01    2.41882e-01    
1.10075e+01    2.40510e-01    
1.11942e+01    2.39139e-01    
1.13841e+01    2.37769e-01    
1.15772e+01    2.36400e-01    
1.17735e+01    2.35033e-01    
1.19733e+01    2.33667e-01    
1.21763e+01    2.32303e-01    
1.23829e+01    2.30940e-01    
1.25929e+01    2.29578e-01    
1.28065e+01    2.28218e-01    
1.30237e+01    2.26858e-01    
1.32446e+01    2.25499e-01    
1.34693e+01    2.24142e-01    
1.36977e+01    2.22786e-01    
1.39301e+01    2.21431e-01    
1.41664e+01    2.20079e-01    
1.44067e+01    2.18729e-01    
1.46510e+01    2.17382e-01    
1.48995e+01    2.16038e-01    
1.51522e+01    2.14697e-01    
1.54093e+01    2.13359e-01    
1.56706e+01    2.12025e-01    
1.59364e+01    2.10695e-01    
1.62067e+01    2.09368e-01    
1.64816e+01    2.08044e-01    
1.67612e+01    2.06723e-01    
1.70455e+01    2.05406e-01    
1.73346e+01    2.04092e-01    
1.76286e+01    2.02782e-01    
1.79277e+01    2.01476e-01    
1.82317e+01    2.00174e-01    
1.85410e+01    1.98875e-01    
1.88555e+01    1.97581e-01    
1.91753e+01    1.96291e-01    
1.95005e+01    1.95004e-01    
1.98313e+01    1.93723e-01    
2.01677e+01    1.92445e-01    
2.05098e+01    1.91172e-01    
2.08576e+01    1.89904e-01    
2.12114e+01    1.88640e-01    
2.15712e+01    1.87381e-01    
2.19371e+01    1.86127e-01    
2.23092e+01    1.84877e-01    
2.26876e+01    1.83633e-01    
2.30724e+01    1.82393e-01    
2.34638e+01    1.81158e-01    
2.38618e+01    1.79929e-01    
2.42665e+01    1.78705e-01    
2.46781e+01    1.77486e-01    
2.50967e+01    1.76272e-01    
2.55224e+01    1.75063e-01    
2.59553e+01    1.73860e-01    
2.63955e+01    1.72662e-01    
2.68432e+01    1.71469e-01    
2.72985e+01    1.70282e-01    
2.77616e+01    1.69100e-01    
2.82325e+01    1.67924e-01    
2.87113e+01    1.66754e-01    
2.91983e+01    1.65588e-01    
2.96936e+01    1.64429e-01    
3.01972e+01    1.63275e-01    
3.07094e+01    1.62126e-01    
3.12303e+01    1.60984e-01    
3.17601e+01    1.59847e-01    
3.22988e+01    1.58715e-01    
3.28466e+01    1.57590e-01    
3.34037e+01    1.56470e-01    
3.39703e+01    1.55355e-01    
3.45465e+01    1.54247e-01    
3.51325e+01    1.53144e-01    
3.57284e+01    1.52047e-01    
3.63344e+01    1.50956e-01    
3.69507e+01    1.49870e-01    
3.75775e+01    1.48790e-01    
3.82149e+01    1.47717e-01    
3.88631e+01    1.46649e-01    
3.95222e+01    1.45586e-01    
4.01926e+01    1.44530e-01    
4.08743e+01    1.43479e-01    
4.15677e+01    1.42435e-01    
4.22727e+01    1.41396e-01    
4.29897e+01    1.40363e-01    
4.37189e+01    1.39335e-01    
4.44605e+01    1.38314e-01    
4.52146e+01    1.37298e-01    
4.59815e+01    1.36289e-01    
4.67615e+01    1.35285e-01    
4.75546e+01    1.34287e-01    
4.83612e+01    1.33295e-01    
4.91815e+01    1.32308e-01    
5.00157e+01    1.31328e-01    
5.08641e+01    1.30353e-01    
5.17268e+01    1.29384e-01    
5.26042e+01    1.28421e-01    
5.34965e+01    1.27464e-01    
5.44039e+01    1.26513e-01    
5.53267e+01    1.25567e-01    
5.62651e+01    1.24627e-01    
5.72194e+01    1.23693e-01    
5.81900e+01    1.22765e-01    
5.91770e+01    1.21842e-01    
6.01807e+01    1.20925e-01    
6.12015e+01    1.20014e-01    
6.22396e+01    1.19109e-01    
6.32953e+01    1.18209e-01    
6.43689e+01    1.17315e-01    
6.54607e+01    1.16427e-01    
6.65711e+01    1.15545e-01    
6.77002e+01    1.14668e-01    
6.88485e+01    1.13797e-01    
7.00163e+01    1.12931e-01    
7.12039e+01    1.12071e-01    
7.24117e+01    1.11217e-01    
7.36399e+01    1.10369e-01    
7.48890e+01    1.09526e-01    
7.61592e+01    1.08688e-01    
7.74510e+01    1.07856e-01    
7.87647e+01    1.07030e-01    
8.01007e+01    1.06210e-01    
8.14594e+01    1.05394e-01    
8.28411e+01    1.04585e-01    
8.42462e+01    1.03781e-01    
