# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# LI
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.00854e-01    2.20200e-04    
1.02565e-01    2.31485e-04    
1.04305e-01    2.43346e-04    
1.06074e-01    2.55813e-04    
1.07873e-01    2.68916e-04    
1.09703e-01    2.82687e-04    
1.11563e-01    2.97161e-04    
1.13456e-01    3.12373e-04    
1.15380e-01    3.28361e-04    
1.17337e-01    3.45163e-04    
1.19327e-01    3.62821e-04    
1.21351e-01    3.81379e-04    
1.23410e-01    4.00881e-04    
1.25503e-01    4.21376e-04    
1.27632e-01    4.42914e-04    
1.29797e-01    4.65548e-04    
1.31998e-01    4.89333e-04    
1.34237e-01    5.14326e-04    
1.36514e-01    5.40590e-04    
1.38830e-01    5.68188e-04    
1.41184e-01    5.97187e-04    
1.43579e-01    6.27658e-04    
1.46015e-01    6.59676e-04    
1.48491e-01    6.93317e-04    
1.51010e-01    7.28665e-04    
1.53571e-01    7.65803e-04    
1.56176e-01    8.04823e-04    
1.58825e-01    8.45820e-04    
1.61519e-01    8.88891e-04    
1.64259e-01    9.34142e-04    
1.67045e-01    9.81681e-04    
1.69878e-01    1.03162e-03    
1.72760e-01    1.08409e-03    
1.75690e-01    1.13920e-03    
1.78670e-01    1.19710e-03    
1.81701e-01    1.25792e-03    
1.84783e-01    1.32181e-03    
1.87917e-01    1.38891e-03    
1.91104e-01    1.45940e-03    
1.94346e-01    1.53343e-03    
1.97642e-01    1.61119e-03    
2.00995e-01    1.69286e-03    
2.04404e-01    1.77862e-03    
2.07871e-01    1.86865e-03    
2.11397e-01    1.96317e-03    
2.14982e-01    2.06239e-03    
2.18629e-01    2.16655e-03    
2.22337e-01    2.27587e-03    
2.26108e-01    2.39061e-03    
2.29944e-01    2.51103e-03    
2.33844e-01    2.63740e-03    
2.37810e-01    2.77000e-03    
2.41844e-01    2.90913e-03    
2.45946e-01    3.05510e-03    
2.50118e-01    3.20823e-03    
2.54360e-01    3.36886e-03    
2.58675e-01    3.53735e-03    
2.63062e-01    3.71405e-03    
2.67524e-01    3.89936e-03    
2.72062e-01    4.09368e-03    
2.76677e-01    4.29742e-03    
2.81370e-01    4.51101e-03    
2.86142e-01    4.73491e-03    
2.90996e-01    4.96960e-03    
2.95931e-01    5.21555e-03    
3.00951e-01    5.47328e-03    
3.06056e-01    5.74333e-03    
3.11247e-01    6.02624e-03    
3.16526e-01    6.32260e-03    
3.21895e-01    6.63299e-03    
3.27355e-01    6.95803e-03    
3.32907e-01    7.29838e-03    
3.38554e-01    7.65469e-03    
3.44297e-01    8.02766e-03    
3.50137e-01    8.41800e-03    
3.56075e-01    8.82646e-03    
3.62115e-01    9.25382e-03    
3.68257e-01    9.70085e-03    
3.74504e-01    1.01684e-02    
3.80856e-01    1.06573e-02    
3.87316e-01    1.11684e-02    
3.93885e-01    1.17027e-02    
4.00566e-01    1.22611e-02    
4.07361e-01    1.28444e-02    
4.14270e-01    1.34539e-02    
4.21297e-01    1.40903e-02    
4.28443e-01    1.47549e-02    
4.35710e-01    1.54487e-02    
4.43101e-01    1.61727e-02    
4.50616e-01    1.69281e-02    
4.58260e-01    1.77161e-02    
4.66033e-01    1.85379e-02    
4.73937e-01    1.93946e-02    
4.81976e-01    2.02876e-02    
4.90151e-01    2.12180e-02    
4.98465e-01    2.21871e-02    
5.06920e-01    2.31963e-02    
5.15518e-01    2.42468e-02    
5.24263e-01    2.53401e-02    
5.33155e-01    2.64774e-02    
5.42198e-01    2.76601e-02    
