# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# MG/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
9.71391e-02    1.74363e-01    
9.87904e-02    1.74369e-01    
1.00470e-01    1.74375e-01    
1.02178e-01    1.74382e-01    
1.03915e-01    1.74388e-01    
1.05681e-01    1.74395e-01    
1.07478e-01    1.74402e-01    
1.09305e-01    1.74408e-01    
1.11163e-01    1.74415e-01    
1.13053e-01    1.74422e-01    
1.14975e-01    1.74430e-01    
1.16930e-01    1.74437e-01    
1.18917e-01    1.74445e-01    
1.20939e-01    1.74452e-01    
1.22995e-01    1.74460e-01    
1.25086e-01    1.74468e-01    
1.27212e-01    1.74476e-01    
1.29375e-01    1.74484e-01    
1.31574e-01    1.74492e-01    
1.33811e-01    1.74501e-01    
1.36086e-01    1.74509e-01    
1.38399e-01    1.74518e-01    
1.40752e-01    1.74527e-01    
1.43145e-01    1.74536e-01    
1.45578e-01    1.74545e-01    
1.48053e-01    1.74554e-01    
1.50570e-01    1.74564e-01    
1.53130e-01    1.74574e-01    
1.55733e-01    1.74583e-01    
1.58381e-01    1.74593e-01    
1.61073e-01    1.74604e-01    
1.63811e-01    1.74614e-01    
1.66596e-01    1.74624e-01    
1.69428e-01    1.74635e-01    
1.72308e-01    1.74646e-01    
1.75238e-01    1.74657e-01    
1.78217e-01    1.74668e-01    
1.81246e-01    1.74680e-01    
1.84328e-01    1.74692e-01    
1.87461e-01    1.74703e-01    
1.90648e-01    1.74716e-01    
1.93889e-01    1.74728e-01    
1.97185e-01    1.74740e-01    
2.00537e-01    1.74753e-01    
2.03946e-01    1.74766e-01    
2.07414e-01    1.74780e-01    
2.10940e-01    1.74793e-01    
2.14526e-01    1.74808e-01    
2.18172e-01    1.74823e-01    
2.21881e-01    1.74838e-01    
2.25653e-01    1.74854e-01    
2.29489e-01    1.74871e-01    
2.33391e-01    1.74888e-01    
2.37358e-01    1.74905e-01    
2.41394e-01    1.74923e-01    
2.45497e-01    1.74942e-01    
2.49671e-01    1.74961e-01    
2.53915e-01    1.74981e-01    
2.58232e-01    1.75002e-01    
2.62622e-01    1.75023e-01    
2.67086e-01    1.75045e-01    
2.71627e-01    1.75068e-01    
2.76244e-01    1.75092e-01    
2.80940e-01    1.75116e-01    
2.85716e-01    1.75141e-01    
2.90574e-01    1.75167e-01    
2.95513e-01    1.75193e-01    
3.00537e-01    1.75221e-01    
3.05646e-01    1.75250e-01    
