# USINE V4.0
# File generated 12-05-2022 05:02:49
# Model1DKisoVc
# MG
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.35122e-02    2.72365e-04    
9.51055e-02    2.86360e-04    
9.67260e-02    3.01070e-04    
9.83741e-02    3.16533e-04    
1.00050e-01    3.32786e-04    
1.01755e-01    3.49871e-04    
1.03489e-01    3.67827e-04    
1.05252e-01    3.86702e-04    
1.07045e-01    4.06539e-04    
1.08869e-01    4.27390e-04    
1.10724e-01    4.49304e-04    
1.12611e-01    4.72336e-04    
1.14530e-01    4.96543e-04    
1.16481e-01    5.21983e-04    
1.18466e-01    5.48719e-04    
1.20484e-01    5.76817e-04    
1.22537e-01    6.06346e-04    
1.24625e-01    6.37377e-04    
1.26749e-01    6.69987e-04    
1.28908e-01    7.04255e-04    
1.31105e-01    7.40265e-04    
1.33339e-01    7.78105e-04    
1.35611e-01    8.17866e-04    
1.37921e-01    8.59646e-04    
1.40271e-01    9.03545e-04    
1.42661e-01    9.49671e-04    
1.45092e-01    9.98135e-04    
1.47564e-01    1.04905e-03    
1.50078e-01    1.10255e-03    
1.52636e-01    1.15876e-03    
1.55236e-01    1.21781e-03    
1.57881e-01    1.27984e-03    
1.60571e-01    1.34501e-03    
1.63307e-01    1.41347e-03    
1.66090e-01    1.48539e-03    
1.68920e-01    1.56094e-03    
1.71798e-01    1.64029e-03    
1.74725e-01    1.72364e-03    
1.77702e-01    1.81120e-03    
1.80730e-01    1.90315e-03    
1.83810e-01    1.99974e-03    
1.86942e-01    2.10117e-03    
1.90127e-01    2.20771e-03    
1.93366e-01    2.31959e-03    
1.96661e-01    2.43708e-03    
2.00012e-01    2.56046e-03    
2.03420e-01    2.69000e-03    
2.06886e-01    2.82596e-03    
2.10411e-01    2.96865e-03    
2.13996e-01    3.11841e-03    
2.17642e-01    3.27555e-03    
2.21351e-01    3.44043e-03    
2.25122e-01    3.61343e-03    
2.28958e-01    3.79491e-03    
2.32859e-01    3.98528e-03    
2.36827e-01    4.18496e-03    
2.40862e-01    4.39438e-03    
2.44966e-01    4.61399e-03    
2.49140e-01    4.84427e-03    
2.53385e-01    5.08570e-03    
2.57702e-01    5.33879e-03    
2.62093e-01    5.60408e-03    
2.66559e-01    5.88213e-03    
2.71101e-01    6.17350e-03    
2.75720e-01    6.47881e-03    
2.80418e-01    6.79866e-03    
2.85196e-01    7.13371e-03    
2.90055e-01    7.48463e-03    
2.94997e-01    7.85212e-03    
3.00024e-01    8.23690e-03    
3.05136e-01    8.63972e-03    
3.10335e-01    9.06136e-03    
3.15623e-01    9.50262e-03    
3.21001e-01    9.96434e-03    
3.26470e-01    1.04474e-02    
3.32033e-01    1.09526e-02    
3.37690e-01    1.14810e-02    
3.43444e-01    1.20334e-02    
3.49296e-01    1.26109e-02    
3.55247e-01    1.32145e-02    
3.61300e-01    1.38452e-02    
3.67456e-01    1.45041e-02    
3.73717e-01    1.51922e-02    
3.80085e-01    1.59108e-02    
3.86561e-01    1.66609e-02    
3.93148e-01    1.74438e-02    
3.99846e-01    1.82606e-02    
4.06659e-01    1.91127e-02    
4.13588e-01    2.00012e-02    
4.20635e-01    2.09276e-02    
4.27802e-01    2.18930e-02    
4.35092e-01    2.28989e-02    
4.42505e-01    2.39466e-02    
4.50045e-01    2.50376e-02    
4.57713e-01    2.61731e-02    
4.65512e-01    2.73546e-02    
4.73444e-01    2.85836e-02    
4.81511e-01    2.98614e-02    
4.89715e-01    3.11896e-02    
4.98059e-01    3.25695e-02    
5.06545e-01    3.40027e-02    
5.15176e-01    3.54905e-02    
5.23954e-01    3.70344e-02    
5.32882e-01    3.86357e-02    
5.41961e-01    4.02960e-02    
5.51196e-01    4.20164e-02    
5.60587e-01    4.37985e-02    
5.70139e-01    4.56434e-02    
5.79854e-01    4.75524e-02    
5.89733e-01    4.95267e-02    
5.99782e-01    5.15675e-02    
6.10001e-01    5.36757e-02    
6.20395e-01    5.58524e-02    
6.30966e-01    5.80986e-02    
6.41717e-01    6.04149e-02    
6.52651e-01    6.28022e-02    
6.63771e-01    6.52609e-02    
6.75081e-01    6.77916e-02    
6.86583e-01    7.03947e-02    
6.98282e-01    7.30702e-02    
7.10180e-01    7.58183e-02    
7.22280e-01    7.86388e-02    
7.34587e-01    8.15315e-02    
7.47104e-01    8.44958e-02    
7.59833e-01    8.75311e-02    
7.72780e-01    9.06364e-02    
7.85947e-01    9.38108e-02    
7.99339e-01    9.70529e-02    
8.12958e-01    1.00361e-01    
8.26810e-01    1.03734e-01    
8.40898e-01    1.07168e-01    
8.55226e-01    1.10663e-01    
8.69798e-01    1.14215e-01    
8.84618e-01    1.17822e-01    
8.99691e-01    1.21480e-01    
9.15020e-01    1.25186e-01    
9.30611e-01    1.28937e-01    
9.46468e-01    1.32728e-01    
9.62594e-01    1.36556e-01    
9.78996e-01    1.40415e-01    
9.95677e-01    1.44301e-01    
1.01264e+00    1.48209e-01    
1.02990e+00    1.52133e-01    
1.04744e+00    1.56069e-01    
1.06529e+00    1.60010e-01    
1.08344e+00    1.63951e-01    
1.10190e+00    1.67884e-01    
1.12068e+00    1.71805e-01    
1.13977e+00    1.75705e-01    
1.15919e+00    1.79579e-01    
1.17894e+00    1.83419e-01    
1.19903e+00    1.87219e-01    
1.21946e+00    1.90971e-01    
1.24024e+00    1.94669e-01    
1.26137e+00    1.98305e-01    
1.28286e+00    2.01871e-01    
1.30472e+00    2.05361e-01    
1.32695e+00    2.08767e-01    
1.34956e+00    2.12083e-01    
1.37256e+00    2.15300e-01    
1.39594e+00    2.18413e-01    
1.41973e+00    2.21414e-01    
1.44392e+00    2.24297e-01    
1.46852e+00    2.27055e-01    
1.49354e+00    2.29682e-01    
1.51899e+00    2.32172e-01    
1.54487e+00    2.34520e-01    
1.57120e+00    2.36721e-01    
1.59797e+00    2.38769e-01    
1.62520e+00    2.40661e-01    
1.65289e+00    2.42392e-01    
1.68105e+00    2.43959e-01    
1.70969e+00    2.45360e-01    
1.73882e+00    2.46591e-01    
1.76845e+00    2.47652e-01    
1.79858e+00    2.48540e-01    
1.82923e+00    2.49255e-01    
1.86040e+00    2.49796e-01    
1.89210e+00    2.50163e-01    
1.92434e+00    2.50358e-01    
1.95712e+00    2.50380e-01    
1.99047e+00    2.50231e-01    
2.02439e+00    2.49912e-01    
2.05888e+00    2.49427e-01    
2.09396e+00    2.48776e-01    
2.12964e+00    2.47963e-01    
2.16592e+00    2.46990e-01    
2.20283e+00    2.45861e-01    
2.24036e+00    2.44581e-01    
2.27854e+00    2.43152e-01    
2.31736e+00    2.41580e-01    
2.35684e+00    2.39869e-01    
2.39700e+00    2.38026e-01    
2.43784e+00    2.36056e-01    
2.47938e+00    2.33964e-01    
2.52163e+00    2.31759e-01    
2.56459e+00    2.29445e-01    
2.60829e+00    2.27029e-01    
2.65273e+00    2.24519e-01    
2.69793e+00    2.21921e-01    
2.74390e+00    2.19241e-01    
2.79065e+00    2.16485e-01    
2.83820e+00    2.13659e-01    
2.88656e+00    2.10769e-01    
2.93574e+00    2.07819e-01    
2.98577e+00    2.04814e-01    
3.03664e+00    2.01758e-01    
3.08838e+00    1.98655e-01    
3.14100e+00    1.95507e-01    
3.19452e+00    1.92316e-01    
3.24895e+00    1.89085e-01    
3.30431e+00    1.85815e-01    
3.36061e+00    1.82505e-01    
3.41787e+00    1.79156e-01    
3.47611e+00    1.75769e-01    
3.53534e+00    1.72342e-01    
3.59557e+00    1.68877e-01    
3.65684e+00    1.65376e-01    
3.71915e+00    1.61840e-01    
3.78252e+00    1.58277e-01    
3.84697e+00    1.54692e-01    
3.91251e+00    1.51094e-01    
3.97918e+00    1.47493e-01    
4.04698e+00    1.43899e-01    
4.11593e+00    1.40322e-01    
4.18606e+00    1.36771e-01    
4.25739e+00    1.33252e-01    
4.32993e+00    1.29772e-01    
4.40371e+00    1.26336e-01    
4.47874e+00    1.22947e-01    
4.55505e+00    1.19608e-01    
4.63266e+00    1.16321e-01    
4.71160e+00    1.13089e-01    
4.79188e+00    1.09911e-01    
4.87353e+00    1.06790e-01    
4.95656e+00    1.03726e-01    
5.04102e+00    1.00719e-01    
5.12691e+00    9.77700e-02    
5.21427e+00    9.48793e-02    
5.30311e+00    9.20469e-02    
5.39347e+00    8.92728e-02    
5.48537e+00    8.65573e-02    
5.57883e+00    8.39002e-02    
5.67389e+00    8.13016e-02    
5.77056e+00    7.87613e-02    
5.86889e+00    7.62792e-02    
5.96889e+00    7.38550e-02    
6.07059e+00    7.14886e-02    
6.17402e+00    6.91796e-02    
6.27922e+00    6.69277e-02    
6.38621e+00    6.47323e-02    
6.49502e+00    6.25931e-02    
6.60569e+00    6.05095e-02    
6.71824e+00    5.84809e-02    
6.83271e+00    5.65066e-02    
6.94913e+00    5.45862e-02    
7.06754e+00    5.27188e-02    
7.18796e+00    5.09038e-02    
7.31043e+00    4.91405e-02    
7.43500e+00    4.74282e-02    
7.56168e+00    4.57660e-02    
7.69052e+00    4.41533e-02    
7.82156e+00    4.25891e-02    
7.95483e+00    4.10727e-02    
8.09037e+00    3.96032e-02    
8.22822e+00    3.81798e-02    
8.36842e+00    3.68015e-02    
8.51100e+00    3.54674e-02    
8.65602e+00    3.41768e-02    
8.80351e+00    3.29285e-02    
8.95351e+00    3.17218e-02    
9.10606e+00    3.05556e-02    
9.26122e+00    2.94289e-02    
9.41902e+00    2.83408e-02    
9.57951e+00    2.72901e-02    
9.74273e+00    2.62758e-02    
9.90873e+00    2.52968e-02    
1.00776e+01    2.43520e-02    
1.02493e+01    2.34402e-02    
1.04239e+01    2.25603e-02    
1.06015e+01    2.17114e-02    
1.07822e+01    2.08923e-02    
1.09659e+01    2.01020e-02    
1.11527e+01    1.93395e-02    
1.13427e+01    1.86041e-02    
1.15360e+01    1.78947e-02    
1.17326e+01    1.72105e-02    
1.19325e+01    1.65507e-02    
1.21358e+01    1.59147e-02    
1.23426e+01    1.53015e-02    
1.25529e+01    1.47105e-02    
1.27668e+01    1.41409e-02    
1.29843e+01    1.35922e-02    
1.32055e+01    1.30635e-02    
1.34305e+01    1.25542e-02    
1.36594e+01    1.20637e-02    
1.38921e+01    1.15914e-02    
1.41288e+01    1.11365e-02    
1.43696e+01    1.06985e-02    
1.46144e+01    1.02769e-02    
1.48634e+01    9.87097e-03    
1.51167e+01    9.48031e-03    
1.53742e+01    9.10433e-03    
1.56362e+01    8.74254e-03    
