# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# NE/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
9.71391e-02    1.55342e-01    
9.87904e-02    1.55350e-01    
1.00470e-01    1.55357e-01    
1.02178e-01    1.55365e-01    
1.03915e-01    1.55373e-01    
1.05681e-01    1.55381e-01    
1.07478e-01    1.55389e-01    
1.09305e-01    1.55397e-01    
1.11163e-01    1.55405e-01    
1.13053e-01    1.55414e-01    
1.14975e-01    1.55423e-01    
1.16930e-01    1.55431e-01    
1.18917e-01    1.55440e-01    
1.20939e-01    1.55449e-01    
1.22995e-01    1.55459e-01    
1.25086e-01    1.55468e-01    
1.27212e-01    1.55478e-01    
1.29375e-01    1.55488e-01    
1.31574e-01    1.55497e-01    
1.33811e-01    1.55508e-01    
1.36086e-01    1.55518e-01    
1.38399e-01    1.55528e-01    
1.40752e-01    1.55539e-01    
1.43145e-01    1.55550e-01    
1.45578e-01    1.55561e-01    
1.48053e-01    1.55572e-01    
1.50570e-01    1.55583e-01    
1.53130e-01    1.55595e-01    
1.55733e-01    1.55607e-01    
1.58381e-01    1.55619e-01    
1.61073e-01    1.55631e-01    
1.63811e-01    1.55643e-01    
1.66596e-01    1.55656e-01    
1.69428e-01    1.55669e-01    
1.72308e-01    1.55682e-01    
1.75238e-01    1.55695e-01    
1.78217e-01    1.55708e-01    
1.81246e-01    1.55722e-01    
1.84328e-01    1.55736e-01    
1.87461e-01    1.55750e-01    
1.90648e-01    1.55765e-01    
1.93889e-01    1.55779e-01    
1.97185e-01    1.55794e-01    
2.00537e-01    1.55810e-01    
2.03946e-01    1.55825e-01    
2.07414e-01    1.55841e-01    
2.10940e-01    1.55858e-01    
2.14526e-01    1.55875e-01    
2.18172e-01    1.55893e-01    
2.21881e-01    1.55912e-01    
2.25653e-01    1.55931e-01    
2.29489e-01    1.55950e-01    
2.33391e-01    1.55971e-01    
2.37358e-01    1.55992e-01    
2.41394e-01    1.56014e-01    
2.45497e-01    1.56036e-01    
2.49671e-01    1.56059e-01    
2.53915e-01    1.56083e-01    
2.58232e-01    1.56108e-01    
2.62622e-01    1.56133e-01    
2.67086e-01    1.56160e-01    
2.71627e-01    1.56187e-01    
2.76244e-01    1.56215e-01    
2.80940e-01    1.56245e-01    
2.85716e-01    1.56275e-01    
2.90574e-01    1.56306e-01    
2.95513e-01    1.56338e-01    
3.00537e-01    1.56371e-01    
3.05646e-01    1.56405e-01    
3.10842e-01    1.56441e-01    
3.16127e-01    1.56477e-01    
3.21501e-01    1.56515e-01    
3.26966e-01    1.56554e-01    
3.32525e-01    1.56594e-01    
3.38178e-01    1.56635e-01    
3.43927e-01    1.56678e-01    
3.49773e-01    1.56722e-01    
3.55720e-01    1.56768e-01    
3.61767e-01    1.56815e-01    
3.67917e-01    1.56864e-01    
3.74171e-01    1.56914e-01    
3.80532e-01    1.56965e-01    
3.87001e-01    1.57019e-01    
3.93580e-01    1.57074e-01    
4.00271e-01    1.57131e-01    
4.07076e-01    1.57189e-01    
4.13996e-01    1.57250e-01    
4.21034e-01    1.57312e-01    
4.28192e-01    1.57376e-01    
4.35471e-01    1.57443e-01    
4.42874e-01    1.57511e-01    
4.50403e-01    1.57581e-01    
4.58060e-01    1.57654e-01    
4.65847e-01    1.57729e-01    
4.73766e-01    1.57806e-01    
4.81820e-01    1.57885e-01    
4.90011e-01    1.57967e-01    
4.98341e-01    1.58052e-01    
5.06813e-01    1.58139e-01    
5.15429e-01    1.58228e-01    
5.24191e-01    1.58320e-01    
5.33102e-01    1.58415e-01    
5.42165e-01    1.58513e-01    
5.51382e-01    1.58613e-01    
5.60756e-01    1.58716e-01    
5.70288e-01    1.58823e-01    
5.79983e-01    1.58932e-01    
5.89843e-01    1.59045e-01    
5.99870e-01    1.59160e-01    
6.10068e-01    1.59279e-01    
6.20439e-01    1.59401e-01    
6.30987e-01    1.59527e-01    
6.41714e-01    1.59656e-01    
6.52623e-01    1.59789e-01    
6.63717e-01    1.59925e-01    
6.75000e-01    1.60064e-01    
6.86475e-01    1.60208e-01    
6.98146e-01    1.60355e-01    
7.10014e-01    1.60506e-01    
7.22084e-01    1.60660e-01    
7.34360e-01    1.60819e-01    
7.46844e-01    1.60981e-01    
7.59540e-01    1.61148e-01    
7.72452e-01    1.61318e-01    
7.85584e-01    1.61493e-01    
7.98939e-01    1.61671e-01    
8.12521e-01    1.61854e-01    
8.26334e-01    1.62040e-01    
8.40382e-01    1.62231e-01    
8.54668e-01    1.62426e-01    
8.69197e-01    1.62625e-01    
8.83974e-01    1.62828e-01    
8.99001e-01    1.63035e-01    
9.14284e-01    1.63247e-01    
9.29827e-01    1.63462e-01    
9.45634e-01    1.63681e-01    
9.61710e-01    1.63905e-01    
9.78059e-01    1.64132e-01    
9.94686e-01    1.64363e-01    
1.01160e+00    1.64598e-01    
1.02879e+00    1.64836e-01    
1.04628e+00    1.65079e-01    
1.06407e+00    1.65324e-01    
1.08216e+00    1.65574e-01    
1.10056e+00    1.65827e-01    
1.11926e+00    1.66083e-01    
1.13829e+00    1.66343e-01    
1.15764e+00    1.66606e-01    
1.17732e+00    1.66872e-01    
1.19734e+00    1.67141e-01    
1.21769e+00    1.67413e-01    
1.23839e+00    1.67688e-01    
1.25945e+00    1.67965e-01    
1.28086e+00    1.68246e-01    
1.30263e+00    1.68528e-01    
1.32478e+00    1.68813e-01    
1.34730e+00    1.69100e-01    
1.37020e+00    1.69389e-01    
1.39349e+00    1.69680e-01    
1.41718e+00    1.69973e-01    
1.44128e+00    1.70266e-01    
1.46578e+00    1.70561e-01    
1.49070e+00    1.70856e-01    
1.51604e+00    1.71151e-01    
1.54181e+00    1.71447e-01    
1.56802e+00    1.71742e-01    
1.59468e+00    1.72036e-01    
1.62179e+00    1.72329e-01    
1.64936e+00    1.72620e-01    
1.67740e+00    1.72910e-01    
1.70591e+00    1.73198e-01    
