# USINE V4.0
# File generated 12-05-2022 05:02:50
# Model1DKisoVc
# SI/O
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [-]
9.71391e-02    1.44807e-01    
9.87904e-02    1.44811e-01    
1.00470e-01    1.44814e-01    
1.02178e-01    1.44818e-01    
1.03915e-01    1.44822e-01    
1.05681e-01    1.44825e-01    
1.07478e-01    1.44829e-01    
1.09305e-01    1.44833e-01    
1.11163e-01    1.44837e-01    
1.13053e-01    1.44841e-01    
1.14975e-01    1.44845e-01    
1.16930e-01    1.44849e-01    
1.18917e-01    1.44854e-01    
1.20939e-01    1.44858e-01    
1.22995e-01    1.44862e-01    
1.25086e-01    1.44867e-01    
1.27212e-01    1.44871e-01    
1.29375e-01    1.44876e-01    
1.31574e-01    1.44880e-01    
1.33811e-01    1.44885e-01    
1.36086e-01    1.44890e-01    
1.38399e-01    1.44895e-01    
1.40752e-01    1.44900e-01    
1.43145e-01    1.44905e-01    
1.45578e-01    1.44910e-01    
1.48053e-01    1.44915e-01    
1.50570e-01    1.44921e-01    
1.53130e-01    1.44926e-01    
1.55733e-01    1.44932e-01    
1.58381e-01    1.44937e-01    
1.61073e-01    1.44943e-01    
1.63811e-01    1.44949e-01    
1.66596e-01    1.44955e-01    
1.69428e-01    1.44961e-01    
1.72308e-01    1.44967e-01    
1.75238e-01    1.44973e-01    
1.78217e-01    1.44979e-01    
1.81246e-01    1.44986e-01    
1.84328e-01    1.44992e-01    
1.87461e-01    1.44999e-01    
1.90648e-01    1.45005e-01    
1.93889e-01    1.45012e-01    
1.97185e-01    1.45019e-01    
2.00537e-01    1.45026e-01    
2.03946e-01    1.45034e-01    
2.07414e-01    1.45041e-01    
2.10940e-01    1.45049e-01    
2.14526e-01    1.45057e-01    
2.18172e-01    1.45065e-01    
2.21881e-01    1.45074e-01    
2.25653e-01    1.45082e-01    
2.29489e-01    1.45092e-01    
2.33391e-01    1.45101e-01    
2.37358e-01    1.45111e-01    
2.41394e-01    1.45121e-01    
2.45497e-01    1.45131e-01    
2.49671e-01    1.45142e-01    
2.53915e-01    1.45153e-01    
2.58232e-01    1.45165e-01    
2.62622e-01    1.45177e-01    
2.67086e-01    1.45189e-01    
2.71627e-01    1.45202e-01    
2.76244e-01    1.45215e-01    
2.80940e-01    1.45228e-01    
2.85716e-01    1.45242e-01    
2.90574e-01    1.45257e-01    
2.95513e-01    1.45271e-01    
3.00537e-01    1.45287e-01    
3.05646e-01    1.45303e-01    
3.10842e-01    1.45319e-01    
3.16127e-01    1.45336e-01    
3.21501e-01    1.45354e-01    
3.26966e-01    1.45372e-01    
3.32525e-01    1.45390e-01    
3.38178e-01    1.45409e-01    
3.43927e-01    1.45429e-01    
3.49773e-01    1.45450e-01    
3.55720e-01    1.45471e-01    
3.61767e-01    1.45493e-01    
3.67917e-01    1.45515e-01    
3.74171e-01    1.45539e-01    
3.80532e-01    1.45563e-01    
3.87001e-01    1.45587e-01    
3.93580e-01    1.45613e-01    
4.00271e-01    1.45639e-01    
4.07076e-01    1.45666e-01    
4.13996e-01    1.45694e-01    
4.21034e-01    1.45723e-01    
4.28192e-01    1.45753e-01    
4.35471e-01    1.45784e-01    
4.42874e-01    1.45815e-01    
4.50403e-01    1.45848e-01    
4.58060e-01    1.45882e-01    
4.65847e-01    1.45916e-01    
4.73766e-01    1.45952e-01    
4.81820e-01    1.45989e-01    
4.90011e-01    1.46027e-01    
4.98341e-01    1.46066e-01    
5.06813e-01    1.46106e-01    
5.15429e-01    1.46147e-01    
5.24191e-01    1.46190e-01    
5.33102e-01    1.46234e-01    
5.42165e-01    1.46279e-01    
5.51382e-01    1.46326e-01    
5.60756e-01    1.46373e-01    
5.70288e-01    1.46423e-01    
5.79983e-01    1.46473e-01    
5.89843e-01    1.46525e-01    
5.99870e-01    1.46579e-01    
6.10068e-01    1.46634e-01    
6.20439e-01    1.46690e-01    
6.30987e-01    1.46748e-01    
6.41714e-01    1.46808e-01    
6.52623e-01    1.46869e-01    
6.63717e-01    1.46932e-01    
6.75000e-01    1.46996e-01    
6.86475e-01    1.47062e-01    
6.98146e-01    1.47130e-01    
7.10014e-01    1.47200e-01    
7.22084e-01    1.47271e-01    
7.34360e-01    1.47344e-01    
7.46844e-01    1.47419e-01    
7.59540e-01    1.47495e-01    
7.72452e-01    1.47574e-01    
7.85584e-01    1.47654e-01    
7.98939e-01    1.47736e-01    
8.12521e-01    1.47820e-01    
8.26334e-01    1.47906e-01    
8.40382e-01    1.47993e-01    
8.54668e-01    1.48083e-01    
8.69197e-01    1.48174e-01    
8.83974e-01    1.48267e-01    
8.99001e-01    1.48362e-01    
9.14284e-01    1.48458e-01    
9.29827e-01    1.48557e-01    
9.45634e-01    1.48657e-01    
9.61710e-01    1.48759e-01    
9.78059e-01    1.48863e-01    
9.94686e-01    1.48968e-01    
1.01160e+00    1.49075e-01    
1.02879e+00    1.49184e-01    
1.04628e+00    1.49295e-01    
1.06407e+00    1.49407e-01    
1.08216e+00    1.49520e-01    
1.10056e+00    1.49635e-01    
1.11926e+00    1.49752e-01    
1.13829e+00    1.49869e-01    
1.15764e+00    1.49989e-01    
1.17732e+00    1.50109e-01    
1.19734e+00    1.50231e-01    
1.21769e+00    1.50354e-01    
1.23839e+00    1.50478e-01    
1.25945e+00    1.50603e-01    
1.28086e+00    1.50729e-01    
1.30263e+00    1.50856e-01    
1.32478e+00    1.50983e-01    
1.34730e+00    1.51111e-01    
1.37020e+00    1.51239e-01    
1.39349e+00    1.51367e-01    
1.41718e+00    1.51496e-01    
1.44128e+00    1.51624e-01    
1.46578e+00    1.51752e-01    
1.49070e+00    1.51880e-01    
1.51604e+00    1.52006e-01    
1.54181e+00    1.52132e-01    
1.56802e+00    1.52256e-01    
1.59468e+00    1.52379e-01    
1.62179e+00    1.52501e-01    
1.64936e+00    1.52620e-01    
1.67740e+00    1.52738e-01    
1.70591e+00    1.52853e-01    
1.73491e+00    1.52966e-01    
1.76441e+00    1.53076e-01    
1.79440e+00    1.53183e-01    
1.82491e+00    1.53288e-01    
1.85593e+00    1.53389e-01    
1.88748e+00    1.53488e-01    
1.91957e+00    1.53582e-01    
1.95220e+00    1.53674e-01    
1.98539e+00    1.53761e-01    
2.01914e+00    1.53844e-01    
2.05346e+00    1.53923e-01    
2.08837e+00    1.53997e-01    
2.12388e+00    1.54066e-01    
2.15998e+00    1.54129e-01    
2.19670e+00    1.54187e-01    
2.23405e+00    1.54239e-01    
2.27202e+00    1.54285e-01    
2.31065e+00    1.54324e-01    
2.34993e+00    1.54356e-01    
2.38988e+00    1.54382e-01    
2.43051e+00    1.54402e-01    
2.47183e+00    1.54414e-01    
2.51385e+00    1.54420e-01    
2.55658e+00    1.54420e-01    
2.60004e+00    1.54413e-01    
2.64424e+00    1.54401e-01    
2.68920e+00    1.54383e-01    
2.73491e+00    1.54359e-01    
2.78141e+00    1.54330e-01    
2.82869e+00    1.54295e-01    
2.87678e+00    1.54256e-01    
2.92568e+00    1.54211e-01    
2.97542e+00    1.54162e-01    
3.02600e+00    1.54108e-01    
3.07744e+00    1.54050e-01    
3.12976e+00    1.53988e-01    
3.18297e+00    1.53923e-01    
3.23708e+00    1.53855e-01    
3.29211e+00    1.53786e-01    
3.34807e+00    1.53717e-01    
3.40499e+00    1.53648e-01    
3.46288e+00    1.53583e-01    
3.52174e+00    1.53524e-01    
3.58161e+00    1.53472e-01    
3.64250e+00    1.53431e-01    
3.70442e+00    1.53403e-01    
3.76740e+00    1.53390e-01    
3.83145e+00    1.53393e-01    
3.89658e+00    1.53413e-01    
3.96282e+00    1.53449e-01    
4.03019e+00    1.53501e-01    
4.09870e+00    1.53565e-01    
4.16838e+00    1.53641e-01    
4.23924e+00    1.53726e-01    
4.31131e+00    1.53819e-01    
4.38460e+00    1.53916e-01    
4.45914e+00    1.54018e-01    
4.53495e+00    1.54122e-01    
4.61204e+00    1.54228e-01    
4.69045e+00    1.54336e-01    
4.77018e+00    1.54444e-01    
4.85128e+00    1.54552e-01    
4.93375e+00    1.54661e-01    
5.01762e+00    1.54769e-01    
5.10292e+00    1.54877e-01    
5.18967e+00    1.54985e-01    
5.27790e+00    1.55092e-01    
5.36762e+00    1.55198e-01    
5.45887e+00    1.55304e-01    
