# USINE V4.0
# File generated 12-05-2022 05:02:48
# Model1DKisoVc
# SI
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.24751e-02    2.18845e-04    
9.40518e-02    2.30096e-04    
9.56554e-02    2.41923e-04    
9.72864e-02    2.54356e-04    
9.89451e-02    2.67424e-04    
1.00632e-01    2.81161e-04    
1.02348e-01    2.95600e-04    
1.04093e-01    3.10777e-04    
1.05868e-01    3.26729e-04    
1.07673e-01    3.43496e-04    
1.09509e-01    3.61119e-04    
1.11376e-01    3.79641e-04    
1.13275e-01    3.99108e-04    
1.15206e-01    4.19568e-04    
1.17170e-01    4.41071e-04    
1.19168e-01    4.63670e-04    
1.21200e-01    4.87420e-04    
1.23266e-01    5.12379e-04    
1.25368e-01    5.38608e-04    
1.27506e-01    5.66173e-04    
1.29680e-01    5.95138e-04    
1.31891e-01    6.25577e-04    
1.34139e-01    6.57562e-04    
1.36427e-01    6.91171e-04    
1.38753e-01    7.26487e-04    
1.41118e-01    7.63594e-04    
1.43524e-01    8.02583e-04    
1.45972e-01    8.43549e-04    
1.48460e-01    8.86591e-04    
1.50992e-01    9.31812e-04    
1.53566e-01    9.79322e-04    
1.56184e-01    1.02924e-03    
1.58847e-01    1.08167e-03    
1.61556e-01    1.13676e-03    
1.64310e-01    1.19463e-03    
1.67112e-01    1.25542e-03    
1.69961e-01    1.31927e-03    
1.72859e-01    1.38635e-03    
1.75806e-01    1.45681e-03    
1.78804e-01    1.53081e-03    
1.81852e-01    1.60854e-03    
1.84953e-01    1.69017e-03    
1.88106e-01    1.77591e-03    
1.91314e-01    1.86595e-03    
1.94576e-01    1.96052e-03    
1.97893e-01    2.05982e-03    
2.01267e-01    2.16410e-03    
2.04699e-01    2.27356e-03    
2.08189e-01    2.38845e-03    
2.11739e-01    2.50903e-03    
2.15349e-01    2.63556e-03    
2.19020e-01    2.76833e-03    
2.22755e-01    2.90763e-03    
2.26553e-01    3.05378e-03    
2.30416e-01    3.20709e-03    
2.34344e-01    3.36790e-03    
2.38340e-01    3.53657e-03    
2.42403e-01    3.71344e-03    
2.46536e-01    3.89892e-03    
2.50740e-01    4.09338e-03    
2.55015e-01    4.29725e-03    
2.59363e-01    4.51096e-03    
2.63785e-01    4.73494e-03    
2.68283e-01    4.96968e-03    
2.72857e-01    5.21564e-03    
2.77509e-01    5.47333e-03    
2.82241e-01    5.74328e-03    
2.87053e-01    6.02603e-03    
2.91947e-01    6.32214e-03    
2.96925e-01    6.63220e-03    
3.01988e-01    6.95680e-03    
3.07137e-01    7.29658e-03    
3.12373e-01    7.65219e-03    
3.17699e-01    8.02431e-03    
3.23116e-01    8.41361e-03    
3.28625e-01    8.82083e-03    
3.34228e-01    9.24672e-03    
3.39927e-01    9.69202e-03    
3.45723e-01    1.01576e-02    
3.51617e-01    1.06441e-02    
3.57613e-01    1.11525e-02    
3.63710e-01    1.16837e-02    
3.69911e-01    1.22385e-02    
3.76218e-01    1.28178e-02    
3.82633e-01    1.34227e-02    
3.89157e-01    1.40539e-02    
3.95792e-01    1.47126e-02    
4.02540e-01    1.53997e-02    
4.09404e-01    1.61162e-02    
4.16384e-01    1.68633e-02    
4.23483e-01    1.76419e-02    
4.30704e-01    1.84532e-02    
4.38047e-01    1.92982e-02    
4.45516e-01    2.01781e-02    
4.53112e-01    2.10941e-02    
4.60838e-01    2.20472e-02    
4.68695e-01    2.30386e-02    
4.76686e-01    2.40694e-02    
4.84814e-01    2.51409e-02    
4.93080e-01    2.62543e-02    
5.01487e-01    2.74106e-02    
5.10037e-01    2.86110e-02    
5.18734e-01    2.98567e-02    
5.27578e-01    3.11489e-02    
5.36573e-01    3.24886e-02    
5.45722e-01    3.38770e-02    
5.55027e-01    3.53152e-02    
5.64490e-01    3.68041e-02    
5.74115e-01    3.83448e-02    
5.83903e-01    3.99383e-02    
5.93859e-01    4.15855e-02    
6.03984e-01    4.32872e-02    
6.14282e-01    4.50443e-02    
6.24756e-01    4.68575e-02    
6.35408e-01    4.87275e-02    
6.46242e-01    5.06547e-02    
6.57260e-01    5.26398e-02    
6.68467e-01    5.46830e-02    
6.79864e-01    5.67848e-02    
6.91456e-01    5.89451e-02    
7.03245e-01    6.11642e-02    
7.15235e-01    6.34418e-02    
7.27430e-01    6.57778e-02    
7.39833e-01    6.81718e-02    
7.52447e-01    7.06232e-02    
7.65277e-01    7.31313e-02    
7.78325e-01    7.56953e-02    
7.91595e-01    7.83141e-02    
8.05092e-01    8.09865e-02    
8.18819e-01    8.37109e-02    
8.32780e-01    8.64859e-02    
8.46979e-01    8.93095e-02    
8.61420e-01    9.21797e-02    
8.76107e-01    9.50942e-02    
8.91045e-01    9.80505e-02    
9.06237e-01    1.01046e-01    
9.21689e-01    1.04077e-01    
9.37404e-01    1.07142e-01    
9.53386e-01    1.10236e-01    
9.69642e-01    1.13356e-01    
9.86174e-01    1.16498e-01    
1.00299e+00    1.19659e-01    
1.02009e+00    1.22833e-01    
1.03748e+00    1.26017e-01    
1.05517e+00    1.29205e-01    
1.07316e+00    1.32393e-01    
1.09146e+00    1.35576e-01    
1.11007e+00    1.38749e-01    
1.12900e+00    1.41906e-01    
1.14825e+00    1.45043e-01    
1.16782e+00    1.48152e-01    
1.18773e+00    1.51230e-01    
1.20799e+00    1.54269e-01    
1.22858e+00    1.57265e-01    
1.24953e+00    1.60211e-01    
