# USINE V4.0
# File generated 06-05-2022 12:33:43
# Model1DKisoVc
# B/C
# SolMod0DFF_phi0.670GV
# R [GV]       TOA [-]
1.00751e-01    2.08593e-01    
1.02460e-01    2.08623e-01    
1.04198e-01    2.08654e-01    
1.05965e-01    2.08685e-01    
1.07763e-01    2.08717e-01    
1.09591e-01    2.08749e-01    
1.11450e-01    2.08782e-01    
1.13340e-01    2.08816e-01    
1.15263e-01    2.08850e-01    
1.17218e-01    2.08885e-01    
1.19206e-01    2.08920e-01    
1.21228e-01    2.08956e-01    
1.23285e-01    2.08993e-01    
1.25376e-01    2.09030e-01    
1.27503e-01    2.09068e-01    
1.29666e-01    2.09106e-01    
1.31865e-01    2.09145e-01    
1.34102e-01    2.09185e-01    
1.36377e-01    2.09226e-01    
1.38690e-01    2.09267e-01    
1.41043e-01    2.09309e-01    
1.43435e-01    2.09352e-01    
1.45868e-01    2.09395e-01    
1.48343e-01    2.09438e-01    
1.50859e-01    2.09482e-01    
1.53418e-01    2.09527e-01    
1.56020e-01    2.09573e-01    
1.58667e-01    2.09619e-01    
1.61358e-01    2.09666e-01    
1.64095e-01    2.09714e-01    
1.66879e-01    2.09763e-01    
1.69710e-01    2.09813e-01    
1.72588e-01    2.09863e-01    
1.75516e-01    2.09915e-01    
1.78493e-01    2.09967e-01    
1.81521e-01    2.10020e-01    
1.84600e-01    2.10074e-01    
1.87731e-01    2.10130e-01    
1.90916e-01    2.10186e-01    
1.94154e-01    2.10243e-01    
1.97448e-01    2.10301e-01    
2.00797e-01    2.10361e-01    
2.04203e-01    2.10422e-01    
2.07667e-01    2.10485e-01    
2.11190e-01    2.10550e-01    
2.14772e-01    2.10617e-01    
2.18415e-01    2.10687e-01    
2.22120e-01    2.10759e-01    
2.25888e-01    2.10834e-01    
2.29720e-01    2.10911e-01    
2.33616e-01    2.10990e-01    
2.37579e-01    2.11072e-01    
2.41609e-01    2.11157e-01    
2.45707e-01    2.11245e-01    
2.49875e-01    2.11336e-01    
2.54114e-01    2.11429e-01    
2.58424e-01    2.11526e-01    
2.62808e-01    2.11626e-01    
2.67266e-01    2.11729e-01    
2.71800e-01    2.11836e-01    
2.76410e-01    2.11946e-01    
2.81099e-01    2.12058e-01    
2.85867e-01    2.12173e-01    
2.90716e-01    2.12292e-01    
2.95647e-01    2.12415e-01    
3.00662e-01    2.12542e-01    
3.05763e-01    2.12673e-01    
3.10949e-01    2.12809e-01    
