# USINE V4.0
# File generated 06-05-2022 12:33:43
# Model1DKisoVc
# B
# SolMod0DFF_phi0.670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.50228e-02    3.46688e-04    
9.66403e-02    3.64522e-04    
9.82854e-02    3.83271e-04    
9.99584e-02    4.02981e-04    
1.01660e-01    4.23700e-04    
1.03390e-01    4.45481e-04    
1.05150e-01    4.68377e-04    
1.06940e-01    4.92445e-04    
1.08761e-01    5.17745e-04    
1.10612e-01    5.44339e-04    
1.12495e-01    5.72293e-04    
1.14410e-01    6.01677e-04    
1.16357e-01    6.32563e-04    
1.18338e-01    6.65028e-04    
1.20353e-01    6.99151e-04    
1.22401e-01    7.35016e-04    
1.24485e-01    7.72713e-04    
1.26604e-01    8.12334e-04    
1.28759e-01    8.53976e-04    
1.30951e-01    8.97742e-04    
1.33180e-01    9.43740e-04    
1.35447e-01    9.92082e-04    
1.37753e-01    1.04289e-03    
1.40097e-01    1.09628e-03    
1.42482e-01    1.15239e-03    
1.44908e-01    1.21136e-03    
1.47374e-01    1.27332e-03    
1.49883e-01    1.33843e-03    
1.52434e-01    1.40685e-03    
1.55029e-01    1.47875e-03    
1.57668e-01    1.55429e-03    
1.60352e-01    1.63368e-03    
1.63082e-01    1.71708e-03    
1.65858e-01    1.80472e-03    
1.68681e-01    1.89681e-03    
1.71552e-01    1.99355e-03    
1.74472e-01    2.09520e-03    
1.77442e-01    2.20199e-03    
1.80463e-01    2.31418e-03    
1.83535e-01    2.43205e-03    
1.86659e-01    2.55587e-03    
1.89836e-01    2.68595e-03    
1.93068e-01    2.82259e-03    
1.96354e-01    2.96612e-03    
1.99697e-01    3.11688e-03    
2.03096e-01    3.27522e-03    
2.06553e-01    3.44148e-03    
2.10069e-01    3.61603e-03    
2.13645e-01    3.79930e-03    
2.17282e-01    3.99169e-03    
2.20981e-01    4.19365e-03    
2.24742e-01    4.40563e-03    
2.28568e-01    4.62813e-03    
2.32459e-01    4.86164e-03    
2.36416e-01    5.10669e-03    
2.40440e-01    5.36383e-03    
2.44533e-01    5.63363e-03    
2.48696e-01    5.91669e-03    
2.52929e-01    6.21365e-03    
2.57235e-01    6.52514e-03    
2.61613e-01    6.85185e-03    
2.66067e-01    7.19450e-03    
2.70596e-01    7.55382e-03    
2.75202e-01    7.93058e-03    
2.79886e-01    8.32552e-03    
2.84651e-01    8.73951e-03    
2.89496e-01    9.17345e-03    
2.94424e-01    9.62824e-03    
2.99436e-01    1.01048e-02    
3.04533e-01    1.06041e-02    
3.09717e-01    1.11272e-02    
3.14989e-01    1.16751e-02    
3.20351e-01    1.22489e-02    
3.25804e-01    1.28499e-02    
3.31350e-01    1.34791e-02    
3.36991e-01    1.41378e-02    
3.42727e-01    1.48272e-02    
3.48561e-01    1.55488e-02    
3.54494e-01    1.63038e-02    
3.60529e-01    1.70937e-02    
3.66666e-01    1.79200e-02    
3.72907e-01    1.87839e-02    
3.79255e-01    1.96869e-02    
3.85711e-01    2.06309e-02    
3.92277e-01    2.16173e-02    
3.98954e-01    2.26480e-02    
4.05745e-01    2.37248e-02    
4.12652e-01    2.48494e-02    
4.19677e-01    2.60237e-02    
4.26820e-01    2.72497e-02    
4.34086e-01    2.85293e-02    
4.41475e-01    2.98645e-02    
4.48990e-01    3.12569e-02    
4.56633e-01    3.27081e-02    
4.64406e-01    3.42210e-02    
4.72311e-01    3.57977e-02    
4.80351e-01    3.74406e-02    
4.88528e-01    3.91519e-02    
4.96844e-01    4.09338e-02    
5.05301e-01    4.27888e-02    
5.13903e-01    4.47184e-02    
5.22651e-01    4.67238e-02    
5.31548e-01    4.88091e-02    
5.40596e-01    5.09767e-02    
5.49798e-01    5.32289e-02    
5.59157e-01    5.55682e-02    
5.68675e-01    5.79969e-02    
5.78355e-01    6.05144e-02    
5.88200e-01    6.31252e-02    
5.98213e-01    6.58322e-02    
6.08396e-01    6.86379e-02    
6.18752e-01    7.15442e-02    
6.29285e-01    7.45516e-02    
6.39997e-01    7.76606e-02    
6.50891e-01    8.08765e-02    
