# USINE V4.0
# File generated 06-05-2022 12:33:43
# Model1DKisoVc
# C
# SolMod0DFF_phi0.670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.00751e-01    1.97775e-03    
1.02460e-01    2.07877e-03    
1.04198e-01    2.18492e-03    
1.05965e-01    2.29646e-03    
1.07763e-01    2.41367e-03    
1.09591e-01    2.53682e-03    
1.11450e-01    2.66623e-03    
1.13340e-01    2.80220e-03    
1.15263e-01    2.94507e-03    
1.17218e-01    3.09519e-03    
1.19206e-01    3.25291e-03    
1.21228e-01    3.41862e-03    
1.23285e-01    3.59272e-03    
1.25376e-01    3.77563e-03    
1.27503e-01    3.96780e-03    
1.29666e-01    4.16968e-03    
1.31865e-01    4.38178e-03    
1.34102e-01    4.60459e-03    
1.36377e-01    4.83865e-03    
1.38690e-01    5.08453e-03    
1.41043e-01    5.34282e-03    
1.43435e-01    5.61413e-03    
1.45868e-01    5.89912e-03    
1.48343e-01    6.19847e-03    
1.50859e-01    6.51290e-03    
1.53418e-01    6.84315e-03    
1.56020e-01    7.19002e-03    
1.58667e-01    7.55432e-03    
1.61358e-01    7.93694e-03    
1.64095e-01    8.33877e-03    
1.66879e-01    8.76077e-03    
1.69710e-01    9.20394e-03    
1.72588e-01    9.66934e-03    
1.75516e-01    1.01580e-02    
1.78493e-01    1.06712e-02    
1.81521e-01    1.12101e-02    
1.84600e-01    1.17759e-02    
1.87731e-01    1.23700e-02    
1.90916e-01    1.29937e-02    
1.94154e-01    1.36486e-02    
1.97448e-01    1.43361e-02    
2.00797e-01    1.50578e-02    
2.04203e-01    1.58153e-02    
2.07667e-01    1.66100e-02    
2.11190e-01    1.74439e-02    
2.14772e-01    1.83187e-02    
2.18415e-01    1.92365e-02    
2.22120e-01    2.01991e-02    
2.25888e-01    2.12087e-02    
2.29720e-01    2.22676e-02    
2.33616e-01    2.33780e-02    
2.37579e-01    2.45422e-02    
2.41609e-01    2.57629e-02    
2.45707e-01    2.70425e-02    
