# USINE V4.0
# File generated 13-05-2022 10:51:15
# Model1DKisoVc
# AR
# SolMod0DFF_phi0_370GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.58970e-02    2.60755e-05    
9.75285e-02    2.74143e-05    
9.91877e-02    2.88217e-05    
1.00875e-01    3.03009e-05    
1.02591e-01    3.18558e-05    
1.04337e-01    3.34901e-05    
1.06112e-01    3.52079e-05    
1.07917e-01    3.70134e-05    
1.09753e-01    3.89111e-05    
1.11620e-01    4.09056e-05    
1.13519e-01    4.30019e-05    
1.15451e-01    4.52050e-05    
1.17415e-01    4.75205e-05    
1.19413e-01    4.99540e-05    
1.21444e-01    5.25115e-05    
1.23510e-01    5.51992e-05    
1.25612e-01    5.80237e-05    
1.27749e-01    6.09920e-05    
1.29922e-01    6.41113e-05    
1.32132e-01    6.73892e-05    
1.34380e-01    7.08337e-05    
1.36667e-01    7.44533e-05    
1.38992e-01    7.82567e-05    
1.41356e-01    8.22532e-05    
1.43761e-01    8.64525e-05    
1.46207e-01    9.08648e-05    
1.48695e-01    9.55008e-05    
1.51224e-01    1.00372e-04    
1.53797e-01    1.05490e-04    
1.56414e-01    1.10867e-04    
1.59075e-01    1.16516e-04    
1.61781e-01    1.22450e-04    
1.64534e-01    1.28685e-04    
1.67333e-01    1.35235e-04    
1.70180e-01    1.42116e-04    
1.73075e-01    1.49344e-04    
1.76019e-01    1.56937e-04    
1.79014e-01    1.64912e-04    
1.82060e-01    1.73290e-04    
1.85157e-01    1.82090e-04    
1.88307e-01    1.91332e-04    
1.91511e-01    2.01040e-04    
1.94769e-01    2.11236e-04    
1.98083e-01    2.21943e-04    
2.01453e-01    2.33189e-04    
2.04880e-01    2.44995e-04    
2.08366e-01    2.57388e-04    
2.11911e-01    2.70397e-04    
2.15516e-01    2.84051e-04    
2.19183e-01    2.98380e-04    
2.22911e-01    3.13419e-04    
2.26704e-01    3.29199e-04    
2.30561e-01    3.45757e-04    
2.34483e-01    3.63129e-04    
2.38473e-01    3.81353e-04    
2.42530e-01    4.00471e-04    
2.46656e-01    4.20523e-04    
2.50852e-01    4.41553e-04    
2.55120e-01    4.63607e-04    
2.59461e-01    4.86733e-04    
2.63875e-01    5.10980e-04    
2.68364e-01    5.36399e-04    
2.72930e-01    5.63044e-04    
2.77573e-01    5.90971e-04    
2.82296e-01    6.20239e-04    
2.87098e-01    6.50907e-04    
2.91983e-01    6.83040e-04    
2.96950e-01    7.16701e-04    
3.02002e-01    7.51960e-04    
3.07140e-01    7.88887e-04    
3.12366e-01    8.27555e-04    
3.17680e-01    8.68041e-04    
3.23085e-01    9.10423e-04    
3.28582e-01    9.54784e-04    
3.34172e-01    1.00121e-03    
3.39857e-01    1.04978e-03    
3.45639e-01    1.10060e-03    
3.51519e-01    1.15375e-03    
3.57500e-01    1.20934e-03    
3.63582e-01    1.26746e-03    
3.69768e-01    1.32821e-03    
3.76059e-01    1.39171e-03    
3.82457e-01    1.45806e-03    
3.88963e-01    1.52739e-03    
3.95581e-01    1.59979e-03    
4.02311e-01    1.67540e-03    
4.09155e-01    1.75434e-03    
4.16116e-01    1.83673e-03    
4.23196e-01    1.92271e-03    
4.30396e-01    2.01240e-03    
4.37718e-01    2.10596e-03    
4.45165e-01    2.20350e-03    
4.52739e-01    2.30518e-03    
4.60441e-01    2.41114e-03    
4.68275e-01    2.52153e-03    
4.76242e-01    2.63649e-03    
4.84344e-01    2.75619e-03    
4.92584e-01    2.88078e-03    
5.00965e-01    3.01041e-03    
5.09487e-01    3.14525e-03    
5.18155e-01    3.28544e-03    
5.26971e-01    3.43116e-03    
5.35936e-01    3.58257e-03    
5.45054e-01    3.73983e-03    
5.54327e-01    3.90309e-03    
5.63758e-01    4.07254e-03    
5.73349e-01    4.24831e-03    
5.83104e-01    4.43058e-03    
5.93024e-01    4.61951e-03    
6.03113e-01    4.81524e-03    
6.13374e-01    5.01795e-03    
6.23810e-01    5.22776e-03    
6.34423e-01    5.44484e-03    
6.45216e-01    5.66931e-03    
6.56193e-01    5.90133e-03    
6.67357e-01    6.14100e-03    
6.78711e-01    6.38847e-03    
6.90258e-01    6.64385e-03    
7.02001e-01    6.90723e-03    
7.13945e-01    7.17871e-03    
7.26091e-01    7.45838e-03    
7.38444e-01    7.74633e-03    
7.51007e-01    8.04259e-03    
7.63784e-01    8.34723e-03    
7.76779e-01    8.66028e-03    
7.89994e-01    8.98175e-03    
8.03434e-01    9.31165e-03    
8.17103e-01    9.64996e-03    
8.31005e-01    9.99664e-03    
8.45143e-01    1.03516e-02    
8.59521e-01    1.07149e-02    
8.74144e-01    1.10862e-02    
8.89016e-01    1.14656e-02    
9.04141e-01    1.18528e-02    
9.19524e-01    1.22477e-02    
9.35167e-01    1.26500e-02    
9.51078e-01    1.30596e-02    
9.67258e-01    1.34761e-02    
9.83714e-01    1.38992e-02    
1.00045e+00    1.43286e-02    
1.01747e+00    1.47639e-02    
1.03478e+00    1.52048e-02    
1.05239e+00    1.56506e-02    
1.07029e+00    1.61009e-02    
1.08850e+00    1.65553e-02    
1.10702e+00    1.70130e-02    
1.12585e+00    1.74734e-02    
1.14501e+00    1.79359e-02    
1.16449e+00    1.83998e-02    
1.18430e+00    1.88642e-02    
1.20445e+00    1.93282e-02    
1.22494e+00    1.97912e-02    
1.24578e+00    2.02520e-02    
1.26697e+00    2.07097e-02    
1.28853e+00    2.11633e-02    
1.31045e+00    2.16116e-02    
1.33274e+00    2.20537e-02    
1.35542e+00    2.24882e-02    
1.37848e+00    2.29139e-02    
1.40193e+00    2.33297e-02    
1.42578e+00    2.37343e-02    
1.45004e+00    2.41264e-02    
1.47471e+00    2.45048e-02    
1.49980e+00    2.48681e-02    
1.52531e+00    2.52152e-02    
1.55126e+00    2.55450e-02    
1.57766e+00    2.58561e-02    
1.60450e+00    2.61475e-02    
1.63180e+00    2.64181e-02    
1.65956e+00    2.66667e-02    
1.68779e+00    2.68925e-02    
1.71651e+00    2.70942e-02    
1.74571e+00    2.72710e-02    
1.77541e+00    2.74219e-02    
1.80561e+00    2.75461e-02    
1.83633e+00    2.76426e-02    
1.86757e+00    2.77108e-02    
1.89935e+00    2.77503e-02    
1.93166e+00    2.77604e-02    
1.96453e+00    2.77412e-02    
1.99795e+00    2.76924e-02    
2.03194e+00    2.76144e-02    
2.06651e+00    2.75077e-02    
2.10167e+00    2.73728e-02    
2.13742e+00    2.72106e-02    
2.17379e+00    2.70220e-02    
2.21077e+00    2.68080e-02    
2.24838e+00    2.65697e-02    
2.28663e+00    2.63082e-02    
2.32554e+00    2.60246e-02    
2.36510e+00    2.57199e-02    
2.40534e+00    2.53950e-02    
2.44626e+00    2.50511e-02    
2.48788e+00    2.46891e-02    
2.53021e+00    2.43104e-02    
2.57325e+00    2.39161e-02    
2.61703e+00    2.35077e-02    
2.66156e+00    2.30866e-02    
2.70684e+00    2.26545e-02    
2.75289e+00    2.22132e-02    
2.79972e+00    2.17644e-02    
2.84736e+00    2.13098e-02    
2.89580e+00    2.08509e-02    
2.94507e+00    2.03895e-02    
2.99517e+00    1.99267e-02    
3.04613e+00    1.94639e-02    
3.09795e+00    1.90022e-02    
3.15066e+00    1.85424e-02    
3.20426e+00    1.80853e-02    
3.25877e+00    1.76314e-02    
3.31422e+00    1.71814e-02    
3.37060e+00    1.67354e-02    
3.42795e+00    1.62939e-02    
3.48627e+00    1.58570e-02    
3.54558e+00    1.54250e-02    
3.60590e+00    1.49977e-02    
3.66725e+00    1.45755e-02    
3.72964e+00    1.41583e-02    
3.79309e+00    1.37462e-02    
3.85762e+00    1.33394e-02    
3.92325e+00    1.29381e-02    
3.99000e+00    1.25426e-02    
4.05788e+00    1.21532e-02    
4.12692e+00    1.17705e-02    
4.19713e+00    1.13949e-02    
4.26854e+00    1.10271e-02    
4.34116e+00    1.06675e-02    
4.41502e+00    1.03167e-02    
4.49013e+00    9.97495e-03    
4.56652e+00    9.64239e-03    
4.64421e+00    9.31909e-03    
4.72322e+00    9.00499e-03    
4.80358e+00    8.69997e-03    
4.88530e+00    8.40383e-03    
4.96842e+00    8.11637e-03    
5.05295e+00    7.83735e-03    
5.13891e+00    7.56650e-03    
5.22634e+00    7.30356e-03    
5.31526e+00    7.04829e-03    
5.40569e+00    6.80043e-03    
5.49765e+00    6.55972e-03    
5.59119e+00    6.32591e-03    
5.68631e+00    6.09879e-03    
5.78305e+00    5.87817e-03    
5.88144e+00    5.66387e-03    
5.98150e+00    5.45575e-03    
6.08326e+00    5.25367e-03    
6.18676e+00    5.05750e-03    
6.29202e+00    4.86712e-03    
6.39906e+00    4.68244e-03    
6.50793e+00    4.50335e-03    
6.61865e+00    4.32976e-03    
6.73125e+00    4.16158e-03    
6.84577e+00    3.99870e-03    
6.96224e+00    3.84104e-03    
7.08069e+00    3.68850e-03    
7.20116e+00    3.54098e-03    
7.32367e+00    3.39839e-03    
7.44827e+00    3.26065e-03    
7.57499e+00    3.12765e-03    
7.70386e+00    2.99931e-03    
7.83493e+00    2.87554e-03    
7.96822e+00    2.75625e-03    
8.10379e+00    2.64135e-03    
8.24166e+00    2.53075e-03    
8.38187e+00    2.42436e-03    
8.52448e+00    2.32208e-03    
8.66950e+00    2.22384e-03    
8.81700e+00    2.12955e-03    
8.96700e+00    2.03912e-03    
9.11956e+00    1.95248e-03    
9.27471e+00    1.86955e-03    
9.43250e+00    1.79021e-03    
9.59298e+00    1.71438e-03    
9.75619e+00    1.64193e-03    
9.92217e+00    1.57275e-03    
1.00910e+01    1.50668e-03    
1.02627e+01    1.44358e-03    
1.04373e+01    1.38329e-03    
