# USINE V4.0
# File generated 13-05-2022 10:51:08
# Model1DKisoVc
# CL
# SolMod0DFF_phi0_370GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.39235e-02    9.85030e-06    
9.55262e-02    1.03586e-05    
9.71562e-02    1.08931e-05    
9.88141e-02    1.14551e-05    
1.00500e-01    1.20460e-05    
1.02215e-01    1.26672e-05    
1.03959e-01    1.33204e-05    
1.05733e-01    1.40071e-05    
1.07537e-01    1.47290e-05    
1.09372e-01    1.54881e-05    
1.11239e-01    1.62861e-05    
1.13137e-01    1.71251e-05    
1.15067e-01    1.80071e-05    
1.17031e-01    1.89343e-05    
1.19028e-01    1.99091e-05    
1.21059e-01    2.09339e-05    
1.23125e-01    2.20112e-05    
1.25226e-01    2.31436e-05    
1.27363e-01    2.43341e-05    
1.29536e-01    2.55855e-05    
1.31746e-01    2.69010e-05    
1.33994e-01    2.82837e-05    
1.36281e-01    2.97372e-05    
1.38606e-01    3.12650e-05    
1.40971e-01    3.28709e-05    
1.43377e-01    3.45588e-05    
1.45823e-01    3.63330e-05    
1.48312e-01    3.81977e-05    
1.50842e-01    4.01576e-05    
1.53416e-01    4.22175e-05    
1.56034e-01    4.43824e-05    
1.58697e-01    4.66576e-05    
1.61405e-01    4.90488e-05    
1.64159e-01    5.15618e-05    
1.66960e-01    5.42028e-05    
1.69809e-01    5.69781e-05    
1.72707e-01    5.98945e-05    
1.75654e-01    6.29593e-05    
1.78651e-01    6.61798e-05    
1.81700e-01    6.95638e-05    
1.84800e-01    7.31196e-05    
1.87953e-01    7.68559e-05    
1.91161e-01    8.07816e-05    
1.94423e-01    8.49064e-05    
1.97740e-01    8.92401e-05    
2.01114e-01    9.37931e-05    
2.04546e-01    9.85754e-05    
2.08036e-01    1.03598e-04    
2.11586e-01    1.08873e-04    
2.15197e-01    1.14412e-04    
2.18869e-01    1.20228e-04    
2.22604e-01    1.26335e-04    
2.26402e-01    1.32746e-04    
2.30265e-01    1.39478e-04    
2.34195e-01    1.46544e-04    
2.38191e-01    1.53961e-04    
2.42255e-01    1.61746e-04    
2.46389e-01    1.69917e-04    
2.50593e-01    1.78492e-04    
2.54869e-01    1.87490e-04    
2.59218e-01    1.96931e-04    
2.63642e-01    2.06837e-04    
2.68140e-01    2.17229e-04    
2.72716e-01    2.28130e-04    
2.77369e-01    2.39563e-04    
2.82102e-01    2.51554e-04    
2.86916e-01    2.64129e-04    
2.91812e-01    2.77314e-04    
2.96791e-01    2.91138e-04    
3.01856e-01    3.05630e-04    
3.07007e-01    3.20821e-04    
3.12245e-01    3.36741e-04    
3.17573e-01    3.53425e-04    
3.22992e-01    3.70906e-04    
3.28504e-01    3.89221e-04    
3.34109e-01    4.08406e-04    
3.39811e-01    4.28499e-04    
3.45609e-01    4.49542e-04    
3.51507e-01    4.71574e-04    
3.57505e-01    4.94640e-04    
3.63605e-01    5.18784e-04    
3.69809e-01    5.44053e-04    
3.76120e-01    5.70493e-04    
3.82538e-01    5.98155e-04    
3.89065e-01    6.27090e-04    
3.95704e-01    6.57352e-04    
4.02456e-01    6.88994e-04    
4.09324e-01    7.22073e-04    
4.16309e-01    7.56647e-04    
4.23412e-01    7.92777e-04    
4.30637e-01    8.30523e-04    
4.37986e-01    8.69951e-04    
4.45459e-01    9.11124e-04    
4.53061e-01    9.54112e-04    
4.60792e-01    9.98981e-04    
4.68654e-01    1.04580e-03    
4.76651e-01    1.09465e-03    
4.84785e-01    1.14560e-03    
4.93057e-01    1.19873e-03    
5.01471e-01    1.25411e-03    
5.10028e-01    1.31182e-03    
5.18731e-01    1.37194e-03    
5.27582e-01    1.43455e-03    
5.36585e-01    1.49975e-03    
5.45741e-01    1.56760e-03    
5.55053e-01    1.63820e-03    
5.64524e-01    1.71163e-03    
5.74157e-01    1.78798e-03    
5.83955e-01    1.86733e-03    
5.93919e-01    1.94978e-03    
6.04054e-01    2.03541e-03    
6.14361e-01    2.12430e-03    
6.24844e-01    2.21655e-03    
6.35507e-01    2.31224e-03    
6.46351e-01    2.41146e-03    
