# USINE V4.0
# File generated 13-05-2022 10:52:17
# Model1DKisoVc
# FE
# SolMod0DFF_phi0_370GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.95774e-02    4.98181e-04    
1.01272e-01    5.23604e-04    
1.02995e-01    5.50316e-04    
1.04747e-01    5.78382e-04    
1.06529e-01    6.07869e-04    
1.08341e-01    6.38851e-04    
1.10184e-01    6.71401e-04    
1.12059e-01    7.05597e-04    
1.13966e-01    7.41523e-04    
1.15904e-01    7.79266e-04    
1.17876e-01    8.18915e-04    
1.19882e-01    8.60567e-04    
1.21921e-01    9.04321e-04    
1.23996e-01    9.50283e-04    
1.26105e-01    9.98562e-04    
1.28251e-01    1.04928e-03    
1.30433e-01    1.10254e-03    
1.32652e-01    1.15849e-03    
1.34909e-01    1.21726e-03    
1.37204e-01    1.27898e-03    
1.39538e-01    1.34380e-03    
1.41912e-01    1.41187e-03    
1.44326e-01    1.48337e-03    
1.46782e-01    1.55845e-03    
1.49279e-01    1.63730e-03    
1.51819e-01    1.72010e-03    
1.54402e-01    1.80704e-03    
1.57029e-01    1.89834e-03    
1.59700e-01    1.99420e-03    
1.62417e-01    2.09485e-03    
1.65180e-01    2.20053e-03    
1.67991e-01    2.31148e-03    
1.70849e-01    2.42797e-03    
1.73755e-01    2.55026e-03    
1.76712e-01    2.67865e-03    
1.79718e-01    2.81342e-03    
1.82776e-01    2.95489e-03    
1.85885e-01    3.10339e-03    
1.89048e-01    3.25927e-03    
1.92264e-01    3.42288e-03    
1.95535e-01    3.59459e-03    
1.98862e-01    3.77481e-03    
2.02245e-01    3.96392e-03    
2.05686e-01    4.16227e-03    
2.09185e-01    4.37029e-03    
2.12744e-01    4.58841e-03    
2.16363e-01    4.81712e-03    
2.20044e-01    5.05690e-03    
2.23788e-01    5.30825e-03    
2.27595e-01    5.57169e-03    
2.31468e-01    5.84779e-03    
2.35406e-01    6.13711e-03    
2.39411e-01    6.44024e-03    
2.43484e-01    6.75780e-03    
2.47626e-01    7.09043e-03    
2.51839e-01    7.43879e-03    
2.56124e-01    7.80357e-03    
2.60481e-01    8.18549e-03    
2.64913e-01    8.58529e-03    
2.69420e-01    9.00374e-03    
2.74003e-01    9.44165e-03    
2.78665e-01    9.89983e-03    
2.83406e-01    1.03791e-02    
2.88228e-01    1.08805e-02    
2.93131e-01    1.14048e-02    
2.98119e-01    1.19529e-02    
3.03191e-01    1.25259e-02    
3.08349e-01    1.31248e-02    
3.13595e-01    1.37506e-02    
3.18930e-01    1.44044e-02    
3.24356e-01    1.50872e-02    
3.29874e-01    1.58002e-02    
3.35487e-01    1.65446e-02    
3.41194e-01    1.73214e-02    
3.46999e-01    1.81319e-02    
3.52903e-01    1.89774e-02    
3.58907e-01    1.98590e-02    
3.65013e-01    2.07780e-02    
3.71223e-01    2.17357e-02    
3.77538e-01    2.27335e-02    
3.83962e-01    2.37728e-02    
3.90494e-01    2.48550e-02    
3.97138e-01    2.59814e-02    
4.03894e-01    2.71537e-02    
4.10766e-01    2.83731e-02    
4.17754e-01    2.96411e-02    
4.24861e-01    3.09592e-02    
4.32090e-01    3.23288e-02    
4.39441e-01    3.37511e-02    
4.46917e-01    3.52275e-02    
4.54521e-01    3.67594e-02    
4.62254e-01    3.83483e-02    
4.70118e-01    3.99957e-02    
4.78116e-01    4.17030e-02    
4.86250e-01    4.34718e-02    
4.94523e-01    4.53033e-02    
