# USINE V4.0
# File generated 13-05-2022 10:50:44
# Model1DKisoVc
# MG
# SolMod0DFF_phi0_370GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.35122e-02    8.72080e-04    
9.51055e-02    9.16633e-04    
9.67260e-02    9.63447e-04    
9.83741e-02    1.01264e-03    
1.00050e-01    1.06432e-03    
1.01755e-01    1.11863e-03    
1.03489e-01    1.17568e-03    
1.05252e-01    1.23563e-03    
1.07045e-01    1.29861e-03    
1.08869e-01    1.36478e-03    
1.10724e-01    1.43429e-03    
1.12611e-01    1.50732e-03    
1.14530e-01    1.58404e-03    
1.16481e-01    1.66463e-03    
1.18466e-01    1.74929e-03    
1.20484e-01    1.83822e-03    
1.22537e-01    1.93164e-03    
1.24625e-01    2.02976e-03    
1.26749e-01    2.13282e-03    
1.28908e-01    2.24107e-03    
1.31105e-01    2.35477e-03    
1.33339e-01    2.47418e-03    
1.35611e-01    2.59959e-03    
1.37921e-01    2.73129e-03    
1.40271e-01    2.86961e-03    
1.42661e-01    3.01486e-03    
1.45092e-01    3.16739e-03    
1.47564e-01    3.32756e-03    
1.50078e-01    3.49574e-03    
1.52636e-01    3.67234e-03    
1.55236e-01    3.85776e-03    
1.57881e-01    4.05243e-03    
1.60571e-01    4.25683e-03    
1.63307e-01    4.47141e-03    
1.66090e-01    4.69668e-03    
1.68920e-01    4.93317e-03    
1.71798e-01    5.18142e-03    
1.74725e-01    5.44201e-03    
1.77702e-01    5.71555e-03    
1.80730e-01    6.00265e-03    
1.83810e-01    6.30399e-03    
1.86942e-01    6.62025e-03    
1.90127e-01    6.95216e-03    
1.93366e-01    7.30049e-03    
1.96661e-01    7.66601e-03    
2.00012e-01    8.04958e-03    
2.03420e-01    8.45193e-03    
2.06886e-01    8.87383e-03    
2.10411e-01    9.31617e-03    
2.13996e-01    9.77989e-03    
2.17642e-01    1.02660e-02    
2.21351e-01    1.07754e-02    
2.25122e-01    1.13093e-02    
2.28958e-01    1.18687e-02    
2.32859e-01    1.24548e-02    
2.36827e-01    1.30688e-02    
2.40862e-01    1.37118e-02    
2.44966e-01    1.43852e-02    
2.49140e-01    1.50904e-02    
2.53385e-01    1.58286e-02    
2.57702e-01    1.66013e-02    
2.62093e-01    1.74100e-02    
2.66559e-01    1.82562e-02    
2.71101e-01    1.91415e-02    
2.75720e-01    2.00675e-02    
2.80418e-01    2.10360e-02    
2.85196e-01    2.20486e-02    
2.90055e-01    2.31072e-02    
2.94997e-01    2.42137e-02    
3.00024e-01    2.53698e-02    
3.05136e-01    2.65777e-02    
3.10335e-01    2.78393e-02    
3.15623e-01    2.91567e-02    
3.21001e-01    3.05321e-02    
3.26470e-01    3.19676e-02    
3.32033e-01    3.34654e-02    
3.37690e-01    3.50279e-02    
3.43444e-01    3.66575e-02    
3.49296e-01    3.83564e-02    
3.55247e-01    4.01271e-02    
3.61300e-01    4.19722e-02    
3.67456e-01    4.38941e-02    
3.73717e-01    4.58954e-02    
3.80085e-01    4.79786e-02    
3.86561e-01    5.01464e-02    
3.93148e-01    5.24015e-02    
3.99846e-01    5.47464e-02    
4.06659e-01    5.71840e-02    
4.13588e-01    5.97167e-02    
4.20635e-01    6.23474e-02    
4.27802e-01    6.50786e-02    
4.35092e-01    6.79132e-02    
4.42505e-01    7.08535e-02    
4.50045e-01    7.39023e-02    
4.57713e-01    7.70622e-02    
4.65512e-01    8.03355e-02    
4.73444e-01    8.37247e-02    
4.81511e-01    8.72322e-02    
4.89715e-01    9.08602e-02    
4.98059e-01    9.46109e-02    
5.06545e-01    9.84863e-02    
5.15176e-01    1.02488e-01    
5.23954e-01    1.06618e-01    
5.32882e-01    1.10879e-01    
5.41961e-01    1.15270e-01    
5.51196e-01    1.19794e-01    
5.60587e-01    1.24451e-01    
5.70139e-01    1.29243e-01    
5.79854e-01    1.34169e-01    
5.89733e-01    1.39229e-01    
5.99782e-01    1.44425e-01    
6.10001e-01    1.49755e-01    
6.20395e-01    1.55219e-01    
6.30966e-01    1.60815e-01    
6.41717e-01    1.66542e-01    
6.52651e-01    1.72398e-01    
6.63771e-01    1.78382e-01    
6.75081e-01    1.84489e-01    
6.86583e-01    1.90718e-01    
6.98282e-01    1.97065e-01    
7.10180e-01    2.03525e-01    
7.22280e-01    2.10094e-01    
7.34587e-01    2.16768e-01    
7.47104e-01    2.23540e-01    
7.59833e-01    2.30405e-01    
7.72780e-01    2.37356e-01    
7.85947e-01    2.44386e-01    
7.99339e-01    2.51488e-01    
8.12958e-01    2.58653e-01    
8.26810e-01    2.65874e-01    
8.40898e-01    2.73140e-01    
8.55226e-01    2.80443e-01    
8.69798e-01    2.87773e-01    
8.84618e-01    2.95118e-01    
8.99691e-01    3.02468e-01    
9.15020e-01    3.09813e-01    
9.30611e-01    3.17139e-01    
9.46468e-01    3.24435e-01    
9.62594e-01    3.31689e-01    
9.78996e-01    3.38888e-01    
9.95677e-01    3.46019e-01    
1.01264e+00    3.53069e-01    
1.02990e+00    3.60025e-01    
1.04744e+00    3.66873e-01    
1.06529e+00    3.73600e-01    
1.08344e+00    3.80192e-01    
1.10190e+00    3.86636e-01    
1.12068e+00    3.92918e-01    
1.13977e+00    3.99026e-01    
1.15919e+00    4.04946e-01    
1.17894e+00    4.10664e-01    
1.19903e+00    4.16170e-01    
1.21946e+00    4.21450e-01    
1.24024e+00    4.26492e-01    
1.26137e+00    4.31285e-01    
1.28286e+00    4.35817e-01    
1.30472e+00    4.40078e-01    
1.32695e+00    4.44058e-01    
1.34956e+00    4.47747e-01    
1.37256e+00    4.51137e-01    
1.39594e+00    4.54217e-01    
1.41973e+00    4.56982e-01    
1.44392e+00    4.59425e-01    
1.46852e+00    4.61538e-01    
1.49354e+00    4.63319e-01    
1.51899e+00    4.64762e-01    
1.54487e+00    4.65865e-01    
1.57120e+00    4.66627e-01    
1.59797e+00    4.67047e-01    
1.62520e+00    4.67125e-01    
1.65289e+00    4.66864e-01    
1.68105e+00    4.66265e-01    
1.70969e+00    4.65333e-01    
1.73882e+00    4.64072e-01    
1.76845e+00    4.62486e-01    
1.79858e+00    4.60581e-01    
1.82923e+00    4.58364e-01    
1.86040e+00    4.55841e-01    
1.89210e+00    4.53019e-01    
1.92434e+00    4.49907e-01    
1.95712e+00    4.46513e-01    
1.99047e+00    4.42846e-01    
2.02439e+00    4.38918e-01    
2.05888e+00    4.34739e-01    
2.09396e+00    4.30321e-01    
2.12964e+00    4.25676e-01    
2.16592e+00    4.20818e-01    
2.20283e+00    4.15761e-01    
2.24036e+00    4.10517e-01    
2.27854e+00    4.05101e-01    
2.31736e+00    3.99527e-01    
2.35684e+00    3.93807e-01    
2.39700e+00    3.87954e-01    
2.43784e+00    3.81981e-01    
2.47938e+00    3.75900e-01    
2.52163e+00    3.69723e-01    
2.56459e+00    3.63459e-01    
2.60829e+00    3.57122e-01    
2.65273e+00    3.50722e-01    
2.69793e+00    3.44270e-01    
2.74390e+00    3.37777e-01    
2.79065e+00    3.31256e-01    
2.83820e+00    3.24717e-01    
2.88656e+00    3.18172e-01    
2.93574e+00    3.11632e-01    
2.98577e+00    3.05107e-01    
3.03664e+00    2.98607e-01    
3.08838e+00    2.92140e-01    
3.14100e+00    2.85714e-01    
3.19452e+00    2.79336e-01    
3.24895e+00    2.73010e-01    
3.30431e+00    2.66742e-01    
3.36061e+00    2.60533e-01    
3.41787e+00    2.54386e-01    
3.47611e+00    2.48301e-01    
3.53534e+00    2.42276e-01    
3.59557e+00    2.36310e-01    
3.65684e+00    2.30401e-01    
3.71915e+00    2.24543e-01    
3.78252e+00    2.18733e-01    
3.84697e+00    2.12967e-01    
3.91251e+00    2.07240e-01    
3.97918e+00    2.01552e-01    
4.04698e+00    1.95903e-01    
4.11593e+00    1.90298e-01    
4.18606e+00    1.84745e-01    
4.25739e+00    1.79253e-01    
4.32993e+00    1.73835e-01    
4.40371e+00    1.68504e-01    
4.47874e+00    1.63270e-01    
4.55505e+00    1.58141e-01    
4.63266e+00    1.53125e-01    
4.71160e+00    1.48224e-01    
4.79188e+00    1.43443e-01    
4.87353e+00    1.38781e-01    
4.95656e+00    1.34238e-01    
5.04102e+00    1.29814e-01    
5.12691e+00    1.25507e-01    
5.21427e+00    1.21316e-01    
5.30311e+00    1.17240e-01    
5.39347e+00    1.13275e-01    
5.48537e+00    1.09420e-01    
5.57883e+00    1.05674e-01    
5.67389e+00    1.02033e-01    
5.77056e+00    9.84969e-02    
5.86889e+00    9.50622e-02    
5.96889e+00    9.17275e-02    
6.07059e+00    8.84908e-02    
6.17402e+00    8.53503e-02    
6.27922e+00    8.23039e-02    
6.38621e+00    7.93498e-02    
6.49502e+00    7.64862e-02    
6.60569e+00    7.37111e-02    
6.71824e+00    7.10226e-02    
6.83271e+00    6.84189e-02    
6.94913e+00    6.58980e-02    
7.06754e+00    6.34580e-02    
7.18796e+00    6.10971e-02    
7.31043e+00    5.88134e-02    
7.43500e+00    5.66052e-02    
7.56168e+00    5.44705e-02    
7.69052e+00    5.24077e-02    
7.82156e+00    5.04150e-02    
7.95483e+00    4.84906e-02    
8.09037e+00    4.66328e-02    
8.22822e+00    4.48399e-02    
8.36842e+00    4.31103e-02    
8.51100e+00    4.14421e-02    
8.65602e+00    3.98338e-02    
8.80351e+00    3.82837e-02    
8.95351e+00    3.67902e-02    
9.10606e+00    3.53518e-02    
9.26122e+00    3.39666e-02    
9.41902e+00    3.26333e-02    
9.57951e+00    3.13502e-02    
9.74273e+00    3.01156e-02    
9.90873e+00    2.89279e-02    
1.00776e+01    2.77856e-02    
1.02493e+01    2.66869e-02    
1.04239e+01    2.56302e-02    
1.06015e+01    2.46140e-02    
1.07822e+01    2.36367e-02    
1.09659e+01    2.26968e-02    
1.11527e+01    2.17928e-02    
1.13427e+01    2.09234e-02    
1.15360e+01    2.00873e-02    
1.17326e+01    1.92832e-02    
1.19325e+01    1.85099e-02    
1.21358e+01    1.77663e-02    
1.23426e+01    1.70514e-02    
1.25529e+01    1.63641e-02    
1.27668e+01    1.57034e-02    
1.29843e+01    1.50684e-02    
1.32055e+01    1.44581e-02    
1.34305e+01    1.38717e-02    
1.36594e+01    1.33082e-02    
1.38921e+01    1.27667e-02    
1.41288e+01    1.22466e-02    
1.43696e+01    1.17469e-02    
1.46144e+01    1.12668e-02    
1.48634e+01    1.08058e-02    
1.51167e+01    1.03629e-02    
1.53742e+01    9.93765e-03    
1.56362e+01    9.52923e-03    
1.59026e+01    9.13706e-03    
1.61736e+01    8.76052e-03    
1.64491e+01    8.39900e-03    
1.67294e+01    8.05195e-03    
1.70145e+01    7.71879e-03    
1.73044e+01    7.39901e-03    
1.75992e+01    7.09209e-03    
1.78991e+01    6.79753e-03    
1.82041e+01    6.51485e-03    
1.85142e+01    6.24361e-03    
1.88297e+01    5.98334e-03    
1.91505e+01    5.73363e-03    
1.94768e+01    5.49406e-03    
1.98087e+01    5.26424e-03    
2.01462e+01    5.04379e-03    
2.04895e+01    4.83233e-03    
2.08386e+01    4.62952e-03    
2.11936e+01    4.43501e-03    
2.15548e+01    4.24848e-03    
2.19220e+01    4.06962e-03    
2.22956e+01    3.89811e-03    
2.26754e+01    3.73367e-03    
2.30618e+01    3.57600e-03    
2.34547e+01    3.42485e-03    
2.38544e+01    3.27995e-03    
2.42608e+01    3.14103e-03    
2.46742e+01    3.00787e-03    
2.50946e+01    2.88024e-03    
2.55222e+01    2.75790e-03    
2.59571e+01    2.64065e-03    
2.63993e+01    2.52829e-03    
2.68492e+01    2.42060e-03    
2.73066e+01    2.31741e-03    
2.77719e+01    2.21853e-03    
2.82451e+01    2.12378e-03    
2.87264e+01    2.03300e-03    
2.92158e+01    1.94603e-03    
2.97136e+01    1.86271e-03    
3.02199e+01    1.78289e-03    
3.07348e+01    1.70642e-03    
3.12585e+01    1.63318e-03    
3.17911e+01    1.56302e-03    
3.23328e+01    1.49582e-03    
3.28837e+01    1.43146e-03    
3.34440e+01    1.36982e-03    
3.40138e+01    1.31079e-03    
3.45934e+01    1.25426e-03    
3.51828e+01    1.20013e-03    
3.57823e+01    1.14830e-03    
3.63920e+01    1.09866e-03    
3.70121e+01    1.05114e-03    
3.76427e+01    1.00564e-03    
3.82841e+01    9.62080e-04    
3.89364e+01    9.20377e-04    
3.95998e+01    8.80453e-04    
4.02745e+01    8.42236e-04    
