# USINE V4.0
# File generated 13-05-2022 06:37:25
# Model1DKisoVc
# CA
# SolMod0DFF_phi0_570GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.03566e-01    4.27912e-05    
1.05320e-01    4.49779e-05    
1.07104e-01    4.72759e-05    
1.08917e-01    4.96908e-05    
1.10762e-01    5.22286e-05    
1.12638e-01    5.48953e-05    
1.14545e-01    5.76976e-05    
1.16485e-01    6.06424e-05    
1.18458e-01    6.37366e-05    
1.20464e-01    6.69881e-05    
1.22504e-01    7.04046e-05    
1.24578e-01    7.39944e-05    
1.26688e-01    7.77664e-05    
1.28833e-01    8.17297e-05    
1.31015e-01    8.58938e-05    
1.33234e-01    9.02690e-05    
1.35490e-01    9.48659e-05    
1.37785e-01    9.96955e-05    
1.40118e-01    1.04770e-04    
1.42491e-01    1.10100e-04    
1.44904e-01    1.15701e-04    
1.47358e-01    1.21584e-04    
1.49853e-01    1.27765e-04    
1.52391e-01    1.34258e-04    
1.54972e-01    1.41079e-04    
1.57596e-01    1.48245e-04    
1.60265e-01    1.55771e-04    
1.62979e-01    1.63677e-04    
1.65739e-01    1.71982e-04    
1.68546e-01    1.80705e-04    
1.71400e-01    1.89867e-04    
1.74303e-01    1.99491e-04    
1.77255e-01    2.09598e-04    
1.80256e-01    2.20213e-04    
1.83309e-01    2.31362e-04    
1.86413e-01    2.43070e-04    
1.89570e-01    2.55367e-04    
1.92780e-01    2.68279e-04    
1.96045e-01    2.81840e-04    
1.99365e-01    2.96079e-04    
2.02741e-01    3.11030e-04    
2.06175e-01    3.26724e-04    
2.09666e-01    3.43196e-04    
2.13217e-01    3.60484e-04    
2.16828e-01    3.78628e-04    
2.20500e-01    3.97667e-04    
2.24234e-01    4.17646e-04    
2.28031e-01    4.38608e-04    
2.31893e-01    4.60601e-04    
2.35820e-01    4.83673e-04    
2.39813e-01    5.07875e-04    
2.43875e-01    5.33261e-04    
2.48005e-01    5.59885e-04    
2.52204e-01    5.87806e-04    
2.56475e-01    6.17085e-04    
2.60819e-01    6.47783e-04    
2.65236e-01    6.79967e-04    
2.69727e-01    7.13705e-04    
2.74295e-01    7.49069e-04    
2.78940e-01    7.86132e-04    
2.83664e-01    8.24972e-04    
2.88468e-01    8.65669e-04    
2.93353e-01    9.08307e-04    
2.98321e-01    9.52972e-04    
3.03373e-01    9.99755e-04    
3.08511e-01    1.04875e-03    
3.13735e-01    1.10005e-03    
3.19048e-01    1.15377e-03    
3.24451e-01    1.21000e-03    
3.29946e-01    1.26885e-03    
3.35533e-01    1.33044e-03    
3.41215e-01    1.39488e-03    
3.46994e-01    1.46230e-03    
3.52870e-01    1.53281e-03    
3.58846e-01    1.60656e-03    
3.64923e-01    1.68366e-03    
3.71103e-01    1.76426e-03    
3.77387e-01    1.84851e-03    
3.83778e-01    1.93654e-03    
3.90277e-01    2.02852e-03    
3.96887e-01    2.12458e-03    
