# USINE V4.0
# File generated 13-05-2022 06:37:24
# Model1DKisoVc
# F
# SolMod0DFF_phi0_570GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.11411e-02    2.82542e-05    
9.27015e-02    2.97170e-05    
9.42885e-02    3.12553e-05    
9.59027e-02    3.28729e-05    
9.75446e-02    3.45740e-05    
9.92145e-02    3.63627e-05    
1.00913e-01    3.82437e-05    
1.02641e-01    4.02216e-05    
1.04398e-01    4.23014e-05    
1.06185e-01    4.44883e-05    
1.08003e-01    4.67879e-05    
1.09852e-01    4.92058e-05    
1.11733e-01    5.17481e-05    
1.13646e-01    5.44213e-05    
1.15591e-01    5.72319e-05    
1.17570e-01    6.01871e-05    
1.19583e-01    6.32941e-05    
1.21630e-01    6.65608e-05    
1.23712e-01    6.99954e-05    
1.25830e-01    7.36063e-05    
1.27985e-01    7.74025e-05    
1.30176e-01    8.13936e-05    
1.32404e-01    8.55894e-05    
1.34671e-01    9.00005e-05    
1.36977e-01    9.46376e-05    
1.39322e-01    9.95123e-05    
1.41707e-01    1.04637e-04    
1.44133e-01    1.10024e-04    
1.46600e-01    1.15686e-04    
1.49110e-01    1.21639e-04    
1.51663e-01    1.27895e-04    
1.54259e-01    1.34472e-04    
1.56900e-01    1.41385e-04    
1.59586e-01    1.48650e-04    
1.62319e-01    1.56287e-04    
1.65097e-01    1.64314e-04    
1.67924e-01    1.72749e-04    
1.70799e-01    1.81615e-04    
1.73723e-01    1.90933e-04    
1.76697e-01    2.00725e-04    
1.79722e-01    2.11016e-04    
1.82799e-01    2.21831e-04    
1.85928e-01    2.33195e-04    
1.89111e-01    2.45137e-04    
1.92349e-01    2.57685e-04    
1.95642e-01    2.70871e-04    
1.98991e-01    2.84726e-04    
2.02398e-01    2.99282e-04    
2.05863e-01    3.14571e-04    
2.09387e-01    3.30628e-04    
2.12972e-01    3.47492e-04    
2.16618e-01    3.65202e-04    
2.20327e-01    3.83797e-04    
2.24099e-01    4.03323e-04    
2.27935e-01    4.23823e-04    
2.31838e-01    4.45344e-04    
2.35807e-01    4.67937e-04    
2.39844e-01    4.91651e-04    
2.43950e-01    5.16541e-04    
2.48126e-01    5.42662e-04    
2.52374e-01    5.70074e-04    
2.56695e-01    5.98837e-04    
2.61089e-01    6.29015e-04    
2.65559e-01    6.60675e-04    
2.70105e-01    6.93885e-04    
2.74730e-01    7.28718e-04    
2.79433e-01    7.65250e-04    
2.84217e-01    8.03558e-04    
2.89083e-01    8.43725e-04    
2.94032e-01    8.85835e-04    
2.99065e-01    9.29978e-04    
3.04185e-01    9.76245e-04    
3.09393e-01    1.02473e-03    
3.14690e-01    1.07554e-03    
3.20077e-01    1.12877e-03    
3.25557e-01    1.18453e-03    
3.31131e-01    1.24293e-03    
3.36800e-01    1.30409e-03    
3.42566e-01    1.36812e-03    
3.48430e-01    1.43516e-03    
3.54395e-01    1.50532e-03    
3.60463e-01    1.57875e-03    
3.66634e-01    1.65557e-03    
3.72910e-01    1.73594e-03    
3.79295e-01    1.82000e-03    
3.85788e-01    1.90790e-03    
3.92393e-01    1.99979e-03    
3.99111e-01    2.09584e-03    
4.05943e-01    2.19621e-03    
4.12893e-01    2.30107e-03    
4.19962e-01    2.41060e-03    
4.27151e-01    2.52497e-03    
4.34464e-01    2.64438e-03    
4.41902e-01    2.76900e-03    
4.49468e-01    2.89903e-03    
4.57162e-01    3.03467e-03    
4.64989e-01    3.17611e-03    
4.72950e-01    3.32357e-03    
4.81046e-01    3.47724e-03    
4.89282e-01    3.63734e-03    
4.97658e-01    3.80409e-03    
5.06178e-01    3.97769e-03    
5.14844e-01    4.15837e-03    
5.23658e-01    4.34635e-03    
5.32623e-01    4.54184e-03    
5.41742e-01    4.74508e-03    
5.51016e-01    4.95627e-03    
5.60450e-01    5.17564e-03    
5.70044e-01    5.40341e-03    
5.79804e-01    5.63980e-03    
5.89730e-01    5.88502e-03    
5.99826e-01    6.13927e-03    
