# USINE V4.0
# File generated 13-05-2022 06:37:24
# Model1DKisoVc
# N
# SolMod0DFF_phi0_570GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.25159e-02    4.26978e-04    
9.40933e-02    4.48938e-04    
9.56975e-02    4.72022e-04    
9.73291e-02    4.96288e-04    
9.89886e-02    5.21796e-04    
1.00676e-01    5.48609e-04    
1.02393e-01    5.76794e-04    
1.04139e-01    6.06419e-04    
1.05914e-01    6.37559e-04    
1.07720e-01    6.70290e-04    
1.09556e-01    7.04693e-04    
1.11424e-01    7.40853e-04    
1.13324e-01    7.78859e-04    
1.15256e-01    8.18804e-04    
1.17221e-01    8.60787e-04    
1.19220e-01    9.04910e-04    
1.21253e-01    9.51283e-04    
1.23320e-01    1.00002e-03    
1.25422e-01    1.05124e-03    
1.27561e-01    1.10506e-03    
1.29736e-01    1.16162e-03    
1.31948e-01    1.22107e-03    
1.34197e-01    1.28353e-03    
1.36485e-01    1.34917e-03    
1.38812e-01    1.41814e-03    
1.41179e-01    1.49062e-03    
1.43586e-01    1.56677e-03    
1.46034e-01    1.64679e-03    
1.48524e-01    1.73087e-03    
1.51056e-01    1.81921e-03    
1.53632e-01    1.91202e-03    
1.56251e-01    2.00953e-03    
1.58915e-01    2.11198e-03    
1.61625e-01    2.21960e-03    
1.64380e-01    2.33267e-03    
1.67183e-01    2.45145e-03    
1.70033e-01    2.57623e-03    
1.72932e-01    2.70731e-03    
1.75881e-01    2.84499e-03    
1.78879e-01    2.98962e-03    
1.81929e-01    3.14153e-03    
1.85031e-01    3.30109e-03    
1.88186e-01    3.46868e-03    
1.91394e-01    3.64469e-03    
1.94658e-01    3.82954e-03    
1.97976e-01    4.02368e-03    
2.01352e-01    4.22755e-03    
2.04785e-01    4.44157e-03    
2.08276e-01    4.66621e-03    
2.11827e-01    4.90199e-03    
2.15439e-01    5.14944e-03    
2.19112e-01    5.40910e-03    
2.22848e-01    5.68157e-03    
2.26647e-01    5.96745e-03    
2.30512e-01    6.26736e-03    
2.34442e-01    6.58198e-03    
2.38439e-01    6.91198e-03    
2.42504e-01    7.25810e-03    
2.46639e-01    7.62107e-03    
2.50844e-01    8.00167e-03    
2.55121e-01    8.40072e-03    
2.59470e-01    8.81907e-03    
2.63894e-01    9.25759e-03    
2.68394e-01    9.71721e-03    
2.72970e-01    1.01989e-02    
2.77624e-01    1.07036e-02    
2.82357e-01    1.12323e-02    
2.87171e-01    1.17862e-02    
2.92067e-01    1.23664e-02    
2.97047e-01    1.29740e-02    
3.02112e-01    1.36101e-02    
3.07262e-01    1.42761e-02    
3.12501e-01    1.49733e-02    
3.17829e-01    1.57029e-02    
3.23248e-01    1.64663e-02    
