# USINE V4.0
# File generated 13-05-2022 06:37:25
# Model1DKisoVc
# SC
# SolMod0DFF_phi0_570GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.24703e-02    5.87458e-06    
9.40534e-02    6.17903e-06    
9.56636e-02    6.49922e-06    
9.73014e-02    6.83594e-06    
9.89673e-02    7.19005e-06    
1.00662e-01    7.56245e-06    
1.02385e-01    7.95407e-06    
1.04138e-01    8.36590e-06    
1.05921e-01    8.79898e-06    
1.07734e-01    9.25440e-06    
1.09579e-01    9.73331e-06    
1.11455e-01    1.02369e-05    
1.13363e-01    1.07665e-05    
1.15304e-01    1.13233e-05    
1.17278e-01    1.19088e-05    
1.19285e-01    1.25245e-05    
1.21328e-01    1.31719e-05    
1.23405e-01    1.38527e-05    
1.25518e-01    1.45684e-05    
1.27667e-01    1.53210e-05    
1.29852e-01    1.61122e-05    
1.32075e-01    1.69442e-05    
1.34337e-01    1.78189e-05    
1.36636e-01    1.87386e-05    
1.38976e-01    1.97055e-05    
1.41355e-01    2.07220e-05    
1.43775e-01    2.17907e-05    
1.46237e-01    2.29143e-05    
1.48740e-01    2.40954e-05    
1.51287e-01    2.53372e-05    
1.53877e-01    2.66426e-05    
1.56511e-01    2.80148e-05    
1.59191e-01    2.94574e-05    
1.61916e-01    3.09738e-05    
1.64688e-01    3.25677e-05    
1.67508e-01    3.42432e-05    
1.70376e-01    3.60044e-05    
1.73292e-01    3.78556e-05    
1.76259e-01    3.98013e-05    
1.79277e-01    4.18464e-05    
1.82346e-01    4.39958e-05    
1.85468e-01    4.62549e-05    
1.88643e-01    4.86292e-05    
1.91873e-01    5.11244e-05    
1.95158e-01    5.37468e-05    
1.98499e-01    5.65026e-05    
2.01897e-01    5.93985e-05    
2.05354e-01    6.24409e-05    
2.08870e-01    6.56369e-05    
2.12446e-01    6.89942e-05    
2.16083e-01    7.25206e-05    
2.19782e-01    7.62243e-05    
2.23545e-01    8.01142e-05    
2.27372e-01    8.41993e-05    
2.31265e-01    8.84891e-05    
2.35224e-01    9.29935e-05    
2.39251e-01    9.77229e-05    
2.43347e-01    1.02688e-04    
2.47514e-01    1.07901e-04    
2.51751e-01    1.13373e-04    
2.56061e-01    1.19116e-04    
2.60445e-01    1.25144e-04    
2.64904e-01    1.31469e-04    
2.69439e-01    1.38107e-04    
2.74052e-01    1.45072e-04    
2.78744e-01    1.52379e-04    
2.83516e-01    1.60045e-04    
2.88370e-01    1.68085e-04    
2.93307e-01    1.76519e-04    
2.98329e-01    1.85362e-04    
3.03436e-01    1.94636e-04    
3.08631e-01    2.04358e-04    
3.13915e-01    2.14551e-04    
3.19289e-01    2.25235e-04    
3.24756e-01    2.36432e-04    
3.30316e-01    2.48165e-04    
3.35971e-01    2.60459e-04    
3.41723e-01    2.73338e-04    
3.47573e-01    2.86828e-04    
3.53524e-01    3.00956e-04    
3.59576e-01    3.15749e-04    
3.65732e-01    3.31237e-04    
3.71994e-01    3.47449e-04    
3.78363e-01    3.64415e-04    
3.84840e-01    3.82169e-04    
3.91429e-01    4.00742e-04    
3.98130e-01    4.20168e-04    
4.04947e-01    4.40484e-04    
4.11879e-01    4.61724e-04    
4.18931e-01    4.83926e-04    
4.26103e-01    5.07129e-04    
4.33398e-01    5.31372e-04    
4.40818e-01    5.56696e-04    
4.48365e-01    5.83141e-04    
4.56041e-01    6.10751e-04    
4.63849e-01    6.39569e-04    
4.71790e-01    6.69639e-04    
4.79868e-01    7.01008e-04    
4.88083e-01    7.33721e-04    
4.96439e-01    7.67825e-04    
5.04938e-01    8.03369e-04    
5.13583e-01    8.40400e-04    
5.22376e-01    8.78969e-04    
5.31319e-01    9.19124e-04    
5.40416e-01    9.60918e-04    
5.49668e-01    1.00440e-03    
5.59078e-01    1.04962e-03    
5.68650e-01    1.09663e-03    
5.78385e-01    1.14548e-03    
5.88288e-01    1.19622e-03    
5.98359e-01    1.24889e-03    
6.08604e-01    1.30356e-03    
6.19023e-01    1.36026e-03    
6.29621e-01    1.41905e-03    
6.40400e-01    1.47997e-03    
6.51364e-01    1.54306e-03    
6.62516e-01    1.60837e-03    
6.73858e-01    1.67594e-03    
6.85395e-01    1.74580e-03    
6.97129e-01    1.81798e-03    
7.09064e-01    1.89253e-03    
7.21204e-01    1.96946e-03    
7.33551e-01    2.04880e-03    
7.46110e-01    2.13058e-03    
7.58884e-01    2.21480e-03    
7.71876e-01    2.30147e-03    
7.85091e-01    2.39060e-03    
7.98532e-01    2.48218e-03    
8.12203e-01    2.57620e-03    
8.26108e-01    2.67265e-03    
8.40252e-01    2.77151e-03    
8.54637e-01    2.87274e-03    
8.69269e-01    2.97629e-03    
8.84151e-01    3.08212e-03    
8.99288e-01    3.19018e-03    
9.14684e-01    3.30038e-03    
9.30344e-01    3.41265e-03    
9.46272e-01    3.52689e-03    
9.62472e-01    3.64301e-03    
9.78950e-01    3.76090e-03    
9.95710e-01    3.88041e-03    
1.01276e+00    4.00142e-03    
1.03010e+00    4.12378e-03    
1.04773e+00    4.24731e-03    
1.06567e+00    4.37185e-03    
1.08391e+00    4.49721e-03    
1.10247e+00    4.62318e-03    
1.12135e+00    4.74956e-03    
1.14054e+00    4.87611e-03    
1.16007e+00    5.00260e-03    
1.17993e+00    5.12878e-03    
1.20013e+00    5.25440e-03    
1.22068e+00    5.37918e-03    
1.24158e+00    5.50286e-03    
1.26283e+00    5.62515e-03    
1.28445e+00    5.74575e-03    
1.30644e+00    5.86438e-03    
1.32881e+00    5.98075e-03    
1.35156e+00    6.09454e-03    
1.37470e+00    6.20547e-03    
1.39824e+00    6.31324e-03    
1.42217e+00    6.41754e-03    
1.44652e+00    6.51808e-03    
1.47129e+00    6.61455e-03    
1.49648e+00    6.70667e-03    
1.52210e+00    6.79416e-03    
1.54816e+00    6.87672e-03    
1.57466e+00    6.95410e-03    
1.60162e+00    7.02601e-03    
1.62904e+00    7.09220e-03    
1.65693e+00    7.15241e-03    
1.68530e+00    7.20641e-03    
1.71415e+00    7.25398e-03    
1.74350e+00    7.29492e-03    
1.77335e+00    7.32906e-03    
1.80371e+00    7.35625e-03    
1.83459e+00    7.37636e-03    
1.86599e+00    7.38929e-03    
1.89794e+00    7.39499e-03    
1.93044e+00    7.39342e-03    
1.96348e+00    7.38458e-03    
1.99710e+00    7.36850e-03    
2.03129e+00    7.34523e-03    
2.06607e+00    7.31488e-03    
2.10144e+00    7.27755e-03    
2.13742e+00    7.23338e-03    
2.17401e+00    7.18253e-03    
2.21123e+00    7.12521e-03    
2.24909e+00    7.06161e-03    
2.28759e+00    6.99199e-03    
2.32676e+00    6.91660e-03    
2.36659e+00    6.83572e-03    
2.40711e+00    6.74965e-03    
2.44832e+00    6.65872e-03    
2.49024e+00    6.56325e-03    
2.53287e+00    6.46359e-03    
2.57623e+00    6.36012e-03    
2.62034e+00    6.25321e-03    
2.66520e+00    6.14329e-03    
2.71083e+00    6.03077e-03    
2.75724e+00    5.91613e-03    
2.80445e+00    5.79979e-03    
2.85246e+00    5.68219e-03    
2.90130e+00    5.56372e-03    
2.95097e+00    5.44475e-03    
3.00149e+00    5.32562e-03    
3.05288e+00    5.20665e-03    
3.10514e+00    5.08811e-03    
3.15830e+00    4.97023e-03    
3.21237e+00    4.85323e-03    
3.26737e+00    4.73728e-03    
3.32331e+00    4.62252e-03    
3.38021e+00    4.50907e-03    
3.43808e+00    4.39700e-03    
3.49694e+00    4.28639e-03    
3.55681e+00    4.17724e-03    
3.61770e+00    4.06958e-03    
3.67964e+00    3.96335e-03    
3.74263e+00    3.85854e-03    
3.80671e+00    3.75515e-03    
3.87188e+00    3.65323e-03    
3.93817e+00    3.55287e-03    
4.00559e+00    3.45419e-03    
4.07417e+00    3.35732e-03    
4.14392e+00    3.26236e-03    
4.21487e+00    3.16940e-03    
4.28703e+00    3.07847e-03    
4.36042e+00    2.98955e-03    
4.43508e+00    2.90260e-03    
4.51101e+00    2.81759e-03    
4.58824e+00    2.73444e-03    
4.66679e+00    2.65308e-03    
4.74669e+00    2.57344e-03    
4.82795e+00    2.49547e-03    
4.91061e+00    2.41912e-03    
4.99468e+00    2.34437e-03    
5.08019e+00    2.27121e-03    
5.16716e+00    2.19961e-03    
5.25563e+00    2.12955e-03    
5.34561e+00    2.06101e-03    
5.43713e+00    1.99399e-03    
5.53021e+00    1.92846e-03    
5.62489e+00    1.86441e-03    
5.72119e+00    1.80185e-03    
5.81914e+00    1.74077e-03    
5.91877e+00    1.68117e-03    
6.02010e+00    1.62304e-03    
6.12316e+00    1.56637e-03    
6.22800e+00    1.51116e-03    
6.33462e+00    1.45740e-03    
6.44307e+00    1.40506e-03    
6.55338e+00    1.35415e-03    
6.66558e+00    1.30462e-03    
6.77969e+00    1.25648e-03    
6.89577e+00    1.20969e-03    
7.01382e+00    1.16425e-03    
7.13390e+00    1.12012e-03    
7.25604e+00    1.07730e-03    
7.38026e+00    1.03576e-03    
7.50662e+00    9.95497e-04    
7.63513e+00    9.56486e-04    
7.76585e+00    9.18720e-04    
7.89881e+00    8.82187e-04    
8.03404e+00    8.46872e-04    
8.17158e+00    8.12761e-04    
8.31148e+00    7.79836e-04    
8.45378e+00    7.48081e-04    
8.59851e+00    7.17477e-04    
8.74572e+00    6.88007e-04    
8.89545e+00    6.59657e-04    
9.04774e+00    6.32420e-04    
9.20265e+00    6.06288e-04    
9.36020e+00    5.81247e-04    
9.52045e+00    5.57280e-04    
9.68344e+00    5.34368e-04    
9.84923e+00    5.12484e-04    
1.00178e+01    4.91600e-04    
1.01894e+01    4.71681e-04    
1.03638e+01    4.52680e-04    
1.05412e+01    4.34539e-04    
1.07217e+01    4.17193e-04    
1.09053e+01    4.00582e-04    
1.10920e+01    3.84653e-04    
1.12819e+01    3.69358e-04    
1.14750e+01    3.54652e-04    
1.16715e+01    3.40498e-04    
1.18713e+01    3.26861e-04    
1.20745e+01    3.13715e-04    
1.22813e+01    3.01041e-04    
1.24915e+01    2.88829e-04    
1.27054e+01    2.77068e-04    
1.29229e+01    2.65745e-04    
1.31441e+01    2.54851e-04    
1.33692e+01    2.44373e-04    
1.35981e+01    2.34300e-04    
1.38309e+01    2.24619e-04    
1.40677e+01    2.15318e-04    
1.43085e+01    2.06385e-04    
1.45535e+01    1.97805e-04    
1.48026e+01    1.89565e-04    
1.50561e+01    1.81651e-04    
1.53138e+01    1.74050e-04    
1.55760e+01    1.66751e-04    
1.58427e+01    1.59741e-04    
1.61139e+01    1.53011e-04    
1.63898e+01    1.46549e-04    
1.66704e+01    1.40345e-04    
1.69558e+01    1.34390e-04    
1.72461e+01    1.28675e-04    
1.75413e+01    1.23190e-04    
1.78416e+01    1.17927e-04    
1.81471e+01    1.12878e-04    
1.84578e+01    1.08036e-04    
1.87738e+01    1.03391e-04    
1.90952e+01    9.89364e-05    
1.94221e+01    9.46653e-05    
1.97546e+01    9.05706e-05    
2.00928e+01    8.66454e-05    
2.04368e+01    8.28831e-05    
2.07867e+01    7.92775e-05    
2.11426e+01    7.58225e-05    
2.15046e+01    7.25124e-05    
2.18727e+01    6.93420e-05    
2.22472e+01    6.63066e-05    
2.26281e+01    6.34036e-05    
2.30155e+01    6.06312e-05    
2.34095e+01    5.79799e-05    
2.38103e+01    5.54377e-05    
2.42180e+01    5.30033e-05    
2.46326e+01    5.06717e-05    
2.50543e+01    4.84387e-05    
2.54832e+01    4.63004e-05    
2.59195e+01    4.42531e-05    
2.63633e+01    4.22930e-05    
2.68146e+01    4.04166e-05    
2.72737e+01    3.86204e-05    
2.77406e+01    3.69013e-05    
2.82156e+01    3.52560e-05    
2.86986e+01    3.36816e-05    
2.91900e+01    3.21751e-05    
2.96897e+01    3.07336e-05    
3.01980e+01    2.93547e-05    
3.07150e+01    2.80355e-05    
3.12409e+01    2.67737e-05    
3.17757e+01    2.55669e-05    
3.23197e+01    2.44127e-05    
3.28730e+01    2.33090e-05    
3.34358e+01    2.22536e-05    
3.40083e+01    2.12446e-05    
3.45905e+01    2.02799e-05    
3.51827e+01    1.93576e-05    
3.57851e+01    1.84761e-05    
3.63977e+01    1.76335e-05    
3.70209e+01    1.68282e-05    
3.76547e+01    1.60586e-05    
3.82993e+01    1.53232e-05    
3.89550e+01    1.46205e-05    
3.96220e+01    1.39492e-05    
4.03003e+01    1.33078e-05    
4.09903e+01    1.26950e-05    
4.16920e+01    1.21097e-05    
4.24058e+01    1.15507e-05    
4.31318e+01    1.10168e-05    
4.38703e+01    1.05069e-05    
4.46213e+01    1.00199e-05    
4.53853e+01    9.55500e-06    
4.61623e+01    9.11107e-06    
4.69526e+01    8.68723e-06    
4.77564e+01    8.28261e-06    
4.85741e+01    7.89636e-06    
4.94057e+01    7.52767e-06    
5.02515e+01    7.17577e-06    
5.11118e+01    6.83992e-06    
5.19869e+01    6.51940e-06    
5.28769e+01    6.21354e-06    
5.37822e+01    5.92169e-06    
5.47030e+01    5.64323e-06    
5.56395e+01    5.37755e-06    
5.65921e+01    5.12409e-06    
5.75610e+01    4.88230e-06    
5.85464e+01    4.65166e-06    
5.95488e+01    4.43167e-06    
6.05683e+01    4.22185e-06    
6.16052e+01    4.02174e-06    
6.26599e+01    3.83091e-06    
6.37327e+01    3.64894e-06    
6.48238e+01    3.47543e-06    
6.59336e+01    3.30999e-06    
6.70624e+01    3.15225e-06    
6.82106e+01    3.00188e-06    
6.93784e+01    2.85853e-06    
7.05661e+01    2.72189e-06    
7.17743e+01    2.59164e-06    
7.30031e+01    2.46751e-06    
7.42529e+01    2.34920e-06    
7.55241e+01    2.23645e-06    
7.68171e+01    2.12900e-06    
7.81323e+01    2.02662e-06    
7.94699e+01    1.92907e-06    
8.08305e+01    1.83612e-06    
8.22143e+01    1.74757e-06    
8.36219e+01    1.66321e-06    
8.50535e+01    1.58285e-06    
8.65097e+01    1.50630e-06    
8.79908e+01    1.43339e-06    
8.94972e+01    1.36394e-06    
9.10294e+01    1.29781e-06    
9.25879e+01    1.23482e-06    
9.41730e+01    1.17484e-06    
9.57853e+01    1.11772e-06    
