# USINE V4.0
# File generated 13-05-2022 08:27:50
# Model1DKisoVc
# CR
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.70864e-02    1.97355e-05    
9.87369e-02    2.07491e-05    
1.00415e-01    2.18146e-05    
1.02123e-01    2.29346e-05    
1.03859e-01    2.41118e-05    
1.05624e-01    2.53493e-05    
1.07420e-01    2.66500e-05    
1.09246e-01    2.80171e-05    
1.11104e-01    2.94541e-05    
1.12992e-01    3.09645e-05    
1.14913e-01    3.25520e-05    
1.16867e-01    3.42206e-05    
1.18854e-01    3.59742e-05    
1.20874e-01    3.78173e-05    
1.22929e-01    3.97544e-05    
1.25019e-01    4.17902e-05    
1.27144e-01    4.39298e-05    
1.29306e-01    4.61784e-05    
1.31504e-01    4.85414e-05    
1.33740e-01    5.10248e-05    
1.36014e-01    5.36345e-05    
1.38326e-01    5.63769e-05    
1.40677e-01    5.92589e-05    
1.43069e-01    6.22872e-05    
1.45501e-01    6.54695e-05    
1.47975e-01    6.88134e-05    
1.50491e-01    7.23270e-05    
1.53049e-01    7.60189e-05    
1.55651e-01    7.98981e-05    
1.58297e-01    8.39739e-05    
1.60988e-01    8.82563e-05    
1.63725e-01    9.27557e-05    
1.66509e-01    9.74828e-05    
1.69339e-01    1.02449e-04    
1.72218e-01    1.07667e-04    
1.75146e-01    1.13148e-04    
1.78124e-01    1.18906e-04    
1.81152e-01    1.24956e-04    
1.84231e-01    1.31310e-04    
1.87363e-01    1.37985e-04    
1.90549e-01    1.44997e-04    
1.93788e-01    1.52362e-04    
1.97083e-01    1.60098e-04    
2.00433e-01    1.68223e-04    
2.03841e-01    1.76756e-04    
2.07306e-01    1.85714e-04    
2.10830e-01    1.95118e-04    
2.14415e-01    2.04991e-04    
2.18060e-01    2.15355e-04    
2.21767e-01    2.26233e-04    
2.25537e-01    2.37650e-04    
2.29371e-01    2.49632e-04    
2.33271e-01    2.62205e-04    
2.37237e-01    2.75399e-04    
2.41270e-01    2.89242e-04    
2.45371e-01    3.03765e-04    
2.49543e-01    3.19000e-04    
2.53785e-01    3.34981e-04    
2.58100e-01    3.51743e-04    
2.62488e-01    3.69322e-04    
2.66950e-01    3.87755e-04    
2.71488e-01    4.07084e-04    
2.76104e-01    4.27347e-04    
2.80798e-01    4.48590e-04    
2.85571e-01    4.70856e-04    
2.90426e-01    4.94191e-04    
2.95364e-01    5.18645e-04    
3.00385e-01    5.44268e-04    
3.05492e-01    5.71111e-04    
3.10685e-01    5.99230e-04    
3.15967e-01    6.28681e-04    
3.21339e-01    6.59521e-04    
3.26802e-01    6.91813e-04    
3.32357e-01    7.25619e-04    
3.38008e-01    7.61004e-04    
3.43754e-01    7.98037e-04    
3.49598e-01    8.36786e-04    
3.55541e-01    8.77326e-04    
3.61586e-01    9.19730e-04    
3.67733e-01    9.64075e-04    
3.73985e-01    1.01044e-03    
3.80343e-01    1.05892e-03    
3.86809e-01    1.10958e-03    
3.93385e-01    1.16251e-03    
4.00072e-01    1.21782e-03    
4.06874e-01    1.27558e-03    
4.13791e-01    1.33590e-03    
4.20826e-01    1.39888e-03    
4.27980e-01    1.46460e-03    
4.35256e-01    1.53318e-03    
4.42655e-01    1.60472e-03    
4.50181e-01    1.67932e-03    
4.57834e-01    1.75710e-03    
4.65618e-01    1.83817e-03    
4.73533e-01    1.92264e-03    
4.81584e-01    2.01062e-03    
4.89771e-01    2.10224e-03    
4.98097e-01    2.19760e-03    
5.06565e-01    2.29684e-03    
5.15177e-01    2.40006e-03    
5.23935e-01    2.50739e-03    
5.32842e-01    2.61895e-03    
5.41901e-01    2.73486e-03    
5.51114e-01    2.85525e-03    
5.60483e-01    2.98023e-03    
5.70012e-01    3.10992e-03    
5.79702e-01    3.24443e-03    
5.89557e-01    3.38390e-03    
5.99580e-01    3.52842e-03    
6.09773e-01    3.67811e-03    
6.20140e-01    3.83307e-03    
6.30683e-01    3.99340e-03    
6.41404e-01    4.15921e-03    
6.52309e-01    4.33059e-03    
6.63398e-01    4.50761e-03    
6.74676e-01    4.69035e-03    
6.86146e-01    4.87889e-03    
6.97811e-01    5.07329e-03    
7.09674e-01    5.27359e-03    
7.21739e-01    5.47983e-03    
7.34009e-01    5.69204e-03    
7.46488e-01    5.91024e-03    
7.59179e-01    6.13443e-03    
7.72085e-01    6.36459e-03    
7.85211e-01    6.60068e-03    
7.98560e-01    6.84267e-03    
8.12136e-01    7.09048e-03    
8.25943e-01    7.34404e-03    
8.39984e-01    7.60323e-03    
8.54264e-01    7.86792e-03    
8.68787e-01    8.13797e-03    
8.83557e-01    8.41320e-03    
8.98578e-01    8.69341e-03    
9.13854e-01    8.97839e-03    
9.29391e-01    9.26788e-03    
9.45191e-01    9.56160e-03    
9.61259e-01    9.85925e-03    
9.77601e-01    1.01605e-02    
9.94221e-01    1.04650e-02    
1.01112e+00    1.07723e-02    
1.02831e+00    1.10821e-02    
1.04580e+00    1.13939e-02    
1.06357e+00    1.17072e-02    
1.08166e+00    1.20215e-02    
1.10004e+00    1.23364e-02    
1.11875e+00    1.26512e-02    
1.13776e+00    1.29655e-02    
1.15711e+00    1.32785e-02    
1.17678e+00    1.35899e-02    
1.19678e+00    1.38988e-02    
1.21713e+00    1.42047e-02    
