# USINE V4.0
# File generated 13-05-2022 08:25:52
# Model1DKisoVc
# HE
# SolMod0DFF_phi0_670GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
8.63759e-02    4.63457e-02    
8.78294e-02    4.86953e-02    
8.93072e-02    5.11635e-02    
9.08100e-02    5.37562e-02    
9.23380e-02    5.64796e-02    
9.38918e-02    5.93404e-02    
9.54717e-02    6.23453e-02    
9.70781e-02    6.55017e-02    
9.87116e-02    6.88170e-02    
1.00373e-01    7.22992e-02    
1.02062e-01    7.59567e-02    
1.03779e-01    7.97982e-02    
1.05525e-01    8.38329e-02    
1.07301e-01    8.80704e-02    
1.09106e-01    9.25209e-02    
1.10942e-01    9.71949e-02    
1.12809e-01    1.02104e-01    
1.14707e-01    1.07259e-01    
1.16637e-01    1.12673e-01    
1.18600e-01    1.18358e-01    
1.20596e-01    1.24328e-01    
1.22625e-01    1.30598e-01    
1.24688e-01    1.37181e-01    
1.26786e-01    1.44094e-01    
1.28920e-01    1.51353e-01    
1.31089e-01    1.58975e-01    
1.33295e-01    1.66978e-01    
1.35538e-01    1.75381e-01    
1.37818e-01    1.84204e-01    
1.40137e-01    1.93467e-01    
1.42496e-01    2.03192e-01    
1.44893e-01    2.13402e-01    
1.47331e-01    2.24121e-01    
1.49810e-01    2.35373e-01    
1.52331e-01    2.47186e-01    
1.54894e-01    2.59586e-01    
1.57501e-01    2.72603e-01    
1.60151e-01    2.86267e-01    
1.62846e-01    3.00609e-01    
1.65586e-01    3.15663e-01    
1.68372e-01    3.31464e-01    
1.71205e-01    3.48048e-01    
1.74086e-01    3.65453e-01    
1.77016e-01    3.83719e-01    
1.79994e-01    4.02889e-01    
1.83023e-01    4.23007e-01    
1.86103e-01    4.44118e-01    
1.89234e-01    4.66270e-01    
1.92418e-01    4.89516e-01    
1.95656e-01    5.13906e-01    
1.98948e-01    5.39498e-01    
2.02296e-01    5.66345e-01    
2.05700e-01    5.94500e-01    
2.09161e-01    6.24022e-01    
2.12681e-01    6.54976e-01    
2.16259e-01    6.87428e-01    
2.19898e-01    7.21446e-01    
2.23598e-01    7.57104e-01    
2.27361e-01    7.94477e-01    
2.31187e-01    8.33642e-01    
2.35077e-01    8.74682e-01    
2.39032e-01    9.17682e-01    
2.43054e-01    9.62729e-01    
2.47144e-01    1.00992e+00    
2.51303e-01    1.05934e+00    
2.55531e-01    1.11110e+00    
2.59831e-01    1.16530e+00    
2.64203e-01    1.22204e+00    
2.68649e-01    1.28144e+00    
2.73169e-01    1.34361e+00    
2.77766e-01    1.40868e+00    
2.82440e-01    1.47676e+00    
2.87192e-01    1.54799e+00    
2.92025e-01    1.62250e+00    
2.96939e-01    1.70043e+00    
3.01935e-01    1.78191e+00    
3.07016e-01    1.86710e+00    
3.12182e-01    1.95616e+00    
3.17435e-01    2.04923e+00    
3.22776e-01    2.14648e+00    
3.28207e-01    2.24807e+00    
3.33730e-01    2.35419e+00    
3.39346e-01    2.46500e+00    
3.45056e-01    2.58069e+00    
3.50862e-01    2.70144e+00    
3.56766e-01    2.82746e+00    
3.62769e-01    2.95893e+00    
3.68873e-01    3.09606e+00    
3.75080e-01    3.23905e+00    
3.81391e-01    3.38812e+00    
3.87809e-01    3.54347e+00    
3.94335e-01    3.70534e+00    
4.00970e-01    3.87395e+00    
4.07717e-01    4.04952e+00    
4.14577e-01    4.23228e+00    
4.21553e-01    4.42247e+00    
4.28647e-01    4.62032e+00    
4.35860e-01    4.82609e+00    
4.43194e-01    5.03999e+00    
4.50651e-01    5.26229e+00    
4.58234e-01    5.49322e+00    
4.65945e-01    5.73303e+00    
4.73785e-01    5.98196e+00    
4.81757e-01    6.24025e+00    
4.89864e-01    6.50816e+00    
4.98106e-01    6.78590e+00    
5.06488e-01    7.07373e+00    
5.15010e-01    7.37187e+00    
5.23676e-01    7.68054e+00    
5.32488e-01    7.99997e+00    
5.41448e-01    8.33037e+00    
5.50559e-01    8.67195e+00    
5.59823e-01    9.02488e+00    
5.69243e-01    9.38937e+00    
5.78821e-01    9.76558e+00    
5.88561e-01    1.01537e+01    
5.98465e-01    1.05538e+01    
6.08535e-01    1.09660e+01    
6.18774e-01    1.13905e+01    
6.29186e-01    1.18273e+01    
6.39774e-01    1.22766e+01    
6.50539e-01    1.27383e+01    
6.61485e-01    1.32125e+01    
6.72616e-01    1.36991e+01    
6.83934e-01    1.41982e+01    
6.95442e-01    1.47097e+01    
7.07144e-01    1.52334e+01    
7.19043e-01    1.57693e+01    
7.31142e-01    1.63173e+01    
7.43445e-01    1.68771e+01    
7.55955e-01    1.74485e+01    
7.68675e-01    1.80312e+01    
7.81609e-01    1.86250e+01    
7.94761e-01    1.92296e+01    
8.08134e-01    1.98445e+01    
8.21732e-01    2.04694e+01    
8.35560e-01    2.11038e+01    
8.49619e-01    2.17471e+01    
8.63916e-01    2.23990e+01    
8.78452e-01    2.30588e+01    
8.93234e-01    2.37259e+01    
9.08264e-01    2.43996e+01    
9.23547e-01    2.50793e+01    
9.39087e-01    2.57642e+01    
9.54889e-01    2.64536e+01    
9.70957e-01    2.71466e+01    
9.87295e-01    2.78423e+01    
1.00391e+00    2.85400e+01    
1.02080e+00    2.92387e+01    
1.03798e+00    2.99374e+01    
1.05544e+00    3.06352e+01    
1.07320e+00    3.13311e+01    
1.09126e+00    3.20240e+01    
1.10962e+00    3.27129e+01    
1.12829e+00    3.33967e+01    
1.14728e+00    3.40744e+01    
1.16658e+00    3.47448e+01    
1.18621e+00    3.54069e+01    
1.20617e+00    3.60595e+01    
1.22647e+00    3.67014e+01    
1.24711e+00    3.73314e+01    
1.26809e+00    3.79485e+01    
1.28943e+00    3.85514e+01    
1.31113e+00    3.91388e+01    
1.33319e+00    3.97098e+01    
1.35562e+00    4.02630e+01    
