# USINE V4.0
# File generated 13-05-2022 09:46:19
# Model1DKisoVc
# BE
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.08008e-01    1.43598e-04    
1.09818e-01    1.50855e-04    
1.11658e-01    1.58477e-04    
1.13529e-01    1.66482e-04    
1.15431e-01    1.74890e-04    
1.17365e-01    1.83720e-04    
1.19332e-01    1.92994e-04    
1.21331e-01    2.02734e-04    
1.23364e-01    2.12963e-04    
1.25431e-01    2.23705e-04    
1.27533e-01    2.34986e-04    
1.29670e-01    2.46834e-04    
1.31843e-01    2.59275e-04    
1.34052e-01    2.72340e-04    
1.36298e-01    2.86060e-04    
1.38582e-01    3.00467e-04    
1.40904e-01    3.15595e-04    
1.43265e-01    3.31480e-04    
1.45666e-01    3.48160e-04    
1.48107e-01    3.65674e-04    
1.50588e-01    3.84063e-04    
1.53112e-01    4.03371e-04    
1.55677e-01    4.23643e-04    
1.58286e-01    4.44927e-04    
1.60938e-01    4.67273e-04    
1.63635e-01    4.90733e-04    
1.66376e-01    5.15363e-04    
1.69164e-01    5.41219e-04    
1.71999e-01    5.68363e-04    
1.74881e-01    5.96858e-04    
1.77811e-01    6.26770e-04    
1.80791e-01    6.58169e-04    
1.83820e-01    6.91128e-04    
1.86900e-01    7.25723e-04    
1.90032e-01    7.62035e-04    
1.93216e-01    8.00149e-04    
1.96454e-01    8.40151e-04    
1.99745e-01    8.82134e-04    
2.03092e-01    9.26190e-04    
2.06495e-01    9.72410e-04    
2.09955e-01    1.02090e-03    
2.13473e-01    1.07176e-03    
2.17050e-01    1.12511e-03    
2.20687e-01    1.18107e-03    
2.24385e-01    1.23976e-03    
2.28145e-01    1.30130e-03    
2.31968e-01    1.36583e-03    
2.35855e-01    1.43350e-03    
2.39807e-01    1.50445e-03    
2.43825e-01    1.57882e-03    
2.47911e-01    1.65679e-03    
2.52065e-01    1.73851e-03    
2.56288e-01    1.82416e-03    
2.60583e-01    1.91392e-03    
2.64949e-01    2.00798e-03    
2.69389e-01    2.10652e-03    
2.73902e-01    2.20977e-03    
2.78492e-01    2.31792e-03    
2.83158e-01    2.43120e-03    
2.87903e-01    2.54984e-03    
2.92727e-01    2.67408e-03    
2.97632e-01    2.80416e-03    
3.02619e-01    2.94035e-03    
3.07690e-01    3.08290e-03    
3.12846e-01    3.23210e-03    
3.18088e-01    3.38824e-03    
3.23418e-01    3.55162e-03    
3.28837e-01    3.72254e-03    
3.34347e-01    3.90132e-03    
3.39949e-01    4.08831e-03    
3.45646e-01    4.28384e-03    
3.51437e-01    4.48827e-03    
3.57326e-01    4.70197e-03    
3.63313e-01    4.92532e-03    
3.69401e-01    5.15871e-03    
3.75591e-01    5.40254e-03    
3.81884e-01    5.65724e-03    
3.88283e-01    5.92324e-03    
3.94789e-01    6.20098e-03    
4.01405e-01    6.49091e-03    
4.08131e-01    6.79351e-03    
4.14969e-01    7.10926e-03    
4.21923e-01    7.43865e-03    
4.28992e-01    7.78219e-03    
4.36181e-01    8.14040e-03    
4.43489e-01    8.51382e-03    
4.50920e-01    8.90298e-03    
4.58476e-01    9.30844e-03    
4.66158e-01    9.73078e-03    
4.73969e-01    1.01706e-02    
4.81911e-01    1.06284e-02    
4.89986e-01    1.11048e-02    
4.98197e-01    1.16005e-02    
5.06544e-01    1.21160e-02    
5.15032e-01    1.26520e-02    
5.23662e-01    1.32091e-02    
5.32437e-01    1.37880e-02    
5.41358e-01    1.43892e-02    
5.50429e-01    1.50134e-02    
5.59652e-01    1.56613e-02    
5.69030e-01    1.63334e-02    
5.78565e-01    1.70305e-02    
5.88259e-01    1.77531e-02    
5.98116e-01    1.85019e-02    
6.08138e-01    1.92775e-02    
6.18328e-01    2.00805e-02    
6.28689e-01    2.09116e-02    
6.39223e-01    2.17712e-02    
6.49934e-01    2.26600e-02    
6.60825e-01    2.35785e-02    
6.71898e-01    2.45272e-02    
6.83156e-01    2.55067e-02    
6.94603e-01    2.65173e-02    
7.06242e-01    2.75595e-02    
7.18076e-01    2.86337e-02    
7.30108e-01    2.97403e-02    
7.42342e-01    3.08795e-02    
7.54781e-01    3.20515e-02    
7.67428e-01    3.32566e-02    
7.80287e-01    3.44948e-02    
