# USINE V4.0
# File generated 13-05-2022 09:46:19
# Model1DKisoVc
# B
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.50228e-02    2.67744e-04    
9.66403e-02    2.81525e-04    
9.82854e-02    2.96013e-04    
9.99584e-02    3.11243e-04    
1.01660e-01    3.27255e-04    
1.03390e-01    3.44087e-04    
1.05150e-01    3.61781e-04    
1.06940e-01    3.80382e-04    
1.08761e-01    3.99936e-04    
1.10612e-01    4.20491e-04    
1.12495e-01    4.42098e-04    
1.14410e-01    4.64811e-04    
1.16357e-01    4.88686e-04    
1.18338e-01    5.13782e-04    
1.20353e-01    5.40160e-04    
1.22401e-01    5.67888e-04    
1.24485e-01    5.97032e-04    
1.26604e-01    6.27665e-04    
1.28759e-01    6.59862e-04    
1.30951e-01    6.93702e-04    
1.33180e-01    7.29270e-04    
1.35447e-01    7.66652e-04    
1.37753e-01    8.05941e-04    
1.40097e-01    8.47232e-04    
1.42482e-01    8.90627e-04    
1.44908e-01    9.36233e-04    
1.47374e-01    9.84161e-04    
1.49883e-01    1.03453e-03    
1.52434e-01    1.08746e-03    
1.55029e-01    1.14308e-03    
1.57668e-01    1.20153e-03    
1.60352e-01    1.26295e-03    
1.63082e-01    1.32749e-03    
1.65858e-01    1.39531e-03    
1.68681e-01    1.46657e-03    
1.71552e-01    1.54144e-03    
1.74472e-01    1.62011e-03    
1.77442e-01    1.70277e-03    
1.80463e-01    1.78961e-03    
1.83535e-01    1.88085e-03    
1.86659e-01    1.97671e-03    
1.89836e-01    2.07741e-03    
1.93068e-01    2.18321e-03    
1.96354e-01    2.29435e-03    
1.99697e-01    2.41110e-03    
2.03096e-01    2.53373e-03    
2.06553e-01    2.66250e-03    
2.10069e-01    2.79771e-03    
2.13645e-01    2.93969e-03    
2.17282e-01    3.08874e-03    
2.20981e-01    3.24523e-03    
2.24742e-01    3.40951e-03    
2.28568e-01    3.58194e-03    
2.32459e-01    3.76294e-03    
2.36416e-01    3.95290e-03    
2.40440e-01    4.15225e-03    
2.44533e-01    4.36145e-03    
2.48696e-01    4.58096e-03    
2.52929e-01    4.81126e-03    
2.57235e-01    5.05288e-03    
2.61613e-01    5.30633e-03    
2.66067e-01    5.57218e-03    
2.70596e-01    5.85101e-03    
2.75202e-01    6.14341e-03    
2.79886e-01    6.45003e-03    
2.84651e-01    6.77150e-03    
2.89496e-01    7.10853e-03    
2.94424e-01    7.46180e-03    
2.99436e-01    7.83208e-03    
3.04533e-01    8.22013e-03    
3.09717e-01    8.62674e-03    
3.14989e-01    9.05276e-03    
3.20351e-01    9.49904e-03    
3.25804e-01    9.96649e-03    
3.31350e-01    1.04560e-02    
3.36991e-01    1.09686e-02    
3.42727e-01    1.15053e-02    
3.48561e-01    1.20671e-02    
3.54494e-01    1.26551e-02    
3.60529e-01    1.32704e-02    
3.66666e-01    1.39142e-02    
3.72907e-01    1.45876e-02    
3.79255e-01    1.52919e-02    
3.85711e-01    1.60283e-02    
3.92277e-01    1.67983e-02    
3.98954e-01    1.76031e-02    
4.05745e-01    1.84441e-02    
4.12652e-01    1.93228e-02    
4.19677e-01    2.02406e-02    
4.26820e-01    2.11992e-02    
4.34086e-01    2.21999e-02    
4.41475e-01    2.32445e-02    
4.48990e-01    2.43346e-02    
4.56633e-01    2.54719e-02    
4.64406e-01    2.66580e-02    
4.72311e-01    2.78947e-02    
4.80351e-01    2.91839e-02    
4.88528e-01    3.05273e-02    
4.96844e-01    3.19267e-02    
5.05301e-01    3.33842e-02    
5.13903e-01    3.49015e-02    
5.22651e-01    3.64806e-02    
5.31548e-01    3.81234e-02    
5.40596e-01    3.98319e-02    
5.49798e-01    4.16080e-02    
5.59157e-01    4.34538e-02    
5.68675e-01    4.53711e-02    
5.78355e-01    4.73621e-02    
5.88200e-01    4.94285e-02    
5.98213e-01    5.15725e-02    
6.08396e-01    5.37958e-02    
6.18752e-01    5.61003e-02    
6.29285e-01    5.84880e-02    
6.39997e-01    6.09606e-02    
6.50891e-01    6.35198e-02    
6.61971e-01    6.61673e-02    
6.73240e-01    6.89048e-02    
6.84700e-01    7.17337e-02    
6.96355e-01    7.46554e-02    
7.08209e-01    7.76713e-02    
7.20264e-01    8.07826e-02    
7.32525e-01    8.39902e-02    
7.44994e-01    8.72950e-02    
7.57676e-01    9.06980e-02    
7.70573e-01    9.41995e-02    
7.83690e-01    9.78000e-02    
7.97031e-01    1.01500e-01    
8.10598e-01    1.05299e-01    
8.24396e-01    1.09196e-01    
8.38430e-01    1.13193e-01    
8.52702e-01    1.17287e-01    
8.67217e-01    1.21477e-01    
8.81979e-01    1.25763e-01    
8.96992e-01    1.30143e-01    
9.12261e-01    1.34615e-01    
9.27790e-01    1.39176e-01    
9.43583e-01    1.43824e-01    
9.59645e-01    1.48557e-01    
9.75981e-01    1.53371e-01    
9.92595e-01    1.58263e-01    
1.00949e+00    1.63228e-01    
1.02667e+00    1.68262e-01    
1.04415e+00    1.73361e-01    
1.06193e+00    1.78520e-01    
1.08000e+00    1.83732e-01    
1.09839e+00    1.88993e-01    
1.11708e+00    1.94296e-01    
1.13610e+00    1.99635e-01    
1.15544e+00    2.05001e-01    
1.17511e+00    2.10389e-01    
1.19511e+00    2.15789e-01    
1.21545e+00    2.21195e-01    
1.23614e+00    2.26597e-01    
1.25719e+00    2.31987e-01    
1.27859e+00    2.37357e-01    
1.30035e+00    2.42696e-01    
1.32249e+00    2.47995e-01    
1.34500e+00    2.53246e-01    
1.36789e+00    2.58437e-01    
1.39118e+00    2.63560e-01    
1.41486e+00    2.68604e-01    
1.43894e+00    2.73560e-01    
1.46344e+00    2.78418e-01    
1.48835e+00    2.83170e-01    
1.51368e+00    2.87806e-01    
1.53945e+00    2.92317e-01    
1.56566e+00    2.96696e-01    
1.59231e+00    3.00933e-01    
1.61941e+00    3.05022e-01    
1.64698e+00    3.08954e-01    
1.67501e+00    3.12724e-01    
1.70353e+00    3.16325e-01    
1.73252e+00    3.19752e-01    
1.76202e+00    3.23000e-01    
1.79201e+00    3.26064e-01    
1.82251e+00    3.28939e-01    
1.85354e+00    3.31623e-01    
1.88509e+00    3.34110e-01    
1.91718e+00    3.36397e-01    
1.94981e+00    3.38481e-01    
1.98300e+00    3.40358e-01    
2.01676e+00    3.42028e-01    
2.05109e+00    3.43487e-01    
2.08601e+00    3.44732e-01    
2.12151e+00    3.45762e-01    
2.15763e+00    3.46574e-01    
2.19436e+00    3.47165e-01    
2.23171e+00    3.47533e-01    
2.26970e+00    3.47678e-01    
2.30833e+00    3.47598e-01    
2.34763e+00    3.47294e-01    
2.38759e+00    3.46767e-01    
2.42823e+00    3.46019e-01    
2.46957e+00    3.45051e-01    
2.51160e+00    3.43867e-01    
2.55436e+00    3.42473e-01    
2.59784e+00    3.40873e-01    
2.64206e+00    3.39075e-01    
2.68704e+00    3.37086e-01    
2.73278e+00    3.34913e-01    
2.77929e+00    3.32563e-01    
2.82660e+00    3.30041e-01    
2.87472e+00    3.27354e-01    
2.92365e+00    3.24505e-01    
2.97342e+00    3.21498e-01    
3.02404e+00    3.18335e-01    
3.07551e+00    3.15016e-01    
3.12787e+00    3.11540e-01    
3.18111e+00    3.07905e-01    
3.23526e+00    3.04108e-01    
3.29033e+00    3.00146e-01    
3.34634e+00    2.96013e-01    
3.40330e+00    2.91704e-01    
3.46124e+00    2.87214e-01    
3.52016e+00    2.82541e-01    
3.58008e+00    2.77682e-01    
3.64102e+00    2.72643e-01    
3.70300e+00    2.67432e-01    
3.76603e+00    2.62061e-01    
3.83014e+00    2.56550e-01    
3.89534e+00    2.50920e-01    
3.96165e+00    2.45195e-01    
4.02908e+00    2.39402e-01    
4.09767e+00    2.33566e-01    
4.16742e+00    2.27709e-01    
4.23836e+00    2.21853e-01    
4.31051e+00    2.16018e-01    
4.38388e+00    2.10220e-01    
4.45851e+00    2.04474e-01    
4.53440e+00    1.98792e-01    
4.61159e+00    1.93184e-01    
4.69009e+00    1.87657e-01    
4.76992e+00    1.82217e-01    
4.85112e+00    1.76870e-01    
4.93370e+00    1.71617e-01    
5.01768e+00    1.66463e-01    
5.10309e+00    1.61408e-01    
5.18996e+00    1.56454e-01    
5.27831e+00    1.51601e-01    
5.36816e+00    1.46848e-01    
5.45954e+00    1.42198e-01    
5.55247e+00    1.37647e-01    
5.64699e+00    1.33197e-01    
5.74311e+00    1.28847e-01    
5.84087e+00    1.24596e-01    
5.94030e+00    1.20443e-01    
6.04142e+00    1.16388e-01    
6.14426e+00    1.12431e-01    
6.24885e+00    1.08571e-01    
6.35522e+00    1.04807e-01    
6.46340e+00    1.01139e-01    
6.57342e+00    9.75664e-02    
6.68532e+00    9.40879e-02    
6.79912e+00    9.07029e-02    
6.91486e+00    8.74106e-02    
7.03256e+00    8.42102e-02    
7.15228e+00    8.11006e-02    
7.27403e+00    7.80809e-02    
7.39785e+00    7.51500e-02    
7.52378e+00    7.23068e-02    
7.65185e+00    6.95502e-02    
7.78210e+00    6.68789e-02    
7.91457e+00    6.42918e-02    
8.04930e+00    6.17875e-02    
8.18632e+00    5.93648e-02    
8.32567e+00    5.70225e-02    
8.46739e+00    5.47591e-02    
8.61153e+00    5.25733e-02    
8.75812e+00    5.04637e-02    
8.90720e+00    4.84285e-02    
9.05882e+00    4.64663e-02    
9.21303e+00    4.45752e-02    
9.36985e+00    4.27535e-02    
9.52935e+00    4.09994e-02    
9.69156e+00    3.93110e-02    
9.85654e+00    3.76862e-02    
1.00243e+01    3.61233e-02    
1.01950e+01    3.46201e-02    
1.03685e+01    3.31748e-02    
1.05450e+01    3.17854e-02    
1.07245e+01    3.04501e-02    
1.09071e+01    2.91669e-02    
1.10927e+01    2.79340e-02    
1.12815e+01    2.67497e-02    
1.14736e+01    2.56123e-02    
1.16689e+01    2.45200e-02    
1.18675e+01    2.34711e-02    
1.20695e+01    2.24643e-02    
1.22750e+01    2.14978e-02    
1.24839e+01    2.05703e-02    
1.26965e+01    1.96804e-02    
1.29126e+01    1.88266e-02    
1.31324e+01    1.80076e-02    
1.33559e+01    1.72221e-02    
1.35833e+01    1.64689e-02    
1.38145e+01    1.57468e-02    
1.40497e+01    1.50545e-02    
1.42888e+01    1.43910e-02    
1.45320e+01    1.37551e-02    
1.47794e+01    1.31458e-02    
1.50310e+01    1.25620e-02    
1.52869e+01    1.20028e-02    
1.55471e+01    1.14671e-02    
1.58117e+01    1.09541e-02    
1.60809e+01    1.04628e-02    
1.63546e+01    9.99253e-03    
1.66330e+01    9.54231e-03    
1.69161e+01    9.11139e-03    
1.72041e+01    8.69901e-03    
1.74970e+01    8.30442e-03    
1.77948e+01    7.92691e-03    
1.80977e+01    7.56579e-03    
1.84058e+01    7.22039e-03    
1.87191e+01    6.89008e-03    
1.90377e+01    6.57423e-03    
1.93618e+01    6.27225e-03    
1.96914e+01    5.98357e-03    
2.00266e+01    5.70764e-03    
2.03675e+01    5.44393e-03    
2.07142e+01    5.19192e-03    
2.10668e+01    4.95114e-03    
2.14254e+01    4.72110e-03    
2.17901e+01    4.50134e-03    
2.21610e+01    4.29143e-03    
2.25383e+01    4.09095e-03    
2.29219e+01    3.89950e-03    
2.33121e+01    3.71669e-03    
2.37089e+01    3.54215e-03    
2.41125e+01    3.37553e-03    
2.45230e+01    3.21648e-03    
2.49404e+01    3.06467e-03    
2.53650e+01    2.91979e-03    
2.57967e+01    2.78153e-03    
2.62359e+01    2.64962e-03    
2.66825e+01    2.52376e-03    
2.71367e+01    2.40370e-03    
2.75986e+01    2.28917e-03    
2.80684e+01    2.17993e-03    
2.85462e+01    2.07575e-03    
2.90321e+01    1.97641e-03    
2.95263e+01    1.88168e-03    
3.00289e+01    1.79137e-03    
3.05401e+01    1.70526e-03    
3.10599e+01    1.62319e-03    
3.15887e+01    1.54495e-03    
3.21264e+01    1.47039e-03    
3.26732e+01    1.39932e-03    
3.32294e+01    1.33161e-03    
3.37951e+01    1.26708e-03    
3.43703e+01    1.20561e-03    
3.49554e+01    1.14704e-03    
3.55504e+01    1.09125e-03    
3.61556e+01    1.03810e-03    
3.67710e+01    9.87485e-04    
3.73970e+01    9.39276e-04    
3.80336e+01    8.93367e-04    
3.86810e+01    8.49650e-04    
3.93394e+01    8.08024e-04    
4.00091e+01    7.68393e-04    
4.06901e+01    7.30662e-04    
4.13828e+01    6.94744e-04    
4.20872e+01    6.60553e-04    
4.28036e+01    6.28010e-04    
4.35323e+01    5.97037e-04    
4.42733e+01    5.67561e-04    
4.50269e+01    5.39510e-04    
4.57934e+01    5.12817e-04    
4.65729e+01    4.87420e-04    
4.73657e+01    4.63256e-04    
4.81720e+01    4.40267e-04    
4.89920e+01    4.18397e-04    
4.98259e+01    3.97593e-04    
5.06741e+01    3.77805e-04    
5.15367e+01    3.58984e-04    
5.24140e+01    3.41083e-04    
5.33062e+01    3.24060e-04    
5.42136e+01    3.07871e-04    
5.51364e+01    2.92477e-04    
5.60750e+01    2.77840e-04    
5.70295e+01    2.63923e-04    
5.80003e+01    2.50691e-04    
5.89876e+01    2.38113e-04    
5.99917e+01    2.26155e-04    
6.10129e+01    2.14788e-04    
6.20515e+01    2.03984e-04    
6.31078e+01    1.93714e-04    
6.41820e+01    1.83954e-04    
6.52746e+01    1.74679e-04    
