# USINE V4.0
# File generated 13-05-2022 09:46:19
# Model1DKisoVc
# C
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.00751e-01    1.44827e-03    
1.02460e-01    1.52233e-03    
1.04198e-01    1.60016e-03    
1.05965e-01    1.68195e-03    
1.07763e-01    1.76790e-03    
1.09591e-01    1.85823e-03    
1.11450e-01    1.95314e-03    
1.13340e-01    2.05288e-03    
1.15263e-01    2.15769e-03    
1.17218e-01    2.26782e-03    
1.19206e-01    2.38355e-03    
1.21228e-01    2.50514e-03    
1.23285e-01    2.63291e-03    
1.25376e-01    2.76715e-03    
1.27503e-01    2.90820e-03    
1.29666e-01    3.05640e-03    
1.31865e-01    3.21211e-03    
1.34102e-01    3.37570e-03    
1.36377e-01    3.54756e-03    
1.38690e-01    3.72813e-03    
1.41043e-01    3.91782e-03    
1.43435e-01    4.11711e-03    
1.45868e-01    4.32646e-03    
1.48343e-01    4.54638e-03    
1.50859e-01    4.77741e-03    
1.53418e-01    5.02009e-03    
1.56020e-01    5.27501e-03    
1.58667e-01    5.54278e-03    
1.61358e-01    5.82403e-03    
1.64095e-01    6.11945e-03    
1.66879e-01    6.42973e-03    
1.69710e-01    6.75562e-03    
1.72588e-01    7.09790e-03    
1.75516e-01    7.45736e-03    
1.78493e-01    7.83488e-03    
1.81521e-01    8.23133e-03    
1.84600e-01    8.64767e-03    
1.87731e-01    9.08488e-03    
1.90916e-01    9.54398e-03    
1.94154e-01    1.00261e-02    
1.97448e-01    1.05323e-02    
2.00797e-01    1.10637e-02    
2.04203e-01    1.16216e-02    
2.07667e-01    1.22071e-02    
2.11190e-01    1.28216e-02    
2.14772e-01    1.34663e-02    
2.18415e-01    1.41428e-02    
2.22120e-01    1.48526e-02    
2.25888e-01    1.55972e-02    
2.29720e-01    1.63783e-02    
2.33616e-01    1.71976e-02    
2.37579e-01    1.80569e-02    
2.41609e-01    1.89580e-02    
2.45707e-01    1.99029e-02    
2.49875e-01    2.08937e-02    
2.54114e-01    2.19324e-02    
2.58424e-01    2.30212e-02    
2.62808e-01    2.41624e-02    
2.67266e-01    2.53585e-02    
2.71800e-01    2.66119e-02    
2.76410e-01    2.79252e-02    
2.81099e-01    2.93011e-02    
2.85867e-01    3.07423e-02    
2.90716e-01    3.22518e-02    
2.95647e-01    3.38326e-02    
3.00662e-01    3.54879e-02    
3.05763e-01    3.72207e-02    
3.10949e-01    3.90346e-02    
3.16224e-01    4.09331e-02    
3.21588e-01    4.29196e-02    
3.27043e-01    4.49980e-02    
3.32590e-01    4.71722e-02    
3.38232e-01    4.94461e-02    
3.43970e-01    5.18238e-02    
3.49804e-01    5.43097e-02    
3.55738e-01    5.69081e-02    
3.61772e-01    5.96236e-02    
3.67909e-01    6.24609e-02    
3.74150e-01    6.54247e-02    
3.80496e-01    6.85200e-02    
3.86951e-01    7.17519e-02    
3.93514e-01    7.51257e-02    
4.00190e-01    7.86466e-02    
4.06978e-01    8.23202e-02    
4.13881e-01    8.61521e-02    
4.20902e-01    9.01479e-02    
4.28042e-01    9.43137e-02    
4.35303e-01    9.86553e-02    
4.42686e-01    1.03179e-01    
4.50196e-01    1.07890e-01    
4.57832e-01    1.12796e-01    
4.65598e-01    1.17903e-01    
4.73496e-01    1.23217e-01    
4.81528e-01    1.28745e-01    
4.89696e-01    1.34492e-01    
4.98003e-01    1.40467e-01    
5.06450e-01    1.46675e-01    
5.15041e-01    1.53122e-01    
5.23778e-01    1.59817e-01    
5.32663e-01    1.66764e-01    
5.41698e-01    1.73972e-01    
5.50887e-01    1.81445e-01    
5.60231e-01    1.89190e-01    
5.69735e-01    1.97214e-01    
5.79399e-01    2.05523e-01    
5.89227e-01    2.14122e-01    
5.99222e-01    2.23018e-01    
6.09387e-01    2.32214e-01    
6.19724e-01    2.41718e-01    
6.30236e-01    2.51532e-01    
6.40926e-01    2.61663e-01    
6.51798e-01    2.72113e-01    
6.62855e-01    2.82887e-01    
6.74099e-01    2.93987e-01    
6.85533e-01    3.05417e-01    
6.97162e-01    3.17177e-01    
7.08988e-01    3.29271e-01    
7.21014e-01    3.41698e-01    
7.33245e-01    3.54458e-01    
7.45683e-01    3.67551e-01    
7.58331e-01    3.80976e-01    
7.71195e-01    3.94730e-01    
7.84277e-01    4.08810e-01    
7.97580e-01    4.23212e-01    
8.11109e-01    4.37931e-01    
8.24868e-01    4.52961e-01    
8.38860e-01    4.68295e-01    
8.53090e-01    4.83924e-01    
8.67560e-01    4.99840e-01    
8.82277e-01    5.16031e-01    
8.97243e-01    5.32487e-01    
9.12462e-01    5.49195e-01    
9.27940e-01    5.66140e-01    
9.43681e-01    5.83308e-01    
9.59688e-01    6.00681e-01    
9.75967e-01    6.18243e-01    
9.92523e-01    6.35975e-01    
1.00936e+00    6.53855e-01    
1.02648e+00    6.71864e-01    
1.04389e+00    6.89978e-01    
1.06160e+00    7.08174e-01    
1.07961e+00    7.26427e-01    
1.09792e+00    7.44712e-01    
1.11654e+00    7.63001e-01    
1.13548e+00    7.81266e-01    
1.15475e+00    7.99479e-01    
1.17433e+00    8.17610e-01    
1.19425e+00    8.35629e-01    
1.21451e+00    8.53505e-01    
1.23511e+00    8.71207e-01    
1.25606e+00    8.88703e-01    
1.27737e+00    9.05960e-01    
1.29904e+00    9.22947e-01    
1.32107e+00    9.39630e-01    
1.34348e+00    9.55978e-01    
1.36627e+00    9.71959e-01    
1.38945e+00    9.87541e-01    
1.41302e+00    1.00269e+00    
1.43699e+00    1.01738e+00    
1.46136e+00    1.03159e+00    
1.48615e+00    1.04527e+00    
1.51136e+00    1.05841e+00    
1.53700e+00    1.07098e+00    
1.56307e+00    1.08295e+00    
1.58958e+00    1.09431e+00    
1.61655e+00    1.10503e+00    
1.64397e+00    1.11509e+00    
1.67185e+00    1.12448e+00    
1.70021e+00    1.13317e+00    
1.72905e+00    1.14116e+00    
1.75838e+00    1.14844e+00    
1.78821e+00    1.15499e+00    
1.81854e+00    1.16081e+00    
1.84939e+00    1.16588e+00    
1.88076e+00    1.17021e+00    
1.91266e+00    1.17379e+00    
1.94511e+00    1.17662e+00    
1.97810e+00    1.17870e+00    
2.01166e+00    1.18002e+00    
2.04578e+00    1.18060e+00    
2.08048e+00    1.18044e+00    
2.11577e+00    1.17955e+00    
2.15166e+00    1.17793e+00    
2.18816e+00    1.17560e+00    
2.22528e+00    1.17256e+00    
2.26303e+00    1.16883e+00    
2.30141e+00    1.16444e+00    
2.34045e+00    1.15939e+00    
2.38015e+00    1.15371e+00    
2.42053e+00    1.14742e+00    
2.46159e+00    1.14054e+00    
2.50334e+00    1.13309e+00    
2.54581e+00    1.12509e+00    
2.58899e+00    1.11657e+00    
2.63291e+00    1.10755e+00    
2.67757e+00    1.09805e+00    
2.72299e+00    1.08810e+00    
2.76918e+00    1.07772e+00    
2.81615e+00    1.06691e+00    
2.86392e+00    1.05571e+00    
