# USINE V4.0
# File generated 13-05-2022 09:46:19
# Model1DKisoVc
# H
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
8.66398e-02    3.34974e-01    
8.80616e-02    3.51363e-01    
8.95068e-02    3.68547e-01    
9.09757e-02    3.86564e-01    
9.24687e-02    4.05453e-01    
9.39862e-02    4.25256e-01    
9.55286e-02    4.46018e-01    
9.70963e-02    4.67783e-01    
9.86898e-02    4.90599e-01    
1.00309e-01    5.14518e-01    
1.01956e-01    5.39590e-01    
1.03629e-01    5.65870e-01    
1.05329e-01    5.93417e-01    
1.07058e-01    6.22290e-01    
1.08815e-01    6.52552e-01    
1.10601e-01    6.84268e-01    
1.12416e-01    7.17508e-01    
1.14261e-01    7.52343e-01    
1.16136e-01    7.88849e-01    
1.18042e-01    8.27104e-01    
1.19979e-01    8.67190e-01    
1.21948e-01    9.09193e-01    
1.23949e-01    9.53204e-01    
1.25983e-01    9.99316e-01    
1.28051e-01    1.04763e+00    
1.30152e-01    1.09824e+00    
1.32288e-01    1.15127e+00    
1.34459e-01    1.20681e+00    
1.36666e-01    1.26500e+00    
1.38908e-01    1.32594e+00    
1.41188e-01    1.38978e+00    
1.43505e-01    1.45664e+00    
1.45860e-01    1.52667e+00    
1.48254e-01    1.60000e+00    
1.50687e-01    1.67680e+00    
1.53160e-01    1.75721e+00    
1.55673e-01    1.84142e+00    
1.58228e-01    1.92958e+00    
1.60825e-01    2.02189e+00    
1.63464e-01    2.11853e+00    
1.66147e-01    2.21970e+00    
1.68873e-01    2.32560e+00    
1.71645e-01    2.43645e+00    
1.74461e-01    2.55247e+00    
1.77325e-01    2.67390e+00    
1.80235e-01    2.80098e+00    
1.83192e-01    2.93397e+00    
1.86199e-01    3.07312e+00    
1.89255e-01    3.21872e+00    
1.92360e-01    3.37106e+00    
1.95517e-01    3.53043e+00    
1.98726e-01    3.69714e+00    
2.01987e-01    3.87150e+00    
2.05302e-01    4.05375e+00    
2.08671e-01    4.24419e+00    
