# USINE V4.0
# File generated 13-05-2022 09:46:20
# Model1DKisoVc
# K
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.31214e-02    6.32048e-06    
9.47110e-02    6.64743e-06    
9.63276e-02    6.99124e-06    
9.79719e-02    7.35278e-06    
9.96442e-02    7.73297e-06    
1.01345e-01    8.13276e-06    
1.03075e-01    8.55316e-06    
1.04834e-01    8.99523e-06    
1.06624e-01    9.46008e-06    
1.08444e-01    9.94887e-06    
1.10295e-01    1.04628e-05    
1.12178e-01    1.10033e-05    
1.14092e-01    1.15715e-05    
1.16040e-01    1.21690e-05    
1.18021e-01    1.27973e-05    
1.20035e-01    1.34579e-05    
1.22084e-01    1.41524e-05    
1.24168e-01    1.48827e-05    
1.26288e-01    1.56505e-05    
1.28443e-01    1.64577e-05    
1.30636e-01    1.73065e-05    
1.32866e-01    1.81988e-05    
1.35134e-01    1.91369e-05    
1.37440e-01    2.01232e-05    
1.39786e-01    2.11602e-05    
1.42172e-01    2.22503e-05    
1.44599e-01    2.33963e-05    
1.47067e-01    2.46011e-05    
1.49578e-01    2.58676e-05    
1.52131e-01    2.71991e-05    
1.54728e-01    2.85987e-05    
1.57369e-01    3.00700e-05    
1.60055e-01    3.16166e-05    
1.62787e-01    3.32423e-05    
1.65566e-01    3.49512e-05    
1.68392e-01    3.67475e-05    
1.71266e-01    3.86356e-05    
1.74190e-01    4.06201e-05    
1.77163e-01    4.27059e-05    
1.80187e-01    4.48982e-05    
1.83263e-01    4.72024e-05    
1.86391e-01    4.96241e-05    
1.89573e-01    5.21693e-05    
1.92808e-01    5.48441e-05    
1.96100e-01    5.76552e-05    
1.99447e-01    6.06093e-05    
2.02851e-01    6.37136e-05    
2.06314e-01    6.69749e-05    
2.09836e-01    7.04011e-05    
2.13417e-01    7.40003e-05    
2.17060e-01    7.77812e-05    
2.20765e-01    8.17525e-05    
2.24534e-01    8.59237e-05    
2.28366e-01    9.03047e-05    
2.32264e-01    9.49056e-05    
2.36229e-01    9.97372e-05    
2.40261e-01    1.04811e-04    
2.44363e-01    1.10138e-04    
2.48534e-01    1.15732e-04    
2.52776e-01    1.21604e-04    
2.57091e-01    1.27769e-04    
2.61479e-01    1.34240e-04    
2.65942e-01    1.41032e-04    
2.70482e-01    1.48161e-04    
2.75099e-01    1.55643e-04    
2.79795e-01    1.63494e-04    
2.84571e-01    1.71732e-04    
2.89428e-01    1.80375e-04    
2.94368e-01    1.89442e-04    
2.99393e-01    1.98953e-04    
3.04504e-01    2.08929e-04    
3.09701e-01    2.19392e-04    
3.14988e-01    2.30363e-04    
3.20364e-01    2.41867e-04    
3.25833e-01    2.53928e-04    
3.31395e-01    2.66571e-04    
3.37051e-01    2.79823e-04    
3.42805e-01    2.93712e-04    
3.48656e-01    3.08265e-04    
3.54608e-01    3.23514e-04    
3.60661e-01    3.39487e-04    
3.66817e-01    3.56219e-04    
3.73078e-01    3.73741e-04    
3.79446e-01    3.92089e-04    
3.85923e-01    4.11299e-04    
3.92511e-01    4.31406e-04    
3.99211e-01    4.52451e-04    
4.06025e-01    4.74472e-04    
4.12956e-01    4.97510e-04    
4.20005e-01    5.21608e-04    
4.27174e-01    5.46809e-04    
4.34466e-01    5.73159e-04    
4.41882e-01    6.00705e-04    
4.49424e-01    6.29493e-04    
4.57096e-01    6.59574e-04    
4.64898e-01    6.90998e-04    
4.72834e-01    7.23816e-04    
4.80905e-01    7.58083e-04    
4.89114e-01    7.93853e-04    
4.97462e-01    8.31182e-04    
5.05954e-01    8.70126e-04    
5.14590e-01    9.10745e-04    
5.23374e-01    9.53097e-04    
5.32308e-01    9.97243e-04    
5.41394e-01    1.04324e-03    
5.50635e-01    1.09116e-03    
5.60034e-01    1.14106e-03    
5.69594e-01    1.19301e-03    
5.79316e-01    1.24706e-03    
5.89205e-01    1.30328e-03    
5.99262e-01    1.36175e-03    
6.09491e-01    1.42251e-03    
6.19895e-01    1.48564e-03    
6.30476e-01    1.55120e-03    
6.41238e-01    1.61925e-03    
6.52184e-01    1.68986e-03    
6.63316e-01    1.76309e-03    
6.74639e-01    1.83899e-03    
6.86155e-01    1.91762e-03    
6.97867e-01    1.99905e-03    
7.09779e-01    2.08331e-03    
7.21895e-01    2.17047e-03    
7.34217e-01    2.26057e-03    
7.46750e-01    2.35365e-03    
7.59496e-01    2.44975e-03    
7.72460e-01    2.54891e-03    
7.85646e-01    2.65115e-03    
7.99056e-01    2.75649e-03    
8.12696e-01    2.86496e-03    
8.26568e-01    2.97657e-03    
8.40677e-01    3.09131e-03    
8.55027e-01    3.20918e-03    
8.69622e-01    3.33017e-03    
8.84466e-01    3.45426e-03    
8.99563e-01    3.58141e-03    
9.14918e-01    3.71158e-03    
9.30536e-01    3.84473e-03    
9.46419e-01    3.98078e-03    
9.62574e-01    4.11965e-03    
9.79005e-01    4.26127e-03    
9.95716e-01    4.40552e-03    
1.01271e+00    4.55230e-03    
