# USINE V4.0
# File generated 13-05-2022 09:46:19
# Model1DKisoVc
# LI
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
1.00854e-01    1.73332e-04    
1.02565e-01    1.82222e-04    
1.04305e-01    1.91566e-04    
1.06074e-01    2.01388e-04    
1.07873e-01    2.11711e-04    
1.09703e-01    2.22561e-04    
1.11563e-01    2.33966e-04    
1.13456e-01    2.45952e-04    
1.15380e-01    2.58550e-04    
1.17337e-01    2.71792e-04    
1.19327e-01    2.85708e-04    
1.21351e-01    3.00334e-04    
1.23410e-01    3.15705e-04    
1.25503e-01    3.31860e-04    
1.27632e-01    3.48838e-04    
1.29797e-01    3.66681e-04    
1.31998e-01    3.85432e-04    
1.34237e-01    4.05138e-04    
1.36514e-01    4.25846e-04    
1.38830e-01    4.47607e-04    
1.41184e-01    4.70475e-04    
1.43579e-01    4.94506e-04    
1.46015e-01    5.19757e-04    
1.48491e-01    5.46291e-04    
1.51010e-01    5.74172e-04    
1.53571e-01    6.03469e-04    
1.56176e-01    6.34252e-04    
1.58825e-01    6.66596e-04    
1.61519e-01    7.00579e-04    
1.64259e-01    7.36285e-04    
1.67045e-01    7.73800e-04    
1.69878e-01    8.13213e-04    
1.72760e-01    8.54622e-04    
1.75690e-01    8.98125e-04    
1.78670e-01    9.43828e-04    
1.81701e-01    9.91841e-04    
1.84783e-01    1.04228e-03    
1.87917e-01    1.09526e-03    
1.91104e-01    1.15092e-03    
1.94346e-01    1.20939e-03    
1.97642e-01    1.27080e-03    
2.00995e-01    1.33531e-03    
2.04404e-01    1.40305e-03    
2.07871e-01    1.47418e-03    
2.11397e-01    1.54887e-03    
2.14982e-01    1.62728e-03    
2.18629e-01    1.70960e-03    
2.22337e-01    1.79601e-03    
2.26108e-01    1.88672e-03    
2.29944e-01    1.98194e-03    
2.33844e-01    2.08187e-03    
2.37810e-01    2.18675e-03    
2.41844e-01    2.29681e-03    
2.45946e-01    2.41230e-03    
2.50118e-01    2.53348e-03    
2.54360e-01    2.66061e-03    
2.58675e-01    2.79399e-03    
2.63062e-01    2.93390e-03    
2.67524e-01    3.08066e-03    
2.72062e-01    3.23457e-03    
2.76677e-01    3.39599e-03    
2.81370e-01    3.56525e-03    
2.86142e-01    3.74272e-03    
2.90996e-01    3.92878e-03    
2.95931e-01    4.12382e-03    
3.00951e-01    4.32825e-03    
3.06056e-01    4.54251e-03    
3.11247e-01    4.76704e-03    
3.16526e-01    5.00229e-03    
3.21895e-01    5.24876e-03    
3.27355e-01    5.50695e-03    
3.32907e-01    5.77737e-03    
3.38554e-01    6.06056e-03    
3.44297e-01    6.35709e-03    
3.50137e-01    6.66755e-03    
3.56075e-01    6.99252e-03    
3.62115e-01    7.33265e-03    
3.68257e-01    7.68857e-03    
3.74504e-01    8.06097e-03    
3.80856e-01    8.45053e-03    
3.87316e-01    8.85798e-03    
3.93885e-01    9.28406e-03    
4.00566e-01    9.72954e-03    
4.07361e-01    1.01952e-02    
4.14270e-01    1.06819e-02    
4.21297e-01    1.11904e-02    
4.28443e-01    1.17216e-02    
4.35710e-01    1.22765e-02    
4.43101e-01    1.28559e-02    
4.50616e-01    1.34607e-02    
4.58260e-01    1.40920e-02    
4.66033e-01    1.47507e-02    
