# USINE V4.0
# File generated 13-05-2022 09:46:20
# Model1DKisoVc
# NA
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.02527e-02    2.20282e-05    
9.17978e-02    2.31693e-05    
9.33694e-02    2.43692e-05    
9.49679e-02    2.56311e-05    
9.65938e-02    2.69581e-05    
9.82475e-02    2.83536e-05    
9.99295e-02    2.98211e-05    
1.01640e-01    3.13642e-05    
1.03380e-01    3.29869e-05    
1.05150e-01    3.46933e-05    
1.06950e-01    3.64876e-05    
1.08781e-01    3.83743e-05    
1.10644e-01    4.03582e-05    
1.12538e-01    4.24442e-05    
1.14465e-01    4.46377e-05    
1.16424e-01    4.69440e-05    
1.18418e-01    4.93689e-05    
1.20445e-01    5.19186e-05    
1.22507e-01    5.45994e-05    
1.24604e-01    5.74180e-05    
1.26737e-01    6.03813e-05    
1.28907e-01    6.34969e-05    
1.31114e-01    6.67725e-05    
1.33359e-01    7.02163e-05    
1.35642e-01    7.38367e-05    
1.37964e-01    7.76429e-05    
1.40326e-01    8.16442e-05    
1.42729e-01    8.58506e-05    
1.45172e-01    9.02726e-05    
1.47657e-01    9.49210e-05    
1.50185e-01    9.98075e-05    
1.52757e-01    1.04944e-04    
1.55372e-01    1.10343e-04    
1.58032e-01    1.16019e-04    
1.60737e-01    1.21984e-04    
1.63489e-01    1.28255e-04    
1.66288e-01    1.34845e-04    
1.69135e-01    1.41772e-04    
1.72031e-01    1.49052e-04    
1.74976e-01    1.56704e-04    
1.77971e-01    1.64746e-04    
1.81018e-01    1.73197e-04    
1.84117e-01    1.82079e-04    
1.87269e-01    1.91412e-04    
1.90475e-01    2.01221e-04    
1.93736e-01    2.11528e-04    
1.97053e-01    2.22359e-04    
2.00427e-01    2.33740e-04    
2.03858e-01    2.45696e-04    
2.07348e-01    2.58255e-04    
2.10898e-01    2.71446e-04    
2.14509e-01    2.85299e-04    
2.18181e-01    2.99848e-04    
2.21916e-01    3.15126e-04    
2.25716e-01    3.31169e-04    
2.29580e-01    3.48014e-04    
2.33510e-01    3.65698e-04    
2.37508e-01    3.84264e-04    
2.41574e-01    4.03753e-04    
2.45710e-01    4.24210e-04    
2.49917e-01    4.45681e-04    
2.54195e-01    4.68213e-04    
2.58547e-01    4.91858e-04    
2.62973e-01    5.16668e-04    
2.67476e-01    5.42698e-04    
2.72055e-01    5.70005e-04    
2.76712e-01    5.98649e-04    
2.81450e-01    6.28693e-04    
2.86268e-01    6.60200e-04    
2.91169e-01    6.93239e-04    
2.96154e-01    7.27881e-04    
3.01224e-01    7.64197e-04    
3.06381e-01    8.02266e-04    
3.11626e-01    8.42165e-04    
3.16961e-01    8.83977e-04    
3.22388e-01    9.27789e-04    
3.27907e-01    9.73689e-04    
3.33521e-01    1.02177e-03    
3.39231e-01    1.07213e-03    
3.45039e-01    1.12486e-03    
3.50946e-01    1.18007e-03    
3.56954e-01    1.23787e-03    
3.63065e-01    1.29836e-03    
3.69281e-01    1.36167e-03    
3.75603e-01    1.42790e-03    
3.82033e-01    1.49719e-03    
3.88574e-01    1.56965e-03    
3.95226e-01    1.64543e-03    
4.01993e-01    1.72464e-03    
4.08875e-01    1.80743e-03    
4.15875e-01    1.89395e-03    
4.22994e-01    1.98434e-03    
4.30236e-01    2.07875e-03    
4.37602e-01    2.17733e-03    
4.45094e-01    2.28025e-03    
4.52714e-01    2.38766e-03    
4.60464e-01    2.49973e-03    
4.68347e-01    2.61663e-03    
4.76366e-01    2.73854e-03    
4.84521e-01    2.86562e-03    
4.92816e-01    2.99806e-03    
5.01253e-01    3.13604e-03    
5.09835e-01    3.27975e-03    
5.18563e-01    3.42937e-03    
5.27441e-01    3.58509e-03    
5.36471e-01    3.74709e-03    
5.45655e-01    3.91558e-03    
5.54997e-01    4.09074e-03    
5.64499e-01    4.27277e-03    
5.74163e-01    4.46186e-03    
5.83993e-01    4.65819e-03    
5.93991e-01    4.86196e-03    
6.04160e-01    5.07335e-03    
6.14503e-01    5.29255e-03    
6.25024e-01    5.51974e-03    
6.35724e-01    5.75509e-03    
6.46608e-01    5.99877e-03    
6.57678e-01    6.25095e-03    
6.68937e-01    6.51178e-03    
6.80390e-01    6.78141e-03    
6.92038e-01    7.05997e-03    
7.03886e-01    7.34760e-03    
7.15936e-01    7.64440e-03    
7.28193e-01    7.95047e-03    
7.40660e-01    8.26591e-03    
7.53340e-01    8.59079e-03    
7.66237e-01    8.92515e-03    
7.79356e-01    9.26903e-03    
7.92698e-01    9.62245e-03    
8.06269e-01    9.98540e-03    
8.20073e-01    1.03578e-02    
8.34112e-01    1.07397e-02    
8.48393e-01    1.11310e-02    
8.62917e-01    1.15315e-02    
8.77690e-01    1.19412e-02    
8.92717e-01    1.23598e-02    
9.08000e-01    1.27872e-02    
9.23545e-01    1.32232e-02    
9.39356e-01    1.36674e-02    
9.55438e-01    1.41196e-02    
9.71795e-01    1.45795e-02    
9.88433e-01    1.50467e-02    
1.00535e+00    1.55208e-02    
1.02257e+00    1.60013e-02    
1.04007e+00    1.64879e-02    
1.05788e+00    1.69799e-02    
1.07599e+00    1.74768e-02    
1.09441e+00    1.79781e-02    
1.11315e+00    1.84830e-02    
1.13221e+00    1.89910e-02    
1.15159e+00    1.95014e-02    
1.17130e+00    2.00133e-02    
1.19136e+00    2.05260e-02    
1.21175e+00    2.10388e-02    
1.23250e+00    2.15507e-02    
1.25360e+00    2.20608e-02    
1.27506e+00    2.25684e-02    
1.29689e+00    2.30723e-02    
1.31909e+00    2.35718e-02    
1.34168e+00    2.40657e-02    
1.36465e+00    2.45532e-02    
1.38801e+00    2.50333e-02    
1.41177e+00    2.55048e-02    
1.43594e+00    2.59669e-02    
1.46052e+00    2.64186e-02    
1.48553e+00    2.68588e-02    
1.51096e+00    2.72866e-02    
1.53683e+00    2.77012e-02    
1.56314e+00    2.81016e-02    
1.58990e+00    2.84869e-02    
1.61712e+00    2.88564e-02    
1.64481e+00    2.92093e-02    
1.67296e+00    2.95450e-02    
1.70161e+00    2.98627e-02    
1.73074e+00    3.01618e-02    
1.76037e+00    3.04418e-02    
1.79051e+00    3.07022e-02    
1.82116e+00    3.09424e-02    
1.85234e+00    3.11621e-02    
1.88405e+00    3.13607e-02    
1.91631e+00    3.15381e-02    
1.94911e+00    3.16939e-02    
1.98248e+00    3.18276e-02    
2.01642e+00    3.19391e-02    
2.05094e+00    3.20281e-02    
2.08606e+00    3.20945e-02    
2.12177e+00    3.21382e-02    
2.15809e+00    3.21593e-02    
2.19504e+00    3.21577e-02    
2.23262e+00    3.21338e-02    
2.27084e+00    3.20877e-02    
2.30972e+00    3.20199e-02    
2.34926e+00    3.19308e-02    
2.38948e+00    3.18212e-02    
2.43039e+00    3.16916e-02    
2.47200e+00    3.15429e-02    
2.51432e+00    3.13759e-02    
2.55737e+00    3.11912e-02    
2.60115e+00    3.09898e-02    
2.64568e+00    3.07724e-02    
2.69098e+00    3.05398e-02    
2.73705e+00    3.02926e-02    
2.78390e+00    3.00315e-02    
2.83156e+00    2.97570e-02    
2.88004e+00    2.94697e-02    
2.92935e+00    2.91699e-02    
2.97950e+00    2.88581e-02    
3.03051e+00    2.85343e-02    
3.08239e+00    2.81987e-02    
3.13516e+00    2.78515e-02    
3.18884e+00    2.74925e-02    
3.24343e+00    2.71216e-02    
3.29896e+00    2.67385e-02    
3.35544e+00    2.63431e-02    
3.41288e+00    2.59350e-02    
3.47131e+00    2.55141e-02    
3.53074e+00    2.50805e-02    
3.59119e+00    2.46343e-02    
3.65267e+00    2.41763e-02    
3.71520e+00    2.37075e-02    
3.77881e+00    2.32291e-02    
3.84350e+00    2.27428e-02    
3.90930e+00    2.22505e-02    
3.97623e+00    2.17541e-02    
4.04430e+00    2.12552e-02    
4.11354e+00    2.07556e-02    
4.18397e+00    2.02567e-02    
4.25560e+00    1.97599e-02    
4.32845e+00    1.92660e-02    
4.40256e+00    1.87758e-02    
4.47793e+00    1.82902e-02    
4.55459e+00    1.78095e-02    
4.63257e+00    1.73343e-02    
4.71188e+00    1.68650e-02    
4.79254e+00    1.64019e-02    
4.87459e+00    1.59453e-02    
4.95805e+00    1.54953e-02    
5.04293e+00    1.50523e-02    
5.12926e+00    1.46163e-02    
5.21708e+00    1.41875e-02    
5.30640e+00    1.37660e-02    
5.39724e+00    1.33519e-02    
5.48964e+00    1.29454e-02    
5.58363e+00    1.25466e-02    
5.67922e+00    1.21555e-02    
5.77645e+00    1.17721e-02    
5.87534e+00    1.13967e-02    
5.97593e+00    1.10291e-02    
6.07824e+00    1.06695e-02    
6.18230e+00    1.03179e-02    
6.28814e+00    9.97429e-03    
6.39579e+00    9.63868e-03    
6.50529e+00    9.31108e-03    
6.61666e+00    8.99147e-03    
6.72994e+00    8.67984e-03    
6.84516e+00    8.37617e-03    
6.96235e+00    8.08042e-03    
7.08154e+00    7.79256e-03    
7.20278e+00    7.51257e-03    
7.32609e+00    7.24039e-03    
7.45151e+00    6.97600e-03    
7.57909e+00    6.71932e-03    
7.70884e+00    6.47031e-03    
7.84082e+00    6.22889e-03    
7.97505e+00    5.99497e-03    
8.11159e+00    5.76846e-03    
8.25046e+00    5.54927e-03    
8.39171e+00    5.33729e-03    
8.53537e+00    5.13245e-03    
8.68150e+00    4.93464e-03    
8.83013e+00    4.74380e-03    
8.98130e+00    4.55979e-03    
9.13506e+00    4.38252e-03    
9.29146e+00    4.21183e-03    
9.45053e+00    4.04758e-03    
9.61232e+00    3.88960e-03    
9.77689e+00    3.73771e-03    
9.94427e+00    3.59169e-03    
1.01145e+01    3.45127e-03    
1.02877e+01    3.31619e-03    
1.04638e+01    3.18619e-03    
1.06429e+01    3.06104e-03    
1.08252e+01    2.94050e-03    
1.10105e+01    2.82438e-03    
1.11990e+01    2.71247e-03    
1.13907e+01    2.60461e-03    
1.15857e+01    2.50063e-03    
1.17841e+01    2.40041e-03    
1.19858e+01    2.30385e-03    
1.21910e+01    2.21084e-03    
1.23997e+01    2.12128e-03    
1.26120e+01    2.03507e-03    
1.28279e+01    1.95210e-03    
1.30475e+01    1.87229e-03    
1.32709e+01    1.79552e-03    
1.34981e+01    1.72170e-03    
1.37292e+01    1.65074e-03    
1.39643e+01    1.58252e-03    
1.42033e+01    1.51695e-03    
1.44465e+01    1.45394e-03    
1.46938e+01    1.39337e-03    
1.49454e+01    1.33518e-03    
1.52012e+01    1.27928e-03    
1.54615e+01    1.22557e-03    
1.57262e+01    1.17399e-03    
1.59954e+01    1.12445e-03    
1.62693e+01    1.07689e-03    
1.65478e+01    1.03122e-03    
1.68311e+01    9.87379e-04    
1.71192e+01    9.45303e-04    
1.74123e+01    9.04926e-04    
1.77104e+01    8.66183e-04    
1.80136e+01    8.29015e-04    
1.83220e+01    7.93362e-04    
1.86357e+01    7.59167e-04    
1.89548e+01    7.26376e-04    
1.92793e+01    6.94933e-04    
1.96093e+01    6.64789e-04    
1.99450e+01    6.35894e-04    
2.02865e+01    6.08198e-04    
2.06338e+01    5.81656e-04    
2.09871e+01    5.56223e-04    
2.13464e+01    5.31857e-04    
2.17118e+01    5.08516e-04    
2.20835e+01    4.86161e-04    
2.24616e+01    4.64750e-04    
2.28461e+01    4.44245e-04    
2.32373e+01    4.24608e-04    
2.36351e+01    4.05804e-04    
2.40397e+01    3.87802e-04    
2.44513e+01    3.70567e-04    
2.48699e+01    3.54069e-04    
2.52957e+01    3.38279e-04    
2.57287e+01    3.23167e-04    
2.61692e+01    3.08706e-04    
2.66172e+01    2.94869e-04    
2.70729e+01    2.81631e-04    
2.75364e+01    2.68966e-04    
2.80079e+01    2.56852e-04    
2.84874e+01    2.45265e-04    
2.89751e+01    2.34183e-04    
2.94711e+01    2.23586e-04    
2.99757e+01    2.13453e-04    
3.04889e+01    2.03765e-04    
3.10108e+01    1.94502e-04    
3.15417e+01    1.85648e-04    
3.20817e+01    1.77184e-04    
3.26310e+01    1.69095e-04    
3.31896e+01    1.61364e-04    
3.37578e+01    1.53976e-04    
3.43358e+01    1.46917e-04    
3.49236e+01    1.40172e-04    
3.55215e+01    1.33728e-04    
3.61296e+01    1.27572e-04    
3.67482e+01    1.21692e-04    
3.73773e+01    1.16075e-04    
3.80172e+01    1.10711e-04    
3.86681e+01    1.05588e-04    
3.93301e+01    1.00696e-04    
4.00034e+01    9.60252e-05    
4.06883e+01    9.15653e-05    
4.13849e+01    8.73074e-05    
4.20934e+01    8.32426e-05    
4.28140e+01    7.93624e-05    
4.35470e+01    7.56587e-05    
4.42925e+01    7.21238e-05    
4.50508e+01    6.87502e-05    
4.58221e+01    6.55307e-05    
4.66066e+01    6.24586e-05    
4.74045e+01    5.95272e-05    
4.82161e+01    5.67304e-05    
4.90415e+01    5.40621e-05    
4.98811e+01    5.15165e-05    
5.07351e+01    4.90883e-05    
5.16037e+01    4.67720e-05    
5.24872e+01    4.45628e-05    
5.33857e+01    4.24558e-05    
5.42997e+01    4.04464e-05    
5.52293e+01    3.85302e-05    
5.61749e+01    3.67029e-05    
5.71366e+01    3.49606e-05    
5.81148e+01    3.32995e-05    
5.91097e+01    3.17157e-05    
6.01217e+01    3.02059e-05    
6.11510e+01    2.87666e-05    
6.21979e+01    2.73946e-05    
6.32627e+01    2.60868e-05    
6.43458e+01    2.48404e-05    
6.54474e+01    2.36525e-05    
6.65678e+01    2.25204e-05    
6.77075e+01    2.14416e-05    
6.88667e+01    2.04135e-05    
7.00457e+01    1.94340e-05    
7.12449e+01    1.85006e-05    
7.24646e+01    1.76114e-05    
7.37052e+01    1.67642e-05    
7.49670e+01    1.59572e-05    
7.62505e+01    1.51884e-05    
7.75559e+01    1.44560e-05    
7.88836e+01    1.37585e-05    
8.02341e+01    1.30941e-05    
8.16078e+01    1.24613e-05    
8.30049e+01    1.18587e-05    
8.44260e+01    1.12848e-05    
8.58713e+01    1.07382e-05    
8.73415e+01    1.02178e-05    
8.88368e+01    9.72234e-06    
9.03577e+01    9.25054e-06    
9.19046e+01    8.80135e-06    
9.34780e+01    8.37369e-06    
9.50784e+01    7.96657e-06    
9.67061e+01    7.57900e-06    
9.83617e+01    7.21007e-06    
1.00046e+02    6.85890e-06    
1.01758e+02    6.52465e-06    
1.03501e+02    6.20651e-06    
1.05273e+02    5.90372e-06    
1.07075e+02    5.61556e-06    
1.08908e+02    5.34133e-06    
1.10772e+02    5.08037e-06    
1.12669e+02    4.83205e-06    
1.14598e+02    4.59576e-06    
1.16560e+02    4.37094e-06    
1.18555e+02    4.15703e-06    
1.20585e+02    3.95352e-06    
1.22649e+02    3.75990e-06    
1.24749e+02    3.57571e-06    
1.26885e+02    3.40050e-06    
1.29057e+02    3.23382e-06    
1.31267e+02    3.07529e-06    
1.33514e+02    2.92449e-06    
1.35800e+02    2.78107e-06    
1.38125e+02    2.64466e-06    
1.40489e+02    2.51494e-06    
1.42895e+02    2.39157e-06    
1.45341e+02    2.27425e-06    
