# USINE V4.0
# File generated 13-05-2022 09:46:20
# Model1DKisoVc
# P
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
8.91884e-02    4.14424e-06    
9.07153e-02    4.35912e-06    
9.22684e-02    4.58511e-06    
9.38480e-02    4.82278e-06    
9.54548e-02    5.07274e-06    
9.70890e-02    5.33561e-06    
9.87512e-02    5.61206e-06    
1.00442e-01    5.90279e-06    
1.02161e-01    6.20853e-06    
1.03910e-01    6.53005e-06    
1.05689e-01    6.86817e-06    
1.07499e-01    7.22373e-06    
1.09339e-01    7.59764e-06    
1.11211e-01    7.99083e-06    
1.13115e-01    8.40430e-06    
1.15052e-01    8.83907e-06    
1.17021e-01    9.29626e-06    
1.19025e-01    9.77699e-06    
1.21063e-01    1.02825e-05    
1.23135e-01    1.08140e-05    
1.25243e-01    1.13729e-05    
1.27388e-01    1.19606e-05    
1.29569e-01    1.25784e-05    
1.31787e-01    1.32281e-05    
1.34043e-01    1.39112e-05    
1.36338e-01    1.46293e-05    
1.38672e-01    1.53844e-05    
1.41046e-01    1.61782e-05    
1.43461e-01    1.70129e-05    
1.45917e-01    1.78903e-05    
1.48415e-01    1.88128e-05    
1.50956e-01    1.97826e-05    
1.53541e-01    2.08021e-05    
1.56169e-01    2.18739e-05    
1.58843e-01    2.30005e-05    
1.61562e-01    2.41849e-05    
1.64328e-01    2.54299e-05    
1.67142e-01    2.67386e-05    
1.70003e-01    2.81143e-05    
1.72914e-01    2.95603e-05    
1.75874e-01    3.10801e-05    
1.78885e-01    3.26776e-05    
1.81948e-01    3.43567e-05    
1.85063e-01    3.61215e-05    
1.88231e-01    3.79762e-05    
1.91454e-01    3.99256e-05    
1.94731e-01    4.19742e-05    
1.98065e-01    4.41272e-05    
2.01456e-01    4.63898e-05    
2.04905e-01    4.87669e-05    
2.08413e-01    5.12641e-05    
2.11981e-01    5.38874e-05    
2.15610e-01    5.66430e-05    
2.19302e-01    5.95373e-05    
2.23056e-01    6.25772e-05    
2.26875e-01    6.57698e-05    
2.30759e-01    6.91225e-05    
2.34710e-01    7.26432e-05    
2.38728e-01    7.63400e-05    
2.42815e-01    8.02213e-05    
2.46972e-01    8.42962e-05    
2.51201e-01    8.85739e-05    
2.55501e-01    9.30642e-05    
2.59876e-01    9.77773e-05    
2.64325e-01    1.02724e-04    
2.68850e-01    1.07915e-04    
2.73453e-01    1.13362e-04    
2.78134e-01    1.19077e-04    
2.82896e-01    1.25073e-04    
2.87739e-01    1.31362e-04    
2.92666e-01    1.37960e-04    
2.97676e-01    1.44879e-04    
3.02772e-01    1.52136e-04    
3.07956e-01    1.59744e-04    
3.13228e-01    1.67721e-04    
3.18591e-01    1.76084e-04    
3.24045e-01    1.84849e-04    
3.29593e-01    1.94036e-04    
3.35236e-01    2.03663e-04    
3.40975e-01    2.13749e-04    
3.46813e-01    2.24315e-04    
3.52750e-01    2.35382e-04    
3.58789e-01    2.46973e-04    
3.64932e-01    2.59110e-04    
3.71180e-01    2.71817e-04    
3.77535e-01    2.85117e-04    
3.83998e-01    2.99038e-04    
3.90572e-01    3.13604e-04    
3.97259e-01    3.28842e-04    
4.04060e-01    3.44782e-04    
4.10978e-01    3.61451e-04    
4.18014e-01    3.78880e-04    
4.25170e-01    3.97099e-04    
4.32449e-01    4.16140e-04    
4.39853e-01    4.36035e-04    
4.47384e-01    4.56818e-04    
4.55043e-01    4.78523e-04    
4.62833e-01    5.01186e-04    
4.70757e-01    5.24842e-04    
4.78817e-01    5.49529e-04    
4.87014e-01    5.75284e-04    
4.95352e-01    6.02146e-04    
5.03833e-01    6.30154e-04    
5.12459e-01    6.59348e-04    
5.21232e-01    6.89769e-04    
5.30156e-01    7.21458e-04    
5.39232e-01    7.54458e-04    
5.48464e-01    7.88810e-04    
5.57854e-01    8.24557e-04    
5.67404e-01    8.61742e-04    
5.77119e-01    9.00409e-04    
5.86999e-01    9.40600e-04    
5.97049e-01    9.82360e-04    
6.07270e-01    1.02573e-03    
6.17667e-01    1.07075e-03    
6.28242e-01    1.11748e-03    
6.38997e-01    1.16593e-03    
6.49937e-01    1.21617e-03    
6.61064e-01    1.26823e-03    
6.72382e-01    1.32214e-03    
6.83893e-01    1.37795e-03    
6.95602e-01    1.43570e-03    
7.07511e-01    1.49540e-03    
7.19624e-01    1.55711e-03    
7.31944e-01    1.62084e-03    
7.44475e-01    1.68663e-03    
7.57221e-01    1.75449e-03    
7.70185e-01    1.82445e-03    
7.83370e-01    1.89653e-03    
7.96782e-01    1.97074e-03    
8.10423e-01    2.04710e-03    
8.24298e-01    2.12559e-03    
8.38410e-01    2.20624e-03    
8.52764e-01    2.28903e-03    
8.67363e-01    2.37395e-03    
8.82213e-01    2.46100e-03    
8.97317e-01    2.55014e-03    
9.12679e-01    2.64135e-03    
9.28305e-01    2.73460e-03    
9.44197e-01    2.82984e-03    
9.60362e-01    2.92703e-03    
9.76804e-01    3.02611e-03    
9.93527e-01    3.12702e-03    
1.01054e+00    3.22969e-03    
1.02784e+00    3.33402e-03    
1.04543e+00    3.43995e-03    
1.06333e+00    3.54736e-03    
1.08154e+00    3.65615e-03    
1.10005e+00    3.76620e-03    
1.11889e+00    3.87739e-03    
1.13804e+00    3.98957e-03    
1.15753e+00    4.10261e-03    
1.17734e+00    4.21633e-03    
1.19750e+00    4.33058e-03    
1.21800e+00    4.44516e-03    
1.23885e+00    4.55990e-03    
1.26006e+00    4.67459e-03    
1.28164e+00    4.78902e-03    
1.30358e+00    4.90298e-03    
1.32590e+00    5.01625e-03    
1.34860e+00    5.12859e-03    
1.37168e+00    5.23978e-03    
1.39517e+00    5.34956e-03    
1.41905e+00    5.45771e-03    
1.44335e+00    5.56397e-03    
1.46806e+00    5.66810e-03    
1.49319e+00    5.76987e-03    
1.51876e+00    5.86903e-03    
1.54476e+00    5.96535e-03    
1.57120e+00    6.05862e-03    
1.59810e+00    6.14862e-03    
1.62546e+00    6.23514e-03    
1.65329e+00    6.31799e-03    
1.68160e+00    6.39696e-03    
1.71039e+00    6.47188e-03    
1.73967e+00    6.54257e-03    
1.76945e+00    6.60884e-03    
1.79975e+00    6.67055e-03    
1.83056e+00    6.72753e-03    
1.86190e+00    6.77963e-03    
1.89378e+00    6.82670e-03    
1.92620e+00    6.86859e-03    
1.95917e+00    6.90516e-03    
1.99272e+00    6.93627e-03    
2.02683e+00    6.96180e-03    
2.06153e+00    6.98167e-03    
2.09683e+00    6.99579e-03    
2.13273e+00    7.00413e-03    
2.16924e+00    7.00665e-03    
2.20638e+00    7.00338e-03    
2.24415e+00    6.99435e-03    
2.28257e+00    6.97964e-03    
2.32165e+00    6.95938e-03    
2.36140e+00    6.93376e-03    
2.40182e+00    6.90295e-03    
2.44294e+00    6.86718e-03    
2.48477e+00    6.82664e-03    
2.52731e+00    6.78157e-03    
2.57058e+00    6.73217e-03    
2.61459e+00    6.67867e-03    
2.65935e+00    6.62128e-03    
2.70488e+00    6.56018e-03    
2.75119e+00    6.49557e-03    
2.79829e+00    6.42762e-03    
2.84619e+00    6.35647e-03    
2.89492e+00    6.28225e-03    
2.94448e+00    6.20512e-03    
2.99489e+00    6.12517e-03    
3.04617e+00    6.04253e-03    
3.09832e+00    5.95729e-03    
3.15136e+00    5.86956e-03    
3.20532e+00    5.77941e-03    
3.26019e+00    5.68694e-03    
3.31601e+00    5.59224e-03    
3.37278e+00    5.49541e-03    
3.43052e+00    5.39656e-03    
3.48925e+00    5.29583e-03    
3.54899e+00    5.19340e-03    
3.60975e+00    5.08946e-03    
3.67155e+00    4.98427e-03    
3.73441e+00    4.87809e-03    
3.79834e+00    4.77124e-03    
3.86337e+00    4.66403e-03    
3.92951e+00    4.55673e-03    
3.99679e+00    4.44962e-03    
4.06522e+00    4.34295e-03    
4.13481e+00    4.23693e-03    
4.20560e+00    4.13173e-03    
4.27760e+00    4.02748e-03    
4.35084e+00    3.92431e-03    
4.42533e+00    3.82228e-03    
4.50109e+00    3.72149e-03    
4.57815e+00    3.62198e-03    
4.65653e+00    3.52382e-03    
4.73625e+00    3.42705e-03    
4.81734e+00    3.33169e-03    
4.89981e+00    3.23779e-03    
4.98370e+00    3.14537e-03    
5.06902e+00    3.05445e-03    
5.15580e+00    2.96506e-03    
5.24407e+00    2.87720e-03    
5.33385e+00    2.79091e-03    
5.42517e+00    2.70619e-03    
5.51805e+00    2.62305e-03    
5.61252e+00    2.54152e-03    
5.70861e+00    2.46159e-03    
5.80634e+00    2.38327e-03    
5.90575e+00    2.30658e-03    
6.00686e+00    2.23151e-03    
6.10970e+00    2.15808e-03    
6.21430e+00    2.08628e-03    
6.32069e+00    2.01612e-03    
6.42890e+00    1.94762e-03    
6.53896e+00    1.88076e-03    
6.65091e+00    1.81555e-03    
6.76478e+00    1.75198e-03    
6.88059e+00    1.69006e-03    
6.99839e+00    1.62978e-03    
7.11821e+00    1.57114e-03    
7.24007e+00    1.51413e-03    
7.36403e+00    1.45876e-03    
7.49010e+00    1.40500e-03    
7.61833e+00    1.35286e-03    
7.74876e+00    1.30231e-03    
7.88142e+00    1.25335e-03    
8.01636e+00    1.20595e-03    
8.15360e+00    1.16010e-03    
8.29319e+00    1.11579e-03    
8.43517e+00    1.07299e-03    
8.57959e+00    1.03170e-03    
8.72647e+00    9.91894e-04    
8.87587e+00    9.53556e-04    
9.02783e+00    9.16658e-04    
9.18239e+00    8.81169e-04    
9.33959e+00    8.47054e-04    
9.49949e+00    8.14275e-04    
9.66213e+00    7.82785e-04    
9.82754e+00    7.52532e-04    
9.99580e+00    7.23451e-04    
1.01669e+01    6.95481e-04    
1.03410e+01    6.68563e-04    
1.05180e+01    6.42645e-04    
1.06981e+01    6.17676e-04    
1.08813e+01    5.93611e-04    
1.10675e+01    5.70408e-04    
1.12570e+01    5.48031e-04    
1.14498e+01    5.26447e-04    
1.16458e+01    5.05631e-04    
1.18452e+01    4.85563e-04    
1.20479e+01    4.66222e-04    
1.22542e+01    4.47588e-04    
1.24640e+01    4.29638e-04    
1.26774e+01    4.12354e-04    
1.28944e+01    3.95716e-04    
1.31152e+01    3.79702e-04    
1.33397e+01    3.64294e-04    
1.35681e+01    3.49470e-04    
1.38004e+01    3.35212e-04    
1.40367e+01    3.21498e-04    
1.42770e+01    3.08309e-04    
1.45214e+01    2.95627e-04    
1.47700e+01    2.83432e-04    
1.50229e+01    2.71710e-04    
1.52801e+01    2.60442e-04    
1.55417e+01    2.49613e-04    
1.58078e+01    2.39207e-04    
1.60784e+01    2.29208e-04    
1.63537e+01    2.19604e-04    
1.66336e+01    2.10379e-04    
1.69184e+01    2.01519e-04    
1.72081e+01    1.93013e-04    
1.75027e+01    1.84846e-04    
1.78023e+01    1.77007e-04    
1.81071e+01    1.69482e-04    
1.84171e+01    1.62262e-04    
