# USINE V4.0
# File generated 13-05-2022 09:46:21
# Model1DKisoVc
# TI
# SolMod0DFF_phi0_770GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.80684e-02    1.56309e-05    
9.97346e-02    1.64343e-05    
1.01429e-01    1.72788e-05    
1.03152e-01    1.81665e-05    
1.04905e-01    1.90997e-05    
1.06687e-01    2.00807e-05    
1.08500e-01    2.11119e-05    
1.10344e-01    2.21959e-05    
1.12218e-01    2.33352e-05    
1.14125e-01    2.45329e-05    
1.16064e-01    2.57918e-05    
1.18036e-01    2.71150e-05    
1.20041e-01    2.85058e-05    
1.22081e-01    2.99677e-05    
1.24155e-01    3.15043e-05    
1.26265e-01    3.31193e-05    
1.28410e-01    3.48167e-05    
1.30592e-01    3.66007e-05    
1.32810e-01    3.84757e-05    
1.35067e-01    4.04463e-05    
1.37362e-01    4.25174e-05    
1.39695e-01    4.46940e-05    
1.42069e-01    4.69815e-05    
1.44483e-01    4.93854e-05    
1.46938e-01    5.19117e-05    
1.49434e-01    5.45666e-05    
1.51973e-01    5.73565e-05    
1.54555e-01    6.02883e-05    
1.57181e-01    6.33691e-05    
1.59852e-01    6.66064e-05    
1.62567e-01    7.00081e-05    
1.65330e-01    7.35825e-05    
1.68139e-01    7.73383e-05    
1.70995e-01    8.12846e-05    
1.73901e-01    8.54309e-05    
1.76855e-01    8.97874e-05    
1.79860e-01    9.43645e-05    
1.82916e-01    9.91734e-05    
1.86024e-01    1.04226e-04    
1.89184e-01    1.09533e-04    
1.92399e-01    1.15109e-04    
1.95667e-01    1.20967e-04    
1.98992e-01    1.27121e-04    
2.02373e-01    1.33585e-04    
2.05811e-01    1.40373e-04    
2.09308e-01    1.47501e-04    
2.12864e-01    1.54986e-04    
2.16481e-01    1.62845e-04    
2.20159e-01    1.71096e-04    
2.23900e-01    1.79758e-04    
2.27704e-01    1.88851e-04    
2.31572e-01    1.98397e-04    
2.35507e-01    2.08416e-04    
2.39508e-01    2.18932e-04    
2.43578e-01    2.29968e-04    
2.47716e-01    2.41549e-04    
2.51925e-01    2.53701e-04    
2.56205e-01    2.66452e-04    
2.60558e-01    2.79829e-04    
2.64985e-01    2.93862e-04    
2.69487e-01    3.08582e-04    
2.74066e-01    3.24021e-04    
2.78722e-01    3.40213e-04    
2.83458e-01    3.57193e-04    
2.88274e-01    3.74997e-04    
2.93172e-01    3.93663e-04    
2.98153e-01    4.13231e-04    
3.03219e-01    4.33742e-04    
3.08370e-01    4.55238e-04    
3.13610e-01    4.77766e-04    
3.18938e-01    5.01370e-04    
3.24357e-01    5.26100e-04    
3.29868e-01    5.52005e-04    
3.35472e-01    5.79137e-04    
3.41172e-01    6.07551e-04    
3.46969e-01    6.37303e-04    
3.52864e-01    6.68450e-04    
3.58859e-01    7.01054e-04    
3.64956e-01    7.35176e-04    
3.71157e-01    7.70881e-04    
3.77463e-01    8.08236e-04    
3.83876e-01    8.47311e-04    
3.90399e-01    8.88177e-04    
3.97032e-01    9.30907e-04    
4.03777e-01    9.75577e-04    
4.10638e-01    1.02227e-03    
4.17614e-01    1.07106e-03    
4.24710e-01    1.12203e-03    
4.31926e-01    1.17527e-03    
4.39264e-01    1.23087e-03    
4.46728e-01    1.28891e-03    
4.54318e-01    1.34950e-03    
4.62037e-01    1.41271e-03    
4.69887e-01    1.47866e-03    
4.77870e-01    1.54744e-03    
4.85989e-01    1.61914e-03    
4.94247e-01    1.69388e-03    
5.02644e-01    1.77176e-03    
5.11184e-01    1.85287e-03    
5.19869e-01    1.93734e-03    
5.28702e-01    2.02527e-03    
5.37685e-01    2.11676e-03    
5.46820e-01    2.21194e-03    
5.56111e-01    2.31090e-03    
5.65559e-01    2.41377e-03    
5.75168e-01    2.52064e-03    
5.84941e-01    2.63164e-03    
5.94879e-01    2.74688e-03    
6.04986e-01    2.86645e-03    
6.15265e-01    2.99048e-03    
6.25719e-01    3.11906e-03    
6.36350e-01    3.25230e-03    
6.47162e-01    3.39029e-03    
6.58157e-01    3.53314e-03    
6.69339e-01    3.68094e-03    
6.80712e-01    3.83377e-03    
6.92277e-01    3.99171e-03    
7.04039e-01    4.15485e-03    
7.16001e-01    4.32324e-03    
7.28166e-01    4.49695e-03    
7.40538e-01    4.67603e-03    
7.53120e-01    4.86053e-03    
7.65916e-01    5.05047e-03    
7.78929e-01    5.24588e-03    
7.92163e-01    5.44676e-03    
8.05622e-01    5.65312e-03    
8.19310e-01    5.86492e-03    
8.33230e-01    6.08215e-03    
8.47387e-01    6.30475e-03    
8.61784e-01    6.53265e-03    
8.76426e-01    6.76578e-03    
8.91317e-01    7.00402e-03    
9.06461e-01    7.24726e-03    
9.21862e-01    7.49534e-03    
9.37525e-01    7.74812e-03    
9.53454e-01    8.00539e-03    
9.69653e-01    8.26696e-03    
9.86128e-01    8.53258e-03    
1.00288e+00    8.80199e-03    
1.01992e+00    9.07491e-03    
1.03725e+00    9.35103e-03    
1.05487e+00    9.63002e-03    
1.07280e+00    9.91151e-03    
1.09102e+00    1.01951e-02    
1.10956e+00    1.04804e-02    
1.12841e+00    1.07670e-02    
1.14758e+00    1.10544e-02    
1.16708e+00    1.13421e-02    
1.18691e+00    1.16295e-02    
1.20708e+00    1.19163e-02    
1.22759e+00    1.22017e-02    
1.24844e+00    1.24852e-02    
1.26965e+00    1.27663e-02    
1.29123e+00    1.30443e-02    
1.31316e+00    1.33185e-02    
1.33548e+00    1.35884e-02    
1.35817e+00    1.38532e-02    
1.38124e+00    1.41123e-02    
1.40471e+00    1.43651e-02    
1.42858e+00    1.46108e-02    
1.45285e+00    1.48488e-02    
1.47753e+00    1.50784e-02    
1.50264e+00    1.52989e-02    
1.52817e+00    1.55097e-02    
1.55413e+00    1.57102e-02    
1.58054e+00    1.58998e-02    
1.60739e+00    1.60778e-02    
1.63470e+00    1.62436e-02    
1.66247e+00    1.63969e-02    
1.69072e+00    1.65370e-02    
1.71944e+00    1.66635e-02    
1.74866e+00    1.67760e-02    
1.77837e+00    1.68742e-02    
1.80858e+00    1.69577e-02    
1.83931e+00    1.70263e-02    
1.87056e+00    1.70799e-02    
1.90234e+00    1.71182e-02    
1.93467e+00    1.71412e-02    
1.96754e+00    1.71490e-02    
2.00097e+00    1.71416e-02    
2.03496e+00    1.71191e-02    
2.06954e+00    1.70818e-02    
2.10470e+00    1.70299e-02    
2.14046e+00    1.69639e-02    
2.17683e+00    1.68840e-02    
2.21381e+00    1.67907e-02    
2.25142e+00    1.66845e-02    
2.28968e+00    1.65661e-02    
2.32858e+00    1.64359e-02    
2.36814e+00    1.62946e-02    
2.40838e+00    1.61429e-02    
2.44930e+00    1.59815e-02    
2.49091e+00    1.58113e-02    
2.53323e+00    1.56328e-02    
