# USINE V4.0
# File generated 13-05-2022 11:20:51
# Model1DKisoVc
# AL
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
8.96383e-02    1.48174e-05    
9.11695e-02    1.55839e-05    
9.27268e-02    1.63899e-05    
9.43108e-02    1.72375e-05    
9.59218e-02    1.81287e-05    
9.75603e-02    1.90659e-05    
9.92268e-02    2.00514e-05    
1.00922e-01    2.10877e-05    
1.02646e-01    2.21773e-05    
1.04399e-01    2.33231e-05    
1.06182e-01    2.45279e-05    
1.07996e-01    2.57946e-05    
1.09841e-01    2.71266e-05    
1.11717e-01    2.85271e-05    
1.13626e-01    2.99996e-05    
1.15566e-01    3.15479e-05    
1.17541e-01    3.31757e-05    
1.19548e-01    3.48872e-05    
1.21590e-01    3.66867e-05    
1.23667e-01    3.85785e-05    
1.25780e-01    4.05675e-05    
1.27928e-01    4.26587e-05    
1.30114e-01    4.48571e-05    
1.32336e-01    4.71684e-05    
1.34597e-01    4.95981e-05    
1.36896e-01    5.21525e-05    
1.39234e-01    5.48378e-05    
1.41613e-01    5.76606e-05    
1.44032e-01    6.06281e-05    
1.46492e-01    6.37475e-05    
1.48995e-01    6.70265e-05    
1.51540e-01    7.04733e-05    
1.54128e-01    7.40965e-05    
1.56761e-01    7.79048e-05    
1.59439e-01    8.19078e-05    
1.62162e-01    8.61153e-05    
1.64932e-01    9.05376e-05    
1.67750e-01    9.51856e-05    
1.70615e-01    1.00071e-04    
1.73530e-01    1.05205e-04    
1.76494e-01    1.10601e-04    
1.79509e-01    1.16272e-04    
1.82575e-01    1.22232e-04    
1.85694e-01    1.28495e-04    
1.88866e-01    1.35077e-04    
1.92092e-01    1.41994e-04    
1.95373e-01    1.49262e-04    
1.98710e-01    1.56899e-04    
2.02105e-01    1.64924e-04    
2.05557e-01    1.73354e-04    
2.09068e-01    1.82208e-04    
2.12640e-01    1.91509e-04    
2.16272e-01    2.01277e-04    
2.19966e-01    2.11536e-04    
2.23724e-01    2.22309e-04    
2.27545e-01    2.33622e-04    
2.31432e-01    2.45501e-04    
2.35385e-01    2.57973e-04    
2.39406e-01    2.71067e-04    
2.43496e-01    2.84814e-04    
2.47655e-01    2.99243e-04    
2.51885e-01    3.14390e-04    
2.56188e-01    3.30286e-04    
2.60564e-01    3.46969e-04    
2.65015e-01    3.64476e-04    
2.69542e-01    3.82845e-04    
2.74146e-01    4.02118e-04    
2.78829e-01    4.22337e-04    
2.83592e-01    4.43547e-04    
2.88436e-01    4.65793e-04    
2.93363e-01    4.89124e-04    
2.98375e-01    5.13590e-04    
3.03471e-01    5.39243e-04    
3.08655e-01    5.66139e-04    
3.13928e-01    5.94333e-04    
3.19290e-01    6.23885e-04    
3.24744e-01    6.54857e-04    
3.30291e-01    6.87311e-04    
3.35933e-01    7.21315e-04    
3.41672e-01    7.56938e-04    
3.47508e-01    7.94251e-04    
3.53444e-01    8.33329e-04    
3.59482e-01    8.74248e-04    
3.65622e-01    9.17088e-04    
3.71868e-01    9.61933e-04    
3.78220e-01    1.00887e-03    
3.84681e-01    1.05798e-03    
3.91252e-01    1.10937e-03    
3.97935e-01    1.16312e-03    
4.04732e-01    1.21933e-03    
4.11646e-01    1.27811e-03    
4.18678e-01    1.33955e-03    
4.25829e-01    1.40378e-03    
4.33103e-01    1.47089e-03    
4.40502e-01    1.54100e-03    
4.48026e-01    1.61423e-03    
4.55679e-01    1.69070e-03    
4.63463e-01    1.77052e-03    
4.71380e-01    1.85384e-03    
4.79432e-01    1.94077e-03    
4.87621e-01    2.03145e-03    
4.95951e-01    2.12601e-03    
5.04423e-01    2.22460e-03    
5.13039e-01    2.32734e-03    
5.21803e-01    2.43439e-03    
5.30716e-01    2.54588e-03    
5.39782e-01    2.66197e-03    
5.49002e-01    2.78280e-03    
5.58380e-01    2.90851e-03    
5.67918e-01    3.03927e-03    
5.77619e-01    3.17522e-03    
5.87486e-01    3.31652e-03    
5.97521e-01    3.46331e-03    
6.07728e-01    3.61574e-03    
6.18109e-01    3.77397e-03    
6.28668e-01    3.93814e-03    
6.39407e-01    4.10840e-03    
6.50329e-01    4.28489e-03    
6.61438e-01    4.46776e-03    
6.72736e-01    4.65714e-03    
6.84228e-01    4.85316e-03    
6.95916e-01    5.05595e-03    
7.07803e-01    5.26563e-03    
7.19894e-01    5.48230e-03    
7.32191e-01    5.70609e-03    
7.44698e-01    5.93707e-03    
7.57419e-01    6.17534e-03    
7.70357e-01    6.42096e-03    
7.83516e-01    6.67401e-03    
7.96900e-01    6.93454e-03    
8.10512e-01    7.20256e-03    
8.24357e-01    7.47811e-03    
8.38439e-01    7.76119e-03    
8.52761e-01    8.05177e-03    
8.67328e-01    8.34983e-03    
8.82143e-01    8.65531e-03    
8.97212e-01    8.96813e-03    
9.12538e-01    9.28819e-03    
9.28126e-01    9.61538e-03    
9.43980e-01    9.94953e-03    
9.60105e-01    1.02905e-02    
9.76505e-01    1.06380e-02    
9.93185e-01    1.09920e-02    
1.01015e+00    1.13520e-02    
1.02741e+00    1.17178e-02    
1.04496e+00    1.20892e-02    
1.06281e+00    1.24657e-02    
1.08096e+00    1.28470e-02    
1.09943e+00    1.32327e-02    
1.11821e+00    1.36224e-02    
1.13731e+00    1.40155e-02    
1.15673e+00    1.44117e-02    
1.17649e+00    1.48103e-02    
1.19659e+00    1.52109e-02    
1.21703e+00    1.56129e-02    
1.23782e+00    1.60157e-02    
1.25896e+00    1.64188e-02    
1.28047e+00    1.68215e-02    
1.30234e+00    1.72232e-02    
1.32459e+00    1.76233e-02    
1.34721e+00    1.80211e-02    
1.37023e+00    1.84161e-02    
1.39363e+00    1.88075e-02    
1.41744e+00    1.91946e-02    
1.44165e+00    1.95768e-02    
1.46628e+00    1.99535e-02    
1.49132e+00    2.03240e-02    
1.51680e+00    2.06876e-02    
1.54271e+00    2.10436e-02    
1.56906e+00    2.13914e-02    
1.59586e+00    2.17304e-02    
1.62312e+00    2.20599e-02    
1.65085e+00    2.23791e-02    
1.67905e+00    2.26875e-02    
1.70773e+00    2.29843e-02    
1.73690e+00    2.32690e-02    
1.76657e+00    2.35407e-02    
1.79675e+00    2.37991e-02    
1.82744e+00    2.40434e-02    
1.85865e+00    2.42732e-02    
1.89040e+00    2.44879e-02    
1.92269e+00    2.46872e-02    
1.95554e+00    2.48706e-02    
1.98894e+00    2.50377e-02    
2.02292e+00    2.51883e-02    
2.05747e+00    2.53223e-02    
2.09262e+00    2.54394e-02    
2.12836e+00    2.55397e-02    
2.16472e+00    2.56231e-02    
2.20170e+00    2.56897e-02    
2.23930e+00    2.57396e-02    
2.27756e+00    2.57729e-02    
2.31646e+00    2.57898e-02    
2.35603e+00    2.57905e-02    
2.39628e+00    2.57752e-02    
2.43721e+00    2.57441e-02    
2.47884e+00    2.56975e-02    
2.52118e+00    2.56355e-02    
2.56425e+00    2.55585e-02    
2.60805e+00    2.54665e-02    
2.65260e+00    2.53598e-02    
2.69791e+00    2.52386e-02    
2.74400e+00    2.51031e-02    
2.79087e+00    2.49533e-02    
2.83854e+00    2.47894e-02    
2.88703e+00    2.46116e-02    
2.93635e+00    2.44197e-02    
2.98651e+00    2.42139e-02    
3.03752e+00    2.39943e-02    
3.08941e+00    2.37607e-02    
3.14218e+00    2.35131e-02    
3.19585e+00    2.32517e-02    
3.25044e+00    2.29764e-02    
3.30597e+00    2.26875e-02    
3.36244e+00    2.23853e-02    
3.41988e+00    2.20703e-02    
3.47829e+00    2.17433e-02    
3.53771e+00    2.14054e-02    
3.59814e+00    2.10576e-02    
3.65960e+00    2.07012e-02    
3.72212e+00    2.03376e-02    
3.78570e+00    1.99681e-02    
3.85036e+00    1.95939e-02    
3.91613e+00    1.92163e-02    
3.98303e+00    1.88363e-02    
4.05107e+00    1.84547e-02    
4.12027e+00    1.80724e-02    
4.19065e+00    1.76899e-02    
4.26223e+00    1.73080e-02    
4.33504e+00    1.69270e-02    
4.40909e+00    1.65474e-02    
4.48440e+00    1.61696e-02    
4.56101e+00    1.57940e-02    
4.63892e+00    1.54209e-02    
4.71816e+00    1.50505e-02    
4.79875e+00    1.46832e-02    
4.88072e+00    1.43192e-02    
4.96410e+00    1.39587e-02    
5.04889e+00    1.36021e-02    
5.13514e+00    1.32494e-02    
5.22285e+00    1.29011e-02    
5.31207e+00    1.25572e-02    
5.40281e+00    1.22179e-02    
5.49510e+00    1.18834e-02    
5.58896e+00    1.15539e-02    
5.68443e+00    1.12295e-02    
5.78154e+00    1.09104e-02    
5.88029e+00    1.05966e-02    
5.98074e+00    1.02882e-02    
6.08290e+00    9.98532e-03    
6.18681e+00    9.68805e-03    
6.29249e+00    9.39643e-03    
6.39998e+00    9.11054e-03    
6.50930e+00    8.83043e-03    
6.62049e+00    8.55613e-03    
6.73358e+00    8.28771e-03    
6.84860e+00    8.02519e-03    
6.96559e+00    7.76861e-03    
7.08458e+00    7.51800e-03    
7.20559e+00    7.27338e-03    
7.32868e+00    7.03474e-03    
7.45387e+00    6.80209e-03    
7.58119e+00    6.57541e-03    
7.71069e+00    6.35468e-03    
7.84240e+00    6.13987e-03    
7.97637e+00    5.93094e-03    
8.11262e+00    5.72786e-03    
8.25120e+00    5.53057e-03    
8.39214e+00    5.33903e-03    
8.53549e+00    5.15318e-03    
8.68130e+00    4.97297e-03    
8.82959e+00    4.79831e-03    
8.98041e+00    4.62911e-03    
9.13382e+00    4.46528e-03    
9.28984e+00    4.30671e-03    
9.44853e+00    4.15328e-03    
9.60992e+00    4.00486e-03    
9.77408e+00    3.86129e-03    
9.94104e+00    3.72242e-03    
1.01108e+01    3.58810e-03    
1.02836e+01    3.45817e-03    
1.04592e+01    3.33249e-03    
1.06379e+01    3.21092e-03    
1.08196e+01    3.09333e-03    
1.10044e+01    2.97961e-03    
1.11924e+01    2.86962e-03    
1.13836e+01    2.76327e-03    
1.15780e+01    2.66046e-03    
1.17758e+01    2.56110e-03    
1.19770e+01    2.46510e-03    
1.21815e+01    2.37236e-03    
1.23896e+01    2.28280e-03    
1.26013e+01    2.19633e-03    
1.28165e+01    2.11285e-03    
1.30354e+01    2.03229e-03    
1.32581e+01    1.95456e-03    
1.34846e+01    1.87957e-03    
1.37149e+01    1.80723e-03    
1.39492e+01    1.73747e-03    
1.41875e+01    1.67018e-03    
1.44298e+01    1.60531e-03    
1.46763e+01    1.54278e-03    
1.49270e+01    1.48250e-03    
1.51820e+01    1.42441e-03    
1.54413e+01    1.36843e-03    
1.57051e+01    1.31451e-03    
1.59734e+01    1.26256e-03    
1.62462e+01    1.21253e-03    
1.65237e+01    1.16436e-03    
1.68060e+01    1.11798e-03    
1.70931e+01    1.07333e-03    
1.73851e+01    1.03035e-03    
1.76820e+01    9.88993e-04    
1.79841e+01    9.49197e-04    
1.82913e+01    9.10910e-04    
1.86037e+01    8.74080e-04    
1.89215e+01    8.38656e-04    
1.92447e+01    8.04589e-04    
1.95735e+01    7.71832e-04    
1.99078e+01    7.40338e-04    
2.02479e+01    7.10063e-04    
2.05937e+01    6.80965e-04    
2.09455e+01    6.53002e-04    
2.13033e+01    6.26133e-04    
2.16672e+01    6.00322e-04    
2.20373e+01    5.75528e-04    
2.24138e+01    5.51710e-04    
2.27966e+01    5.28832e-04    
2.31860e+01    5.06859e-04    
2.35821e+01    4.85758e-04    
2.39849e+01    4.65496e-04    
2.43946e+01    4.46042e-04    
2.48113e+01    4.27366e-04    
2.52351e+01    4.09439e-04    
2.56662e+01    3.92233e-04    
2.61046e+01    3.75720e-04    
2.65505e+01    3.59874e-04    
2.70041e+01    3.44669e-04    
2.74654e+01    3.30081e-04    
2.79345e+01    3.16087e-04    
2.84117e+01    3.02663e-04    
2.88970e+01    2.89788e-04    
2.93906e+01    2.77440e-04    
2.98927e+01    2.65599e-04    
3.04033e+01    2.54245e-04    
3.09226e+01    2.43359e-04    
3.14509e+01    2.32923e-04    
3.19881e+01    2.22918e-04    
3.25345e+01    2.13328e-04    
3.30903e+01    2.04137e-04    
3.36555e+01    1.95329e-04    
3.42304e+01    1.86888e-04    
3.48151e+01    1.78800e-04    
3.54098e+01    1.71051e-04    
3.60147e+01    1.63627e-04    
3.66299e+01    1.56514e-04    
3.72556e+01    1.49702e-04    
3.78920e+01    1.43177e-04    
3.85392e+01    1.36927e-04    
3.91976e+01    1.30943e-04    
3.98671e+01    1.25212e-04    
4.05481e+01    1.19724e-04    
4.12408e+01    1.14470e-04    
4.19452e+01    1.09440e-04    
4.26617e+01    1.04625e-04    
4.33905e+01    1.00016e-04    
4.41317e+01    9.56042e-05    
4.48855e+01    9.13817e-05    
4.56522e+01    8.73407e-05    
4.64321e+01    8.34736e-05    
4.72252e+01    7.97733e-05    
4.80319e+01    7.62327e-05    
4.88524e+01    7.28452e-05    
4.96869e+01    6.96044e-05    
5.05356e+01    6.65041e-05    
5.13988e+01    6.35386e-05    
5.22768e+01    6.07020e-05    
5.31698e+01    5.79890e-05    
5.40780e+01    5.53943e-05    
5.50018e+01    5.29129e-05    
5.59413e+01    5.05401e-05    
5.68969e+01    4.82713e-05    
5.78688e+01    4.61020e-05    
5.88573e+01    4.40279e-05    
5.98627e+01    4.20451e-05    
6.08853e+01    4.01496e-05    
6.19253e+01    3.83377e-05    
6.29831e+01    3.66058e-05    
6.40590e+01    3.49504e-05    
6.51532e+01    3.33684e-05    
6.62661e+01    3.18565e-05    
6.73981e+01    3.04116e-05    
6.85494e+01    2.90310e-05    
6.97203e+01    2.77118e-05    
7.09113e+01    2.64514e-05    
7.21226e+01    2.52471e-05    
7.33546e+01    2.40967e-05    
7.46076e+01    2.29977e-05    
7.58820e+01    2.19478e-05    
7.71782e+01    2.09451e-05    
7.84966e+01    1.99873e-05    
7.98374e+01    1.90725e-05    
8.12012e+01    1.81988e-05    
8.25883e+01    1.73645e-05    
8.39990e+01    1.65678e-05    
8.54339e+01    1.58070e-05    
8.68932e+01    1.50805e-05    
8.83775e+01    1.43870e-05    
8.98872e+01    1.37248e-05    
9.14226e+01    1.30926e-05    
9.29843e+01    1.24891e-05    
9.45726e+01    1.19130e-05    
9.61881e+01    1.13631e-05    
9.78312e+01    1.08382e-05    
9.95023e+01    1.03372e-05    
1.01202e+02    9.85901e-06    
1.02931e+02    9.40268e-06    
1.04689e+02    8.96721e-06    
1.06477e+02    8.55164e-06    
1.08296e+02    8.15511e-06    
1.10146e+02    7.77674e-06    
1.12027e+02    7.41573e-06    
1.13941e+02    7.07129e-06    
1.15887e+02    6.74269e-06    
1.17867e+02    6.42920e-06    
1.19880e+02    6.13015e-06    
1.21928e+02    5.84488e-06    
1.24011e+02    5.57278e-06    
1.26129e+02    5.31324e-06    
1.28284e+02    5.06570e-06    
1.30475e+02    4.82961e-06    
1.32704e+02    4.60446e-06    
1.34971e+02    4.38974e-06    
1.37276e+02    4.18499e-06    
1.39621e+02    3.98975e-06    
1.42006e+02    3.80358e-06    
1.44432e+02    3.62608e-06    
1.46899e+02    3.45684e-06    
1.49408e+02    3.29549e-06    
1.51960e+02    3.14167e-06    
1.54556e+02    2.99504e-06    
1.57196e+02    2.85525e-06    
1.59881e+02    2.72201e-06    
1.62613e+02    2.59500e-06    
1.65390e+02    2.47395e-06    
1.68215e+02    2.35857e-06    
1.71089e+02    2.24861e-06    
1.74011e+02    2.14381e-06    
1.76984e+02    2.04394e-06    
1.80007e+02    1.94876e-06    
1.83082e+02    1.85806e-06    
1.86209e+02    1.77163e-06    
1.89390e+02    1.68928e-06    
1.92625e+02    1.61080e-06    
1.95916e+02    1.53602e-06    
1.99262e+02    1.46477e-06    
2.02666e+02    1.39688e-06    
2.06128e+02    1.33220e-06    
2.09649e+02    1.27056e-06    
2.13230e+02    1.21183e-06    
2.16872e+02    1.15587e-06    
2.20577e+02    1.10255e-06    
2.24345e+02    1.05175e-06    
2.28177e+02    1.00333e-06    
2.32075e+02    9.57201e-07    
2.36039e+02    9.13238e-07    
2.40071e+02    8.71341e-07    
2.44172e+02    8.31413e-07    
2.48343e+02    7.93357e-07    
2.52585e+02    7.57086e-07    
2.56899e+02    7.22512e-07    
2.61288e+02    6.89555e-07    
2.65751e+02    6.58136e-07    
2.70291e+02    6.28182e-07    
2.74908e+02    5.99623e-07    
2.79603e+02    5.72391e-07    
2.84380e+02    5.46422e-07    
2.89237e+02    5.21657e-07    
2.94178e+02    4.98037e-07    
2.99203e+02    4.75507e-07    
3.04314e+02    4.54017e-07    
3.09512e+02    4.33515e-07    
3.14799e+02    4.13955e-07    
3.20177e+02    3.95293e-07    
3.25646e+02    3.77485e-07    
3.31209e+02    3.60492e-07    
3.36866e+02    3.44274e-07    
3.42620e+02    3.28796e-07    
3.48473e+02    3.14023e-07    
3.54426e+02    2.99921e-07    
3.60480e+02    2.86460e-07    
3.66638e+02    2.73609e-07    
3.72900e+02    2.61340e-07    
3.79270e+02    2.49626e-07    
3.85749e+02    2.38441e-07    
3.92338e+02    2.27761e-07    
3.99040e+02    2.17564e-07    
4.05856e+02    2.07825e-07    
4.12789e+02    1.98525e-07    
4.19840e+02    1.89644e-07    
4.27012e+02    1.81161e-07    
4.34306e+02    1.73060e-07    
4.41725e+02    1.65323e-07    
4.49270e+02    1.57932e-07    
4.56945e+02    1.50873e-07    
4.64750e+02    1.44131e-07    
4.72689e+02    1.37690e-07    
4.80763e+02    1.31538e-07    
4.88975e+02    1.25661e-07    
4.97328e+02    1.20048e-07    
5.05823e+02    1.14685e-07    
5.14464e+02    1.09562e-07    
5.23252e+02    1.04668e-07    
5.32190e+02    9.99933e-08    
5.41281e+02    9.55271e-08    
5.50527e+02    9.12605e-08    
5.59931e+02    8.71845e-08    
5.69495e+02    8.32906e-08    
5.79223e+02    7.95705e-08    
5.89117e+02    7.60166e-08    
5.99181e+02    7.26213e-08    
6.09416e+02    6.93776e-08    
6.19826e+02    6.62788e-08    
6.30413e+02    6.33182e-08    
6.41182e+02    6.04899e-08    
6.52135e+02    5.77877e-08    
6.63274e+02    5.52062e-08    
6.74604e+02    5.27399e-08    
6.86128e+02    5.03837e-08    
6.97848e+02    4.81327e-08    
7.09768e+02    4.59822e-08    
7.21893e+02    4.39276e-08    
7.34224e+02    4.19648e-08    
7.46766e+02    4.00895e-08    
7.59522e+02    3.82980e-08    
7.72496e+02    3.65865e-08    
7.85692e+02    3.49513e-08    
7.99113e+02    3.33892e-08    
8.12763e+02    3.18968e-08    
8.26646e+02    3.04710e-08    
8.40767e+02    2.91089e-08    
8.55129e+02    2.78077e-08    
8.69736e+02    2.65645e-08    
8.84593e+02    2.53769e-08    
8.99703e+02    2.42423e-08    
9.15072e+02    2.31583e-08    
9.30703e+02    2.21228e-08    
9.46601e+02    2.11336e-08    
9.62770e+02    2.01885e-08    
9.79216e+02    1.92856e-08    
9.95943e+02    1.84231e-08    
1.01296e+03    1.75992e-08    
1.03026e+03    1.68120e-08    
1.04786e+03    1.60600e-08    
1.06576e+03    1.53416e-08    
1.08396e+03    1.46554e-08    
1.10248e+03    1.39998e-08    
1.12131e+03    1.33735e-08    
1.14046e+03    1.27752e-08    
1.15995e+03    1.22036e-08    
1.17976e+03    1.16576e-08    
1.19991e+03    1.11360e-08    
1.22041e+03    1.06377e-08    
1.24126e+03    1.01617e-08    
1.26246e+03    9.70698e-09    
1.28402e+03    9.27259e-09    
1.30596e+03    8.85763e-09    
1.32827e+03    8.46123e-09    
1.35095e+03    8.08255e-09    
1.37403e+03    7.72081e-09    
1.39750e+03    7.37525e-09    
1.42137e+03    7.04515e-09    
1.44565e+03    6.72981e-09    
1.47035e+03    6.42858e-09    
1.49546e+03    6.14082e-09    
1.52101e+03    5.86594e-09    
1.54699e+03    5.60335e-09    
1.57342e+03    5.35252e-09    
1.60029e+03    5.11291e-09    
1.62763e+03    4.88401e-09    
1.65543e+03    4.66537e-09    
1.68371e+03    4.45650e-09    
1.71247e+03    4.25698e-09    
1.74172e+03    4.06639e-09    
1.77147e+03    3.88433e-09    
1.80173e+03    3.71042e-09    
1.83251e+03    3.54429e-09    
1.86381e+03    3.38560e-09    
1.89565e+03    3.23401e-09    
1.92803e+03    3.08921e-09    
1.96097e+03    2.95089e-09    
1.99446e+03    2.81876e-09    
2.02853e+03    2.69254e-09    
2.06318e+03    2.57197e-09    
2.09843e+03    2.45681e-09    
2.13427e+03    2.34679e-09    
2.17073e+03    2.24171e-09    
2.20781e+03    2.14133e-09    
2.24552e+03    2.04544e-09    
2.28388e+03    1.95384e-09    
2.32289e+03    1.86635e-09    
2.36257e+03    1.78277e-09    
2.40293e+03    1.70294e-09    
2.44398e+03    1.62668e-09    
2.48572e+03    1.55384e-09    
2.52818e+03    1.48425e-09    
2.57137e+03    1.41779e-09    
2.61529e+03    1.35430e-09    
2.65997e+03    1.29365e-09    
2.70540e+03    1.23572e-09    
2.75162e+03    1.18038e-09    
2.79862e+03    1.12752e-09    
2.84643e+03    1.07703e-09    
2.89505e+03    1.02880e-09    
2.94450e+03    9.82729e-10    
2.99480e+03    9.38721e-10    
3.04595e+03    8.96684e-10    
3.09799e+03    8.56530e-10    
3.15090e+03    8.18175e-10    
3.20473e+03    7.81537e-10    
3.25947e+03    7.46540e-10    
3.31515e+03    7.13110e-10    
3.37178e+03    6.81177e-10    
3.42937e+03    6.50675e-10    
3.48795e+03    6.21539e-10    
3.54753e+03    5.93707e-10    
3.60813e+03    5.67122e-10    
3.66977e+03    5.41728e-10    
3.73245e+03    5.17471e-10    
3.79621e+03    4.94301e-10    
3.86105e+03    4.72168e-10    
3.92701e+03    4.51027e-10    
3.99409e+03    4.30832e-10    
4.06232e+03    4.11542e-10    
4.13171e+03    3.93115e-10    
4.20228e+03    3.75514e-10    
