# USINE V4.0
# File generated 13-05-2022 11:20:53
# Model1DKisoVc
# MN
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.49292e-02    5.03696e-06    
9.65508e-02    5.29733e-06    
9.82002e-02    5.57111e-06    
9.98777e-02    5.85899e-06    
1.01584e-01    6.16171e-06    
1.03319e-01    6.48001e-06    
1.05084e-01    6.81469e-06    
1.06879e-01    7.16661e-06    
1.08705e-01    7.53662e-06    
1.10562e-01    7.92568e-06    
1.12451e-01    8.33474e-06    
1.14372e-01    8.76483e-06    
1.16326e-01    9.21703e-06    
1.18313e-01    9.69247e-06    
1.20334e-01    1.01923e-05    
1.22389e-01    1.07179e-05    
1.24480e-01    1.12704e-05    
1.26607e-01    1.18513e-05    
1.28769e-01    1.24619e-05    
1.30969e-01    1.31040e-05    
1.33207e-01    1.37789e-05    
1.35482e-01    1.44884e-05    
1.37796e-01    1.52343e-05    
1.40150e-01    1.60184e-05    
1.42545e-01    1.68427e-05    
1.44980e-01    1.77092e-05    
1.47456e-01    1.86200e-05    
1.49975e-01    1.95774e-05    
1.52537e-01    2.05837e-05    
1.55143e-01    2.16415e-05    
1.57793e-01    2.27534e-05    
1.60489e-01    2.39220e-05    
1.63230e-01    2.51504e-05    
1.66019e-01    2.64414e-05    
1.68855e-01    2.77982e-05    
1.71739e-01    2.92243e-05    
1.74673e-01    3.07231e-05    
1.77657e-01    3.22982e-05    
1.80692e-01    3.39535e-05    
1.83779e-01    3.56931e-05    
1.86918e-01    3.75211e-05    
1.90111e-01    3.94422e-05    
1.93359e-01    4.14608e-05    
1.96662e-01    4.35820e-05    
2.00021e-01    4.58109e-05    
2.03438e-01    4.81526e-05    
2.06914e-01    5.06123e-05    
2.10448e-01    5.31959e-05    
2.14043e-01    5.59094e-05    
2.17700e-01    5.87591e-05    
2.21419e-01    6.17518e-05    
2.25201e-01    6.48945e-05    
2.29048e-01    6.81943e-05    
2.32961e-01    7.16589e-05    
2.36941e-01    7.52964e-05    
2.40988e-01    7.91150e-05    
2.45105e-01    8.31235e-05    
2.49292e-01    8.73310e-05    
2.53551e-01    9.17469e-05    
2.57882e-01    9.63813e-05    
2.62287e-01    1.01245e-04    
2.66768e-01    1.06347e-04    
2.71325e-01    1.11701e-04    
2.75960e-01    1.17318e-04    
2.80674e-01    1.23210e-04    
2.85469e-01    1.29390e-04    
2.90345e-01    1.35871e-04    
2.95305e-01    1.42668e-04    
3.00350e-01    1.49794e-04    
3.05481e-01    1.57265e-04    
3.10699e-01    1.65098e-04    
3.16007e-01    1.73307e-04    
3.21405e-01    1.81911e-04    
3.26896e-01    1.90926e-04    
3.32480e-01    2.00372e-04    
3.38160e-01    2.10268e-04    
3.43936e-01    2.20633e-04    
3.49812e-01    2.31489e-04    
3.55787e-01    2.42855e-04    
3.61865e-01    2.54756e-04    
3.68047e-01    2.67213e-04    
3.74334e-01    2.80251e-04    
3.80729e-01    2.93894e-04    
3.87233e-01    3.08168e-04    
3.93848e-01    3.23098e-04    
4.00576e-01    3.38713e-04    
4.07419e-01    3.55040e-04    
4.14378e-01    3.72109e-04    
4.21457e-01    3.89948e-04    
4.28657e-01    4.08589e-04    
4.35979e-01    4.28063e-04    
4.43427e-01    4.48403e-04    
4.51002e-01    4.69643e-04    
4.58707e-01    4.91815e-04    
4.66542e-01    5.14956e-04    
4.74512e-01    5.39100e-04    
4.82618e-01    5.64286e-04    
4.90863e-01    5.90549e-04    
4.99248e-01    6.17928e-04    
5.07777e-01    6.46462e-04    
5.16451e-01    6.76191e-04    
5.25273e-01    7.07154e-04    
5.34246e-01    7.39391e-04    
5.43373e-01    7.72944e-04    
5.52655e-01    8.07854e-04    
5.62096e-01    8.44163e-04    
5.71698e-01    8.81911e-04    
5.81464e-01    9.21142e-04    
