# USINE V4.0
# File generated 13-05-2022 11:20:51
# Model1DKisoVc
# NE
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.49641e-02    1.11959e-04    
9.65806e-02    1.17721e-04    
9.82247e-02    1.23779e-04    
9.98968e-02    1.30147e-04    
1.01597e-01    1.36841e-04    
1.03327e-01    1.43879e-04    
1.05086e-01    1.51277e-04    
1.06875e-01    1.59054e-04    
1.08694e-01    1.67229e-04    
1.10544e-01    1.75823e-04    
1.12426e-01    1.84857e-04    
1.14340e-01    1.94352e-04    
1.16286e-01    2.04334e-04    
1.18266e-01    2.14825e-04    
1.20279e-01    2.25853e-04    
1.22327e-01    2.37445e-04    
1.24409e-01    2.49629e-04    
1.26527e-01    2.62435e-04    
1.28681e-01    2.75895e-04    
1.30871e-01    2.90041e-04    
1.33099e-01    3.04910e-04    
1.35365e-01    3.20536e-04    
1.37669e-01    3.36960e-04    
1.40013e-01    3.54220e-04    
1.42396e-01    3.72359e-04    
1.44820e-01    3.91422e-04    
1.47286e-01    4.11456e-04    
1.49793e-01    4.32509e-04    
1.52343e-01    4.54633e-04    
1.54936e-01    4.77881e-04    
1.57574e-01    5.02311e-04    
1.60256e-01    5.27982e-04    
1.62984e-01    5.54956e-04    
1.65758e-01    5.83300e-04    
1.68580e-01    6.13081e-04    
1.71450e-01    6.44372e-04    
1.74369e-01    6.77249e-04    
1.77337e-01    7.11791e-04    
1.80356e-01    7.48082e-04    
1.83426e-01    7.86209e-04    
1.86548e-01    8.26265e-04    
1.89724e-01    8.68345e-04    
1.92954e-01    9.12551e-04    
1.96238e-01    9.58989e-04    
1.99579e-01    1.00777e-03    
2.02976e-01    1.05901e-03    
2.06432e-01    1.11281e-03    
2.09946e-01    1.16930e-03    
2.13520e-01    1.22861e-03    
2.17154e-01    1.29088e-03    
2.20851e-01    1.35625e-03    
2.24611e-01    1.42487e-03    
2.28434e-01    1.49690e-03    
2.32323e-01    1.57250e-03    
2.36278e-01    1.65185e-03    
2.40300e-01    1.73511e-03    
2.44390e-01    1.82248e-03    
2.48551e-01    1.91415e-03    
2.52782e-01    2.01033e-03    
2.57085e-01    2.11122e-03    
2.61461e-01    2.21706e-03    
2.65912e-01    2.32806e-03    
2.70439e-01    2.44448e-03    
2.75042e-01    2.56656e-03    
2.79725e-01    2.69456e-03    
2.84486e-01    2.82877e-03    
2.89329e-01    2.96945e-03    
2.94254e-01    3.11691e-03    
2.99264e-01    3.27146e-03    
3.04358e-01    3.43341e-03    
3.09539e-01    3.60311e-03    
3.14808e-01    3.78088e-03    
3.20167e-01    3.96710e-03    
3.25618e-01    4.16214e-03    
3.31161e-01    4.36639e-03    
3.36798e-01    4.58024e-03    
3.42531e-01    4.80412e-03    
3.48362e-01    5.03846e-03    
3.54292e-01    5.28370e-03    
