# USINE V4.0
# File generated 13-05-2022 11:20:51
# Model1DKisoVc
# O
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.71391e-02    7.31816e-04    
9.87904e-02    7.69396e-04    
1.00470e-01    8.08897e-04    
1.02178e-01    8.50419e-04    
1.03915e-01    8.94064e-04    
1.05681e-01    9.39939e-04    
1.07478e-01    9.88159e-04    
1.09305e-01    1.03884e-03    
1.11163e-01    1.09211e-03    
1.13053e-01    1.14810e-03    
1.14975e-01    1.20695e-03    
1.16930e-01    1.26880e-03    
1.18917e-01    1.33381e-03    
1.20939e-01    1.40213e-03    
1.22995e-01    1.47393e-03    
1.25086e-01    1.54940e-03    
1.27212e-01    1.62870e-03    
1.29375e-01    1.71205e-03    
1.31574e-01    1.79963e-03    
1.33811e-01    1.89168e-03    
1.36086e-01    1.98840e-03    
1.38399e-01    2.09004e-03    
1.40752e-01    2.19685e-03    
1.43145e-01    2.30909e-03    
1.45578e-01    2.42702e-03    
1.48053e-01    2.55095e-03    
1.50570e-01    2.68116e-03    
1.53130e-01    2.81797e-03    
1.55733e-01    2.96172e-03    
1.58381e-01    3.11275e-03    
1.61073e-01    3.27144e-03    
1.63811e-01    3.43815e-03    
1.66596e-01    3.61331e-03    
1.69428e-01    3.79732e-03    
1.72308e-01    3.99064e-03    
1.75238e-01    4.19372e-03    
1.78217e-01    4.40705e-03    
1.81246e-01    4.63116e-03    
1.84328e-01    4.86657e-03    
1.87461e-01    5.11384e-03    
1.90648e-01    5.37358e-03    
1.93889e-01    5.64640e-03    
1.97185e-01    5.93294e-03    
2.00537e-01    6.23390e-03    
2.03946e-01    6.54991e-03    
2.07414e-01    6.88169e-03    
2.10940e-01    7.22999e-03    
2.14526e-01    7.59561e-03    
2.18172e-01    7.97938e-03    
2.21881e-01    8.38219e-03    
2.25653e-01    8.80493e-03    
2.29489e-01    9.24857e-03    
2.33391e-01    9.71410e-03    
2.37358e-01    1.02026e-02    
2.41394e-01    1.07150e-02    
