# USINE V4.0
# File generated 13-05-2022 11:20:52
# Model1DKisoVc
# SI
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.24751e-02    9.43761e-05    
9.40518e-02    9.92409e-05    
9.56554e-02    1.04356e-04    
9.72864e-02    1.09733e-04    
9.89451e-02    1.15386e-04    
1.00632e-01    1.21330e-04    
1.02348e-01    1.27578e-04    
1.04093e-01    1.34147e-04    
1.05868e-01    1.41053e-04    
1.07673e-01    1.48313e-04    
1.09509e-01    1.55946e-04    
1.11376e-01    1.63969e-04    
1.13275e-01    1.72403e-04    
1.15206e-01    1.81270e-04    
1.17170e-01    1.90590e-04    
1.19168e-01    2.00387e-04    
1.21200e-01    2.10686e-04    
1.23266e-01    2.21511e-04    
1.25368e-01    2.32890e-04    
1.27506e-01    2.44850e-04    
1.29680e-01    2.57422e-04    
1.31891e-01    2.70635e-04    
1.34139e-01    2.84524e-04    
1.36427e-01    2.99121e-04    
1.38753e-01    3.14463e-04    
1.41118e-01    3.30588e-04    
1.43524e-01    3.47535e-04    
1.45972e-01    3.65345e-04    
1.48460e-01    3.84063e-04    
1.50992e-01    4.03734e-04    
1.53566e-01    4.24406e-04    
1.56184e-01    4.46129e-04    
1.58847e-01    4.68958e-04    
1.61556e-01    4.92947e-04    
1.64310e-01    5.18155e-04    
1.67112e-01    5.44643e-04    
1.69961e-01    5.72475e-04    
1.72859e-01    6.01720e-04    
1.75806e-01    6.32447e-04    
1.78804e-01    6.64732e-04    
1.81852e-01    6.98652e-04    
1.84953e-01    7.34289e-04    
1.88106e-01    7.71730e-04    
1.91314e-01    8.11064e-04    
1.94576e-01    8.52386e-04    
1.97893e-01    8.95795e-04    
2.01267e-01    9.41394e-04    
2.04699e-01    9.89282e-04    
2.08189e-01    1.03957e-03    
2.11739e-01    1.09237e-03    
2.15349e-01    1.14780e-03    
2.19020e-01    1.20600e-03    
2.22755e-01    1.26709e-03    
2.26553e-01    1.33123e-03    
2.30416e-01    1.39854e-03    
2.34344e-01    1.46919e-03    
2.38340e-01    1.54333e-03    
2.42403e-01    1.62113e-03    
2.46536e-01    1.70277e-03    
2.50740e-01    1.78842e-03    
2.55015e-01    1.87828e-03    
2.59363e-01    1.97254e-03    
2.63785e-01    2.07140e-03    
2.68283e-01    2.17509e-03    
2.72857e-01    2.28383e-03    
2.77509e-01    2.39785e-03    
2.82241e-01    2.51738e-03    
2.87053e-01    2.64270e-03    
2.91947e-01    2.77406e-03    
2.96925e-01    2.91173e-03    
3.01988e-01    3.05600e-03    
3.07137e-01    3.20716e-03    
3.12373e-01    3.36553e-03    
3.17699e-01    3.53142e-03    
3.23116e-01    3.70517e-03    
3.28625e-01    3.88712e-03    
3.34228e-01    4.07763e-03    
3.39927e-01    4.27707e-03    
3.45723e-01    4.48582e-03    
3.51617e-01    4.70429e-03    
3.57613e-01    4.93287e-03    
3.63710e-01    5.17201e-03    
3.69911e-01    5.42214e-03    
3.76218e-01    5.68372e-03    
3.82633e-01    5.95721e-03    
3.89157e-01    6.24309e-03    
3.95792e-01    6.54188e-03    
4.02540e-01    6.85407e-03    
4.09404e-01    7.18020e-03    
4.16384e-01    7.52082e-03    
4.23483e-01    7.87647e-03    
4.30704e-01    8.24774e-03    
4.38047e-01    8.63520e-03    
4.45516e-01    9.03946e-03    
4.53112e-01    9.46114e-03    
4.60838e-01    9.90085e-03    
4.68695e-01    1.03592e-02    
4.76686e-01    1.08370e-02    
4.84814e-01    1.13347e-02    
4.93080e-01    1.18530e-02    
5.01487e-01    1.23928e-02    
5.10037e-01    1.29545e-02    
5.18734e-01    1.35390e-02    
5.27578e-01    1.41469e-02    
5.36573e-01    1.47790e-02    
5.45722e-01    1.54359e-02    
5.55027e-01    1.61183e-02    
5.64490e-01    1.68270e-02    
5.74115e-01    1.75627e-02    
5.83903e-01    1.83261e-02    
5.93859e-01    1.91178e-02    
6.03984e-01    1.99386e-02    
6.14282e-01    2.07891e-02    
6.24756e-01    2.16699e-02    
6.35408e-01    2.25818e-02    
6.46242e-01    2.35252e-02    
6.57260e-01    2.45009e-02    
6.68467e-01    2.55093e-02    
6.79864e-01    2.65509e-02    
6.91456e-01    2.76263e-02    
7.03245e-01    2.87359e-02    
7.15235e-01    2.98800e-02    
7.27430e-01    3.10591e-02    
7.39833e-01    3.22734e-02    
7.52447e-01    3.35231e-02    
7.65277e-01    3.48084e-02    
7.78325e-01    3.61294e-02    
7.91595e-01    3.74861e-02    
8.05092e-01    3.88785e-02    
8.18819e-01    4.03064e-02    
8.32780e-01    4.17695e-02    
8.46979e-01    4.32676e-02    
8.61420e-01    4.48002e-02    
8.76107e-01    4.63667e-02    
8.91045e-01    4.79666e-02    
9.06237e-01    4.95991e-02    
9.21689e-01    5.12633e-02    
9.37404e-01    5.29582e-02    
9.53386e-01    5.46827e-02    
9.69642e-01    5.64356e-02    
9.86174e-01    5.82155e-02    
1.00299e+00    6.00209e-02    
1.02009e+00    6.18502e-02    
1.03748e+00    6.37016e-02    
1.05517e+00    6.55733e-02    
1.07316e+00    6.74631e-02    
1.09146e+00    6.93690e-02    
1.11007e+00    7.12886e-02    
1.12900e+00    7.32197e-02    
1.14825e+00    7.51595e-02    
1.16782e+00    7.71056e-02    
1.18773e+00    7.90551e-02    
1.20799e+00    8.10051e-02    
1.22858e+00    8.29528e-02    
1.24953e+00    8.48952e-02    
1.27083e+00    8.68289e-02    
1.29250e+00    8.87510e-02    
1.31454e+00    9.06580e-02    
1.33695e+00    9.25468e-02    
1.35975e+00    9.44139e-02    
1.38293e+00    9.62561e-02    
1.40651e+00    9.80698e-02    
1.43049e+00    9.98518e-02    
1.45488e+00    1.01599e-01    
1.47969e+00    1.03307e-01    
1.50492e+00    1.04973e-01    
1.53058e+00    1.06595e-01    
1.55667e+00    1.08167e-01    
1.58321e+00    1.09689e-01    
1.61021e+00    1.11156e-01    
1.63766e+00    1.12565e-01    
1.66558e+00    1.13914e-01    
1.69398e+00    1.15199e-01    
1.72286e+00    1.16419e-01    
1.75224e+00    1.17570e-01    
1.78212e+00    1.18652e-01    
1.81250e+00    1.19660e-01    
1.84340e+00    1.20594e-01    
1.87483e+00    1.21452e-01    
1.90680e+00    1.22232e-01    
1.93931e+00    1.22933e-01    
1.97238e+00    1.23553e-01    
2.00601e+00    1.24094e-01    
2.04021e+00    1.24552e-01    
2.07499e+00    1.24929e-01    
2.11037e+00    1.25225e-01    
2.14636e+00    1.25438e-01    
2.18295e+00    1.25571e-01    
2.22017e+00    1.25623e-01    
2.25802e+00    1.25595e-01    
2.29652e+00    1.25488e-01    
2.33568e+00    1.25303e-01    
2.37550e+00    1.25042e-01    
2.41601e+00    1.24706e-01    
2.45720e+00    1.24295e-01    
2.49910e+00    1.23813e-01    
2.54170e+00    1.23259e-01    
2.58504e+00    1.22637e-01    
2.62912e+00    1.21947e-01    
2.67394e+00    1.21191e-01    
2.71953e+00    1.20370e-01    
2.76590e+00    1.19487e-01    
2.81306e+00    1.18542e-01    
2.86102e+00    1.17537e-01    
2.90981e+00    1.16473e-01    
2.95942e+00    1.15352e-01    
3.00988e+00    1.14173e-01    
3.06119e+00    1.12937e-01    
3.11339e+00    1.11647e-01    
3.16647e+00    1.10301e-01    
3.22046e+00    1.08902e-01    
3.27537e+00    1.07451e-01    
3.33122e+00    1.05948e-01    
3.38801e+00    1.04397e-01    
3.44578e+00    1.02801e-01    
3.50453e+00    1.01162e-01    
3.56428e+00    9.94865e-02    
3.62505e+00    9.77784e-02    
3.68686e+00    9.60433e-02    
3.74972e+00    9.42863e-02    
3.81366e+00    9.25126e-02    
3.87868e+00    9.07267e-02    
3.94481e+00    8.89327e-02    
4.01207e+00    8.71345e-02    
4.08048e+00    8.53352e-02    
4.15005e+00    8.35375e-02    
4.22081e+00    8.17441e-02    
4.29277e+00    7.99571e-02    
4.36597e+00    7.81784e-02    
4.44041e+00    7.64098e-02    
4.51611e+00    7.46529e-02    
4.59311e+00    7.29092e-02    
4.67143e+00    7.11799e-02    
4.75108e+00    6.94664e-02    
4.83208e+00    6.77697e-02    
4.91447e+00    6.60909e-02    
4.99826e+00    6.44311e-02    
5.08348e+00    6.27910e-02    
5.17016e+00    6.11716e-02    
5.25831e+00    5.95736e-02    
5.34796e+00    5.79979e-02    
5.43915e+00    5.64450e-02    
5.53188e+00    5.49156e-02    
5.62620e+00    5.34103e-02    
5.72213e+00    5.19296e-02    
5.81969e+00    5.04739e-02    
5.91892e+00    4.90438e-02    
6.01984e+00    4.76395e-02    
6.12248e+00    4.62615e-02    
6.22687e+00    4.49099e-02    
6.33304e+00    4.35851e-02    
6.44101e+00    4.22872e-02    
6.55083e+00    4.10164e-02    
6.66253e+00    3.97729e-02    
6.77612e+00    3.85567e-02    
6.89166e+00    3.73679e-02    
7.00916e+00    3.62064e-02    
7.12867e+00    3.50723e-02    
7.25021e+00    3.39654e-02    
7.37383e+00    3.28857e-02    
7.49955e+00    3.18329e-02    
7.62742e+00    3.08070e-02    
7.75747e+00    2.98078e-02    
7.88974e+00    2.88349e-02    
8.02426e+00    2.78881e-02    
8.16107e+00    2.69673e-02    
8.30022e+00    2.60719e-02    
8.44174e+00    2.52018e-02    
8.58567e+00    2.43565e-02    
8.73206e+00    2.35358e-02    
8.88094e+00    2.27391e-02    
9.03236e+00    2.19661e-02    
9.18636e+00    2.12162e-02    
9.34299e+00    2.04891e-02    
9.50229e+00    1.97842e-02    
9.66430e+00    1.91009e-02    
9.82908e+00    1.84387e-02    
9.99667e+00    1.77972e-02    
1.01671e+01    1.71756e-02    
1.03405e+01    1.65735e-02    
1.05168e+01    1.59904e-02    
1.06961e+01    1.54257e-02    
1.08785e+01    1.48789e-02    
1.10639e+01    1.43496e-02    
1.12526e+01    1.38373e-02    
1.14444e+01    1.33415e-02    
1.16396e+01    1.28617e-02    
1.18380e+01    1.23976e-02    
1.20399e+01    1.19488e-02    
1.22451e+01    1.15148e-02    
1.24539e+01    1.10951e-02    
1.26663e+01    1.06895e-02    
1.28822e+01    1.02975e-02    
1.31019e+01    9.91871e-03    
1.33252e+01    9.55275e-03    
1.35524e+01    9.19923e-03    
1.37835e+01    8.85778e-03    
1.40185e+01    8.52805e-03    
1.42575e+01    8.20968e-03    
1.45006e+01    7.90234e-03    
1.47479e+01    7.60568e-03    
1.49993e+01    7.31938e-03    
1.52551e+01    7.04312e-03    
1.55152e+01    6.77658e-03    
1.57797e+01    6.51947e-03    
1.60487e+01    6.27148e-03    
1.63224e+01    6.03233e-03    
1.66007e+01    5.80173e-03    
1.68837e+01    5.57941e-03    
1.71716e+01    5.36509e-03    
1.74644e+01    5.15853e-03    
1.77621e+01    4.95946e-03    
1.80650e+01    4.76764e-03    
1.83730e+01    4.58283e-03    
1.86863e+01    4.40480e-03    
1.90049e+01    4.23331e-03    
1.93289e+01    4.06815e-03    
1.96584e+01    3.90910e-03    
1.99936e+01    3.75595e-03    
2.03345e+01    3.60851e-03    
2.06812e+01    3.46658e-03    
2.10338e+01    3.32998e-03    
2.13925e+01    3.19851e-03    
2.17572e+01    3.07200e-03    
2.21282e+01    2.95027e-03    
2.25055e+01    2.83316e-03    
2.28892e+01    2.72049e-03    
2.32794e+01    2.61211e-03    
2.36764e+01    2.50786e-03    
2.40800e+01    2.40759e-03    
2.44906e+01    2.31117e-03    
2.49082e+01    2.21846e-03    
2.53329e+01    2.12931e-03    
2.57648e+01    2.04360e-03    
2.62041e+01    1.96121e-03    
2.66509e+01    1.88202e-03    
2.71053e+01    1.80590e-03    
2.75674e+01    1.73275e-03    
2.80375e+01    1.66245e-03    
2.85155e+01    1.59490e-03    
2.90017e+01    1.53000e-03    
2.94962e+01    1.46765e-03    
2.99991e+01    1.40775e-03    
3.05106e+01    1.35022e-03    
3.10308e+01    1.29496e-03    
3.15599e+01    1.24188e-03    
3.20979e+01    1.19091e-03    
3.26452e+01    1.14197e-03    
3.32018e+01    1.09497e-03    
3.37679e+01    1.04985e-03    
3.43437e+01    1.00653e-03    
3.49292e+01    9.64948e-04    
3.55248e+01    9.25031e-04    
3.61305e+01    8.86716e-04    
3.67465e+01    8.49943e-04    
3.73730e+01    8.14652e-04    
3.80103e+01    7.80786e-04    
3.86583e+01    7.48288e-04    
3.93175e+01    7.17107e-04    
3.99878e+01    6.87190e-04    
4.06696e+01    6.58488e-04    
4.13630e+01    6.30953e-04    
4.20683e+01    6.04541e-04    
4.27856e+01    5.79206e-04    
4.35151e+01    5.54906e-04    
4.42570e+01    5.31601e-04    
4.50116e+01    5.09251e-04    
4.57790e+01    4.87817e-04    
4.65596e+01    4.67265e-04    
4.73534e+01    4.47558e-04    
4.81608e+01    4.28663e-04    
4.89819e+01    4.10548e-04    
4.98171e+01    3.93181e-04    
5.06665e+01    3.76532e-04    
5.15303e+01    3.60573e-04    
5.24089e+01    3.45276e-04    
5.33025e+01    3.30614e-04    
5.42113e+01    3.16562e-04    
5.51356e+01    3.03094e-04    
5.60757e+01    2.90187e-04    
5.70318e+01    2.77820e-04    
5.80042e+01    2.65968e-04    
5.89932e+01    2.54613e-04    
5.99990e+01    2.43732e-04    
6.10220e+01    2.33308e-04    
6.20624e+01    2.23321e-04    
6.31206e+01    2.13754e-04    
6.41968e+01    2.04589e-04    
6.52914e+01    1.95809e-04    
6.64046e+01    1.87400e-04    
6.75368e+01    1.79345e-04    
6.86883e+01    1.71631e-04    
6.98595e+01    1.64243e-04    
7.10506e+01    1.57167e-04    
7.22620e+01    1.50391e-04    
7.34941e+01    1.43902e-04    
7.47472e+01    1.37689e-04    
7.60216e+01    1.31739e-04    
7.73178e+01    1.26043e-04    
7.86361e+01    1.20589e-04    
7.99768e+01    1.15367e-04    
8.13404e+01    1.10368e-04    
8.27273e+01    1.05583e-04    
8.41378e+01    1.01001e-04    
8.55724e+01    9.66160e-05    
8.70314e+01    9.24184e-05    
8.85153e+01    8.84005e-05    
9.00245e+01    8.45549e-05    
9.15594e+01    8.08743e-05    
9.31205e+01    7.73517e-05    
9.47082e+01    7.39806e-05    
9.63230e+01    7.07545e-05    
9.79653e+01    6.76673e-05    
9.96356e+01    6.47131e-05    
1.01334e+02    6.18863e-05    
1.03062e+02    5.91815e-05    
1.04819e+02    5.65936e-05    
1.06607e+02    5.41175e-05    
1.08424e+02    5.17486e-05    
1.10273e+02    4.94822e-05    
1.12153e+02    4.73141e-05    
1.14065e+02    4.52401e-05    
1.16010e+02    4.32560e-05    
1.17988e+02    4.13582e-05    
1.20000e+02    3.95428e-05    
1.22046e+02    3.78065e-05    
1.24127e+02    3.61457e-05    
1.26243e+02    3.45574e-05    
1.28396e+02    3.30383e-05    
1.30585e+02    3.15855e-05    
1.32811e+02    3.01962e-05    
1.35076e+02    2.88676e-05    
1.37379e+02    2.75972e-05    
1.39721e+02    2.63823e-05    
1.42103e+02    2.52208e-05    
1.44526e+02    2.41101e-05    
1.46990e+02    2.30482e-05    
1.49496e+02    2.20330e-05    
1.52045e+02    2.10623e-05    
1.54638e+02    2.01344e-05    
1.57274e+02    1.92474e-05    
1.59956e+02    1.83994e-05    
1.62683e+02    1.75888e-05    
1.65457e+02    1.68139e-05    
1.68278e+02    1.60733e-05    
1.71147e+02    1.53654e-05    
1.74065e+02    1.46888e-05    
1.77033e+02    1.40421e-05    
1.80052e+02    1.34241e-05    
1.83121e+02    1.28334e-05    
1.86244e+02    1.22689e-05    
1.89419e+02    1.17294e-05    
1.92649e+02    1.12139e-05    
1.95933e+02    1.07212e-05    
1.99274e+02    1.02504e-05    
2.02672e+02    9.80056e-06    
2.06127e+02    9.37066e-06    
2.09642e+02    8.95985e-06    
2.13216e+02    8.56729e-06    
2.16852e+02    8.19217e-06    
2.20549e+02    7.83371e-06    
2.24309e+02    7.49117e-06    
2.28134e+02    7.16383e-06    
2.32024e+02    6.85103e-06    
2.35980e+02    6.55211e-06    
2.40003e+02    6.26644e-06    
2.44095e+02    5.99342e-06    
2.48257e+02    5.73251e-06    
2.52490e+02    5.48313e-06    
2.56795e+02    5.24479e-06    
2.61173e+02    5.01697e-06    
2.65626e+02    4.79921e-06    
2.70155e+02    4.59106e-06    
2.74761e+02    4.39207e-06    
2.79446e+02    4.20183e-06    
2.84211e+02    4.01996e-06    
2.89056e+02    3.84608e-06    
2.93985e+02    3.67982e-06    
2.98997e+02    3.52084e-06    
3.04095e+02    3.36882e-06    
3.09280e+02    3.22344e-06    
3.14553e+02    3.08441e-06    
3.19916e+02    2.95144e-06    
3.25371e+02    2.82426e-06    
3.30919e+02    2.70262e-06    
3.36561e+02    2.58626e-06    
3.42299e+02    2.47496e-06    
3.48136e+02    2.36848e-06    
3.54071e+02    2.26662e-06    
3.60108e+02    2.16917e-06    
3.66248e+02    2.07593e-06    
3.72493e+02    1.98672e-06    
3.78844e+02    1.90137e-06    
3.85303e+02    1.81970e-06    
3.91872e+02    1.74156e-06    
3.98554e+02    1.66678e-06    
4.05349e+02    1.59522e-06    
4.12261e+02    1.52674e-06    
4.19290e+02    1.46121e-06    
4.26439e+02    1.39850e-06    
4.33709e+02    1.33849e-06    
4.41104e+02    1.28105e-06    
4.48625e+02    1.22608e-06    
4.56274e+02    1.17347e-06    
4.64054e+02    1.12312e-06    
4.71966e+02    1.07493e-06    
4.80013e+02    1.02881e-06    
4.88197e+02    9.84670e-07    
4.96521e+02    9.42421e-07    
5.04987e+02    9.01983e-07    
5.13597e+02    8.63279e-07    
5.22354e+02    8.26235e-07    
5.31260e+02    7.90778e-07    
5.40318e+02    7.56841e-07    
5.49530e+02    7.24359e-07    
5.58900e+02    6.93268e-07    
5.68429e+02    6.63510e-07    
5.78121e+02    6.35028e-07    
5.87978e+02    6.07766e-07    
5.98003e+02    5.81672e-07    
6.08199e+02    5.56696e-07    
6.18569e+02    5.32790e-07    
6.29116e+02    5.09910e-07    
6.39842e+02    4.88009e-07    
6.50752e+02    4.67047e-07    
6.61847e+02    4.46984e-07    
6.73131e+02    4.27781e-07    
6.84608e+02    4.09400e-07    
6.96281e+02    3.91808e-07    
7.08153e+02    3.74970e-07    
7.20227e+02    3.58854e-07    
7.32507e+02    3.43429e-07    
7.44996e+02    3.28665e-07    
7.57698e+02    3.14534e-07    
7.70617e+02    3.01010e-07    
7.83756e+02    2.88066e-07    
7.97119e+02    2.75677e-07    
8.10710e+02    2.63819e-07    
8.24533e+02    2.52470e-07    
8.38591e+02    2.41609e-07    
8.52889e+02    2.31213e-07    
8.67431e+02    2.21264e-07    
8.82221e+02    2.11741e-07    
8.97263e+02    2.02628e-07    
9.12562e+02    1.93905e-07    
9.28121e+02    1.85558e-07    
9.43945e+02    1.77569e-07    
9.60040e+02    1.69923e-07    
9.76408e+02    1.62605e-07    
9.93056e+02    1.55602e-07    
1.00999e+03    1.48899e-07    
1.02721e+03    1.42485e-07    
1.04472e+03    1.36346e-07    
1.06254e+03    1.30471e-07    
1.08065e+03    1.24849e-07    
1.09908e+03    1.19469e-07    
1.11782e+03    1.14319e-07    
1.13687e+03    1.09391e-07    
1.15626e+03    1.04676e-07    
1.17597e+03    1.00162e-07    
1.19602e+03    9.58435e-08    
1.21642e+03    9.17103e-08    
1.23716e+03    8.77550e-08    
1.25825e+03    8.39699e-08    
1.27970e+03    8.03477e-08    
1.30152e+03    7.68814e-08    
1.32371e+03    7.35643e-08    
1.34628e+03    7.03900e-08    
1.36924e+03    6.73523e-08    
1.39258e+03    6.44455e-08    
1.41633e+03    6.16638e-08    
1.44047e+03    5.90020e-08    
1.46503e+03    5.64548e-08    
1.49001e+03    5.40173e-08    
1.51542e+03    5.16849e-08    
1.54126e+03    4.94529e-08    
1.56754e+03    4.73171e-08    
1.59426e+03    4.52734e-08    
1.62144e+03    4.33178e-08    
1.64909e+03    4.14465e-08    
1.67721e+03    3.96558e-08    
1.70580e+03    3.79423e-08    
1.73489e+03    3.63028e-08    
1.76447e+03    3.47339e-08    
1.79455e+03    3.32327e-08    
1.82515e+03    3.17963e-08    
1.85627e+03    3.04218e-08    
1.88792e+03    2.91066e-08    
1.92011e+03    2.78482e-08    
1.95285e+03    2.66440e-08    
1.98614e+03    2.54919e-08    
2.02001e+03    2.43894e-08    
2.05445e+03    2.33346e-08    
2.08948e+03    2.23253e-08    
2.12510e+03    2.13595e-08    
2.16133e+03    2.04355e-08    
2.19819e+03    1.95513e-08    
2.23566e+03    1.87054e-08    
2.27378e+03    1.78959e-08    
2.31255e+03    1.71215e-08    
2.35198e+03    1.63804e-08    
2.39208e+03    1.56714e-08    
2.43287e+03    1.49931e-08    
2.47435e+03    1.43440e-08    
2.51654e+03    1.37230e-08    
2.55944e+03    1.31288e-08    
2.60308e+03    1.25604e-08    
2.64746e+03    1.20164e-08    
2.69260e+03    1.14960e-08    
2.73851e+03    1.09981e-08    
2.78520e+03    1.05218e-08    
2.83269e+03    1.00660e-08    
2.88099e+03    9.62990e-09    
2.93011e+03    9.21269e-09    
2.98007e+03    8.81353e-09    
3.03088e+03    8.43163e-09    
3.08256e+03    8.06625e-09    
3.13512e+03    7.71668e-09    
3.18857e+03    7.38223e-09    
3.24293e+03    7.06226e-09    
3.29823e+03    6.75613e-09    
3.35446e+03    6.46324e-09    
3.41166e+03    6.18304e-09    
3.46983e+03    5.91496e-09    
3.52899e+03    5.65849e-09    
3.58916e+03    5.41312e-09    
3.65035e+03    5.17838e-09    
3.71259e+03    4.95379e-09    
3.77589e+03    4.73894e-09    
3.84027e+03    4.53338e-09    
3.90575e+03    4.33673e-09    
3.97234e+03    4.14860e-09    
4.04007e+03    3.96862e-09    
4.10895e+03    3.79643e-09    
4.17901e+03    3.63170e-09    
4.25026e+03    3.47411e-09    
4.32273e+03    3.32335e-09    
4.39643e+03    3.17912e-09    
4.47139e+03    3.04114e-09    
4.54763e+03    2.90914e-09    
4.62517e+03    2.78286e-09    
4.70403e+03    2.66205e-09    
4.78423e+03    2.54648e-09    
4.86580e+03    2.43592e-09    
4.94877e+03    2.33016e-09    
5.03314e+03    2.22898e-09    
5.11896e+03    2.13219e-09    
5.20624e+03    2.03959e-09    
5.29500e+03    1.95101e-09    
5.38528e+03    1.86627e-09    
5.47710e+03    1.78521e-09    
5.57049e+03    1.70766e-09    
5.66547e+03    1.63348e-09    
5.76206e+03    1.56252e-09    
5.86031e+03    1.49463e-09    
5.96023e+03    1.42969e-09    
6.06185e+03    1.36757e-09    
6.16520e+03    1.30814e-09    
6.27032e+03    1.25129e-09    
6.37723e+03    1.19691e-09    
6.48596e+03    1.14489e-09    
6.59655e+03    1.09513e-09    
6.70902e+03    1.04753e-09    
6.82341e+03    1.00199e-09    
6.93975e+03    9.58431e-10    
7.05807e+03    9.16764e-10    
7.17842e+03    8.76905e-10    
7.30081e+03    8.38777e-10    
7.42529e+03    8.02305e-10    
7.55189e+03    7.67417e-10    
7.68065e+03    7.34044e-10    
7.81161e+03    7.02120e-10    
7.94479e+03    6.71584e-10    
8.08025e+03    6.42373e-10    
8.21802e+03    6.14432e-10    
8.35814e+03    5.87704e-10    
8.50065e+03    5.62138e-10    
8.64559e+03    5.37683e-10    
8.79299e+03    5.14290e-10    
8.94292e+03    4.91914e-10    
9.09539e+03    4.70510e-10    
9.25047e+03    4.50036e-10    
9.40819e+03    4.30452e-10    
9.56860e+03    4.11720e-10    
9.73175e+03    3.93801e-10    
9.89768e+03    3.76662e-10    
1.00664e+04    3.60268e-10    
1.02381e+04    3.44586e-10    
1.04126e+04    3.29587e-10    
1.05902e+04    3.15239e-10    
1.07707e+04    3.01515e-10    
1.09544e+04    2.88388e-10    
1.11411e+04    2.75832e-10    
1.13311e+04    2.63822e-10    
1.15243e+04    2.52335e-10    
1.17208e+04    2.41347e-10    
1.19206e+04    2.30837e-10    
1.21239e+04    2.20784e-10    
1.23306e+04    2.11169e-10    
1.25408e+04    2.01971e-10    
1.27546e+04    1.93174e-10    
1.29721e+04    1.84760e-10    
1.31933e+04    1.76712e-10    
1.34182e+04    1.69014e-10    
1.36470e+04    1.61651e-10    
1.38797e+04    1.54609e-10    
1.41164e+04    1.47872e-10    
1.43570e+04    1.41430e-10    
1.46018e+04    1.35267e-10    
1.48508e+04    1.29373e-10    
1.51040e+04    1.23735e-10    
1.53615e+04    1.18343e-10    
