# USINE V4.0
# File generated 13-05-2022 11:20:52
# Model1DKisoVc
# S
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.70969e-02    1.95739e-05    
9.87476e-02    2.05803e-05    
1.00426e-01    2.16384e-05    
1.02134e-01    2.27507e-05    
1.03870e-01    2.39199e-05    
1.05636e-01    2.51490e-05    
1.07432e-01    2.64410e-05    
1.09258e-01    2.77992e-05    
1.11116e-01    2.92269e-05    
1.13005e-01    3.07276e-05    
1.14926e-01    3.23050e-05    
1.16879e-01    3.39631e-05    
1.18866e-01    3.57060e-05    
1.20887e-01    3.75379e-05    
1.22942e-01    3.94634e-05    
1.25032e-01    4.14873e-05    
1.27158e-01    4.36144e-05    
1.29320e-01    4.58502e-05    
1.31518e-01    4.82000e-05    
1.33754e-01    5.06696e-05    
1.36028e-01    5.32652e-05    
1.38341e-01    5.59931e-05    
1.40692e-01    5.88600e-05    
1.43084e-01    6.18729e-05    
1.45517e-01    6.50392e-05    
1.47991e-01    6.83666e-05    
1.50507e-01    7.18634e-05    
1.53065e-01    7.55380e-05    
1.55667e-01    7.93994e-05    
1.58314e-01    8.34570e-05    
1.61005e-01    8.77207e-05    
1.63742e-01    9.22010e-05    
1.66526e-01    9.69086e-05    
1.69357e-01    1.01855e-04    
1.72236e-01    1.07052e-04    
1.75164e-01    1.12513e-04    
1.78142e-01    1.18250e-04    
1.81171e-01    1.24278e-04    
1.84251e-01    1.30611e-04    
1.87383e-01    1.37264e-04    
1.90569e-01    1.44254e-04    
1.93808e-01    1.51597e-04    
1.97103e-01    1.59310e-04    
2.00454e-01    1.67413e-04    
2.03862e-01    1.75924e-04    
2.07328e-01    1.84860e-04    
2.10852e-01    1.94244e-04    
2.14437e-01    2.04098e-04    
2.18082e-01    2.14442e-04    
2.21790e-01    2.25303e-04    
2.25560e-01    2.36705e-04    
2.29395e-01    2.48673e-04    
2.33295e-01    2.61235e-04    
2.37261e-01    2.74420e-04    
2.41295e-01    2.88258e-04    
2.45397e-01    3.02779e-04    
2.49568e-01    3.18017e-04    
2.53811e-01    3.34005e-04    
2.58126e-01    3.50779e-04    
2.62514e-01    3.68375e-04    
2.66977e-01    3.86834e-04    
2.71516e-01    4.06194e-04    
2.76132e-01    4.26498e-04    
2.80826e-01    4.47791e-04    
2.85600e-01    4.70117e-04    
2.90456e-01    4.93525e-04    
2.95394e-01    5.18064e-04    
3.00415e-01    5.43786e-04    
3.05523e-01    5.70745e-04    
3.10717e-01    5.98996e-04    
3.15999e-01    6.28599e-04    
3.21371e-01    6.59614e-04    
