# USINE V4.0
# File generated 13-05-2022 11:20:52
# Model1DKisoVc
# V
# SolMod0DFF_phi0_970GV
# R [GV]       TOA [GV m^{2} s sr]^{-1}
9.56809e-02    4.67891e-06    
9.73151e-02    4.92080e-06    
9.89772e-02    5.17516e-06    
1.00668e-01    5.44262e-06    
1.02387e-01    5.72386e-06    
1.04136e-01    6.01958e-06    
1.05914e-01    6.33054e-06    
1.07723e-01    6.65750e-06    
1.09563e-01    7.00129e-06    
1.11435e-01    7.36277e-06    
1.13338e-01    7.74284e-06    
1.15274e-01    8.14246e-06    
1.17243e-01    8.56263e-06    
1.19245e-01    9.00440e-06    
1.21282e-01    9.46886e-06    
1.23353e-01    9.95719e-06    
1.25460e-01    1.04706e-05    
1.27603e-01    1.10104e-05    
1.29782e-01    1.15779e-05    
1.31999e-01    1.21744e-05    
1.34253e-01    1.28016e-05    
1.36546e-01    1.34610e-05    
1.38879e-01    1.41542e-05    
1.41251e-01    1.48829e-05    
1.43663e-01    1.56489e-05    
1.46117e-01    1.64542e-05    
1.48612e-01    1.73006e-05    
1.51151e-01    1.81904e-05    
1.53732e-01    1.91258e-05    
1.56358e-01    2.01089e-05    
1.59029e-01    2.11423e-05    
1.61745e-01    2.22286e-05    
1.64507e-01    2.33703e-05    
1.67317e-01    2.45703e-05    
1.70175e-01    2.58315e-05    
1.73081e-01    2.71571e-05    
1.76038e-01    2.85503e-05    
1.79044e-01    3.00146e-05    
1.82102e-01    3.15534e-05    
1.85212e-01    3.31705e-05    
1.88376e-01    3.48700e-05    
1.91593e-01    3.66560e-05    
1.94866e-01    3.85327e-05    
1.98194e-01    4.05049e-05    
2.01579e-01    4.25771e-05    
2.05022e-01    4.47541e-05    
2.08524e-01    4.70409e-05    
2.12085e-01    4.94429e-05    
2.15708e-01    5.19657e-05    
2.19392e-01    5.46154e-05    
2.23139e-01    5.73980e-05    
2.26950e-01    6.03202e-05    
2.30826e-01    6.33886e-05    
2.34769e-01    6.66104e-05    
2.38779e-01    6.99930e-05    
2.42857e-01    7.35442e-05    
2.47005e-01    7.72721e-05    
2.51223e-01    8.11853e-05    
2.55514e-01    8.52925e-05    
2.59878e-01    8.96032e-05    
2.64317e-01    9.41268e-05    
2.68832e-01    9.88737e-05    
2.73423e-01    1.03854e-04    
2.78093e-01    1.09080e-04    
2.82843e-01    1.14561e-04    
2.87674e-01    1.20311e-04    
2.92587e-01    1.26341e-04    
2.97584e-01    1.32666e-04    
3.02667e-01    1.39297e-04    
3.07837e-01    1.46250e-04    
3.13094e-01    1.53540e-04    
3.18442e-01    1.61180e-04    
3.23881e-01    1.69189e-04    
3.29413e-01    1.77581e-04    
3.35039e-01    1.86375e-04    
3.40761e-01    1.95588e-04    
3.46581e-01    2.05238e-04    
3.52501e-01    2.15346e-04    
3.58521e-01    2.25931e-04    
3.64645e-01    2.37013e-04    
3.70873e-01    2.48615e-04    
3.77207e-01    2.60759e-04    
3.83650e-01    2.73467e-04    
3.90203e-01    2.86764e-04    
3.96867e-01    3.00674e-04    
4.03646e-01    3.15222e-04    
4.10540e-01    3.30436e-04    
4.17552e-01    3.46342e-04    
4.24683e-01    3.62967e-04    
4.31937e-01    3.80341e-04    
4.39314e-01    3.98494e-04    
4.46817e-01    4.17455e-04    
4.54449e-01    4.37256e-04    
4.62211e-01    4.57929e-04    
4.70105e-01    4.79506e-04    
4.78135e-01    5.02022e-04    
4.86301e-01    5.25510e-04    
4.94607e-01    5.50006e-04    
5.03055e-01    5.75545e-04    
5.11647e-01    6.02163e-04    
5.20385e-01    6.29897e-04    
5.29274e-01    6.58786e-04    
5.38313e-01    6.88866e-04    
5.47508e-01    7.20175e-04    
5.56859e-01    7.52754e-04    
5.66370e-01    7.86639e-04    
5.76043e-01    8.21871e-04    
5.85882e-01    8.58488e-04    
5.95889e-01    8.96529e-04    
6.06066e-01    9.36034e-04    
6.16418e-01    9.77040e-04    
6.26946e-01    1.01958e-03    
6.37654e-01    1.06371e-03    
6.48545e-01    1.10944e-03    
6.59622e-01    1.15683e-03    
6.70888e-01    1.20589e-03    
6.82347e-01    1.25668e-03    
6.94001e-01    1.30921e-03    
7.05854e-01    1.36352e-03    
7.17910e-01    1.41963e-03    
7.30172e-01    1.47758e-03    
7.42643e-01    1.53738e-03    
7.55327e-01    1.59905e-03    
7.68228e-01    1.66261e-03    
7.81349e-01    1.72807e-03    
